ProjectID,Date,Origin,Destination,Modo,F,M
42,2020-03-05,0:500,127:159,microtrip,,10.0
42,2020-03-05,0:500,57:310,private_transport,32.0,
42,2020-03-05,100:206,57:310,bus,,12.0
42,2020-03-05,100:206,57:310,private_transport,,29.0
42,2020-03-05,100:206,100:206,bus,30.0,
42,2020-03-05,100:206,100:206,private_transport,54.0,20.0
42,2020-03-05,100:206,101:205,bus,12.0,
42,2020-03-05,100:206,101:205,private_transport,17.0,
42,2020-03-05,100:206,107:207,bus,24.0,
42,2020-03-05,100:206,107:207,private_transport,31.0,23.0
42,2020-03-05,100:206,109:169,bus,,16.0
42,2020-03-05,100:206,109:169,private_transport,11.0,
42,2020-03-05,100:206,128:142,bus,,13.0
42,2020-03-05,100:206,128:142,private_transport,12.0,20.0
42,2020-03-05,100:206,129:141,bus,30.0,
42,2020-03-05,100:206,129:141,private_transport,29.0,
42,2020-03-05,100:206,134:136,private_transport,,12.0
42,2020-03-05,100:206,136:150,bus,,10.0
42,2020-03-05,100:206,137:149,bus,,13.0
42,2020-03-05,100:206,137:149,private_transport,,24.0
42,2020-03-05,100:206,141:145,private_transport,,11.0
42,2020-03-05,100:206,143:143,bus,19.0,
42,2020-03-05,100:206,143:143,private_transport,38.0,29.0
42,2020-03-05,100:206,144:126,bus,,10.0
42,2020-03-05,100:206,151:119,bus,20.0,
42,2020-03-05,100:206,154:132,bus,22.0,
42,2020-03-05,100:206,48:301,private_transport,,36.0
42,2020-03-05,100:206,58:303,private_transport,,63.0
42,2020-03-05,100:206,61:413,private_transport,59.0,66.0
42,2020-03-05,100:206,64:306,bus,,42.0
42,2020-03-05,100:206,64:306,private_transport,69.0,149.0
42,2020-03-05,100:206,75:313,bus,,31.0
42,2020-03-05,100:206,75:313,private_transport,,15.0
42,2020-03-05,100:206,76:314,bus,11.0,
42,2020-03-05,100:206,76:314,private_transport,16.0,
42,2020-03-05,100:206,83:108,bus,,24.0
42,2020-03-05,100:206,83:108,private_transport,27.0,38.0
42,2020-03-05,100:206,88:103,private_transport,,18.0
42,2020-03-05,100:206,89:118,bus,21.0,
42,2020-03-05,100:206,89:118,private_transport,11.0,
42,2020-03-05,100:206,90:117,bus,25.0,
42,2020-03-05,100:206,90:117,private_transport,,27.0
42,2020-03-05,100:206,98:217,bus,,27.0
42,2020-03-05,100:206,98:217,private_transport,,14.0
42,2020-03-05,101:205,127:159,bus,,10.0
42,2020-03-05,101:205,127:159,microtrip,13.0,19.0
42,2020-03-05,101:205,127:159,private_transport,,11.0
42,2020-03-05,101:205,101:205,bus,,42.0
42,2020-03-05,101:205,101:205,microtrip,74.0,88.0
42,2020-03-05,101:205,101:205,private_transport,22.0,32.0
42,2020-03-05,101:205,107:207,private_transport,,11.0
42,2020-03-05,101:205,128:142,private_transport,,11.0
42,2020-03-05,101:205,129:141,bus,,52.0
42,2020-03-05,101:205,129:141,microtrip,110.0,146.0
42,2020-03-05,101:205,129:141,private_transport,45.0,60.0
42,2020-03-05,101:205,134:136,microtrip,,11.0
42,2020-03-05,101:205,136:150,bus,12.0,
42,2020-03-05,101:205,136:150,private_transport,11.0,
42,2020-03-05,101:205,141:145,microtrip,11.0,20.0
42,2020-03-05,101:205,141:145,private_transport,,11.0
42,2020-03-05,101:205,143:143,microtrip,10.0,
42,2020-03-05,101:205,143:143,private_transport,,11.0
42,2020-03-05,101:205,144:126,microtrip,,12.0
42,2020-03-05,101:205,151:119,bus,,47.0
42,2020-03-05,101:205,151:119,microtrip,107.0,188.0
42,2020-03-05,101:205,151:119,private_transport,,43.0
42,2020-03-05,101:205,154:132,bus,14.0,27.0
42,2020-03-05,101:205,154:132,microtrip,127.0,160.0
42,2020-03-05,101:205,154:132,private_transport,,14.0
42,2020-03-05,101:205,58:303,private_transport,,12.0
42,2020-03-05,101:205,64:306,private_transport,13.0,
42,2020-03-05,101:205,76:314,private_transport,98.0,
42,2020-03-05,101:205,83:108,bus,38.0,11.0
42,2020-03-05,101:205,83:108,microtrip,77.0,106.0
42,2020-03-05,101:205,83:108,private_transport,60.0,39.0
42,2020-03-05,101:205,88:103,private_transport,,10.0
42,2020-03-05,101:205,89:118,bus,,30.0
42,2020-03-05,101:205,89:118,microtrip,81.0,92.0
42,2020-03-05,101:205,89:118,private_transport,,19.0
42,2020-03-05,101:205,90:117,bus,11.0,22.0
42,2020-03-05,101:205,90:117,microtrip,19.0,20.0
42,2020-03-05,101:205,90:117,private_transport,,21.0
42,2020-03-05,101:205,98:217,private_transport,,15.0
42,2020-03-05,101:205,102:204,bus,,12.0
42,2020-03-05,101:205,102:204,microtrip,11.0,
42,2020-03-05,101:205,108:170,bus,,38.0
42,2020-03-05,101:205,108:170,microtrip,87.0,171.0
42,2020-03-05,101:205,108:170,private_transport,,19.0
42,2020-03-05,101:205,110:168,bus,,58.0
42,2020-03-05,101:205,120:166,microtrip,,18.0
42,2020-03-05,101:205,122:164,bus,,18.0
42,2020-03-05,101:205,126:160,bus,,38.0
42,2020-03-05,101:205,126:160,microtrip,30.0,39.0
42,2020-03-05,101:205,126:160,private_transport,,37.0
42,2020-03-05,101:205,130:140,microtrip,35.0,41.0
42,2020-03-05,101:205,135:135,bus,,23.0
42,2020-03-05,101:205,145:125,microtrip,,34.0
42,2020-03-05,101:205,146:124,bus,,25.0
42,2020-03-05,101:205,146:124,microtrip,22.0,38.0
42,2020-03-05,101:205,146:124,private_transport,,18.0
42,2020-03-05,101:205,148:122,private_transport,10.0,
42,2020-03-05,101:205,150:120,private_transport,12.0,
42,2020-03-05,101:205,152:134,bus,15.0,37.0
42,2020-03-05,101:205,152:134,microtrip,33.0,83.0
42,2020-03-05,101:205,152:134,private_transport,,15.0
42,2020-03-05,101:205,153:133,bus,,21.0
42,2020-03-05,101:205,153:133,microtrip,21.0,27.0
42,2020-03-05,101:205,155:131,microtrip,,13.0
42,2020-03-05,101:205,156:130,bus,11.0,
42,2020-03-05,101:205,156:130,microtrip,17.0,13.0
42,2020-03-05,101:205,158:128,bus,,13.0
42,2020-03-05,101:205,159:127,private_transport,,10.0
42,2020-03-05,101:205,160:110,bus,,18.0
42,2020-03-05,101:205,160:110,microtrip,49.0,50.0
42,2020-03-05,101:205,160:110,private_transport,13.0,10.0
42,2020-03-05,101:205,45:319,private_transport,47.0,55.0
42,2020-03-05,101:205,62:307,private_transport,,39.0
42,2020-03-05,101:205,85:106,bus,12.0,
42,2020-03-05,101:205,86:105,bus,,10.0
42,2020-03-05,101:205,87:104,bus,17.0,28.0
42,2020-03-05,101:205,87:104,microtrip,13.0,
42,2020-03-05,101:205,87:104,private_transport,22.0,
42,2020-03-05,101:205,91:116,private_transport,,10.0
42,2020-03-05,101:205,92:115,bus,18.0,
42,2020-03-05,101:205,92:115,microtrip,16.0,10.0
42,2020-03-05,101:205,92:115,private_transport,13.0,
42,2020-03-05,101:205,94:113,microtrip,,11.0
42,2020-03-05,101:205,96:111,bus,11.0,
42,2020-03-05,101:205,96:111,microtrip,42.0,52.0
42,2020-03-05,101:205,97:102,microtrip,,22.0
42,2020-03-05,101:205,99:101,microtrip,11.0,15.0
42,2020-03-05,102:204,101:205,microtrip,,16.0
42,2020-03-05,102:204,129:141,private_transport,12.0,
42,2020-03-05,102:204,134:136,microtrip,,14.0
42,2020-03-05,102:204,136:150,bus,,10.0
42,2020-03-05,102:204,136:150,microtrip,10.0,
42,2020-03-05,102:204,136:150,private_transport,,13.0
42,2020-03-05,102:204,141:145,microtrip,11.0,27.0
42,2020-03-05,102:204,141:145,private_transport,11.0,
42,2020-03-05,102:204,151:119,microtrip,15.0,15.0
42,2020-03-05,102:204,154:132,microtrip,13.0,13.0
42,2020-03-05,102:204,58:303,private_transport,,10.0
42,2020-03-05,102:204,61:413,private_transport,,16.0
42,2020-03-05,102:204,76:314,private_transport,,18.0
42,2020-03-05,102:204,90:117,microtrip,12.0,
42,2020-03-05,102:204,102:204,microtrip,12.0,
42,2020-03-05,102:204,108:170,microtrip,23.0,31.0
42,2020-03-05,102:204,110:168,bus,,18.0
42,2020-03-05,102:204,120:166,microtrip,23.0,30.0
42,2020-03-05,102:204,126:160,bus,,19.0
42,2020-03-05,102:204,126:160,microtrip,18.0,
42,2020-03-05,102:204,126:160,private_transport,,11.0
42,2020-03-05,102:204,145:125,microtrip,31.0,35.0
42,2020-03-05,102:204,152:134,microtrip,,18.0
42,2020-03-05,102:204,155:131,microtrip,14.0,13.0
42,2020-03-05,102:204,156:130,bus,,11.0
42,2020-03-05,102:204,156:130,microtrip,16.0,11.0
42,2020-03-05,102:204,160:110,microtrip,28.0,22.0
42,2020-03-05,102:204,45:319,bus,,12.0
42,2020-03-05,102:204,45:319,private_transport,,13.0
42,2020-03-05,102:204,62:307,private_transport,,17.0
42,2020-03-05,102:204,96:111,microtrip,10.0,20.0
42,2020-03-05,102:204,99:101,microtrip,18.0,18.0
42,2020-03-05,102:204,99:101,private_transport,10.0,
42,2020-03-05,102:204,50:412,private_transport,,12.0
42,2020-03-05,103:203,127:159,bus,,10.0
42,2020-03-05,103:203,127:159,private_transport,,10.0
42,2020-03-05,103:203,57:310,bus,,15.0
42,2020-03-05,103:203,57:310,private_transport,,139.0
42,2020-03-05,103:203,101:205,bus,,11.0
42,2020-03-05,103:203,101:205,private_transport,,11.0
42,2020-03-05,103:203,107:207,private_transport,,25.0
42,2020-03-05,103:203,109:169,private_transport,,14.0
42,2020-03-05,103:203,134:136,bus,11.0,
42,2020-03-05,103:203,134:136,microtrip,,10.0
42,2020-03-05,103:203,134:136,private_transport,13.0,16.0
42,2020-03-05,103:203,137:149,bus,23.0,22.0
42,2020-03-05,103:203,137:149,microtrip,,23.0
42,2020-03-05,103:203,137:149,private_transport,39.0,38.0
42,2020-03-05,103:203,144:126,bus,,59.0
42,2020-03-05,103:203,144:126,microtrip,,21.0
42,2020-03-05,103:203,144:126,private_transport,12.0,79.0
42,2020-03-05,103:203,58:303,bus,14.0,59.0
42,2020-03-05,103:203,58:303,private_transport,33.0,169.0
42,2020-03-05,103:203,61:413,private_transport,137.0,15.0
42,2020-03-05,103:203,64:306,bus,16.0,
42,2020-03-05,103:203,64:306,private_transport,76.0,77.0
42,2020-03-05,103:203,75:313,private_transport,,10.0
42,2020-03-05,103:203,90:117,private_transport,,16.0
42,2020-03-05,103:203,98:217,bus,,22.0
42,2020-03-05,103:203,98:217,private_transport,,12.0
42,2020-03-05,103:203,108:170,bus,,11.0
42,2020-03-05,103:203,110:168,bus,11.0,40.0
42,2020-03-05,103:203,110:168,private_transport,,70.0
42,2020-03-05,103:203,135:135,bus,41.0,
42,2020-03-05,103:203,135:135,private_transport,47.0,
42,2020-03-05,103:203,155:131,private_transport,,23.0
42,2020-03-05,103:203,156:130,private_transport,,54.0
42,2020-03-05,103:203,158:128,bus,,11.0
42,2020-03-05,103:203,159:127,bus,19.0,10.0
42,2020-03-05,103:203,159:127,microtrip,18.0,17.0
42,2020-03-05,103:203,159:127,private_transport,,102.0
42,2020-03-05,103:203,45:319,bus,64.0,72.0
42,2020-03-05,103:203,45:319,microtrip,,10.0
