ProjectID,Date,Origin,Destination,Modo,F,M
42,2019-11-23,100:206,100:206,bus,,17.0
42,2019-11-23,100:206,100:206,private_transport,19.0,40.0
42,2019-11-23,100:206,101:205,private_transport,10.0,
42,2019-11-23,100:206,107:207,bus,15.0,16.0
42,2019-11-23,100:206,107:207,private_transport,,33.0
42,2019-11-23,100:206,109:169,private_transport,32.0,21.0
42,2019-11-23,100:206,128:142,bus,15.0,
42,2019-11-23,100:206,128:142,private_transport,21.0,11.0
42,2019-11-23,100:206,129:141,private_transport,,11.0
42,2019-11-23,100:206,143:143,bus,14.0,
42,2019-11-23,100:206,143:143,private_transport,27.0,32.0
42,2019-11-23,100:206,154:132,bus,,11.0
42,2019-11-23,100:206,159:127,private_transport,25.0,
42,2019-11-23,100:206,276:144,bus,12.0,
42,2019-11-23,100:206,276:144,private_transport,18.0,
42,2019-11-23,100:206,76:314,bus,,10.0
42,2019-11-23,100:206,76:314,private_transport,,18.0
42,2019-11-23,100:206,83:108,bus,11.0,11.0
42,2019-11-23,100:206,83:108,private_transport,25.0,33.0
42,2019-11-23,100:206,86:105,bus,,17.0
42,2019-11-23,100:206,87:104,bus,,12.0
42,2019-11-23,100:206,89:118,private_transport,,11.0
42,2019-11-23,100:206,94:113,private_transport,10.0,11.0
42,2019-11-23,100:206,98:217,bus,14.0,12.0
42,2019-11-23,100:206,98:217,private_transport,53.0,18.0
42,2019-11-23,101:205,101:205,bus,21.0,17.0
42,2019-11-23,101:205,101:205,microtrip,41.0,72.0
42,2019-11-23,101:205,101:205,private_transport,27.0,23.0
42,2019-11-23,101:205,109:169,microtrip,10.0,
42,2019-11-23,101:205,109:169,private_transport,,17.0
42,2019-11-23,101:205,128:142,bus,,16.0
42,2019-11-23,101:205,128:142,private_transport,11.0,
42,2019-11-23,101:205,129:141,bus,24.0,15.0
42,2019-11-23,101:205,129:141,microtrip,80.0,112.0
42,2019-11-23,101:205,129:141,private_transport,49.0,49.0
42,2019-11-23,101:205,143:143,private_transport,12.0,
42,2019-11-23,101:205,154:132,microtrip,42.0,104.0
42,2019-11-23,101:205,154:132,private_transport,14.0,
42,2019-11-23,101:205,159:127,bus,12.0,
42,2019-11-23,101:205,76:314,private_transport,72.0,
42,2019-11-23,101:205,83:108,bus,,14.0
