,ProjectID,Date,Origin,Destination,Modo,Distance,Trips
0,42,2020-03-12,149:121,109:169,bus,0_5,
1,42,2020-03-12,118:152,118:152,bus,0_5,
2,42,2020-03-12,119:151,118:152,bus,0_5,
3,42,2020-03-12,118:152,119:151,bus,0_5,
4,42,2020-03-12,119:151,119:151,bus,0_5,
5,42,2020-03-12,136:150,119:151,bus,0_5,
6,42,2020-03-12,122:164,122:164,bus,0_5,
7,42,2020-03-12,123:163,122:164,bus,0_5,
8,42,2020-03-12,149:121,122:164,bus,0_5,
9,42,2020-03-12,150:120,122:164,bus,0_5,
10,42,2020-03-12,122:164,123:163,bus,0_5,
11,42,2020-03-12,149:121,123:163,bus,0_5,
12,42,2020-03-12,150:120,123:163,bus,0_5,
13,42,2020-03-12,126:160,126:160,bus,0_5,36.0
14,42,2020-03-12,160:110,126:160,bus,0_5,
15,42,2020-03-12,90:117,126:160,bus,0_5,
16,42,2020-03-12,97:102,126:160,bus,0_5,
17,42,2020-03-12,97:102,127:159,bus,0_5,
18,42,2020-03-12,119:151,136:150,bus,0_5,
19,42,2020-03-12,144:126,144:126,bus,0_5,19.0
20,42,2020-03-12,86:105,144:126,bus,0_5,
21,42,2020-03-12,87:104,144:126,bus,0_5,
22,42,2020-03-12,109:169,149:121,bus,0_5,10.0
23,42,2020-03-12,122:164,149:121,bus,0_5,
24,42,2020-03-12,123:163,149:121,bus,0_5,
25,42,2020-03-12,149:121,149:121,bus,0_5,
26,42,2020-03-12,150:120,149:121,bus,0_5,
27,42,2020-03-12,122:164,150:120,bus,0_5,
28,42,2020-03-12,123:163,150:120,bus,0_5,10.0
29,42,2020-03-12,149:121,150:120,bus,0_5,
30,42,2020-03-12,150:120,150:120,bus,0_5,
31,42,2020-03-12,126:160,160:110,bus,0_5,
32,42,2020-03-12,86:105,160:110,bus,0_5,
33,42,2020-03-12,87:104,160:110,bus,0_5,10.0
34,42,2020-03-12,90:117,160:110,bus,0_5,
35,42,2020-03-12,85:106,85:106,bus,0_5,
36,42,2020-03-12,88:103,85:106,bus,0_5,
37,42,2020-03-12,90:117,85:106,bus,0_5,20.0
38,42,2020-03-12,144:126,86:105,bus,0_5,
39,42,2020-03-12,86:105,86:105,bus,0_5,
40,42,2020-03-12,126:160,87:104,bus,0_5,
41,42,2020-03-12,144:126,87:104,bus,0_5,
42,42,2020-03-12,90:117,87:104,bus,0_5,11.0
43,42,2020-03-12,85:106,88:103,bus,0_5,
44,42,2020-03-12,90:117,88:103,bus,0_5,
45,42,2020-03-12,126:160,90:117,bus,0_5,64.0
