ProjectID,Date,Origin,Destination,Modo,Gender,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
42,2019-11-15,0:500,103:203,private_transport,M,,31.0,,,,,,,,,,,,,,,,,,,,,,
42,2019-11-15,0:500,107:207,private_transport,M,10.0,,,,,,,,,,,,,,,,,,,,,,,
42,2019-11-15,0:500,131:139,private_transport,M,,11.0,,,,,,,,,,,,,,,,,,,,,,
42,2019-11-15,0:500,62:307,private_transport,M,,24.0,,,,,,,,,,,,,,,,,,,,,,
42,2019-11-15,100:206,107:207,bus,M,,,,,,,,,,,,,,,,,,10.0,,,,,,
42,2019-11-15,100:206,107:207,private_transport,M,,,,,,,,,,,,,,,,,,13.0,12.0,,,,,
42,2019-11-15,100:206,100:206,bus,M,,,,,,,,10.0,,,,,,,,,,,,,,,,
42,2019-11-15,100:206,100:206,private_transport,M,,,,,,,,11.0,,15.0,,,,,,,,,,,,,,
42,2019-11-15,100:206,101:205,bus,M,,,,,,,,,,,,,,,13.0,,,,,,,,,
42,2019-11-15,100:206,101:205,private_transport,M,,,,,,,,,,,,,,,11.0,,,,,,,,,
42,2019-11-15,100:206,108:170,bus,M,,,,,,,,,,,,,,,,,,,,11.0,,,,
42,2019-11-15,100:206,108:170,private_transport,M,,,,,,,,,,,,,,,,,,,,10.0,,,,
42,2019-11-15,100:206,128:142,bus,M,,,,,,,,,,,,,,,,11.0,,,,,,,,
42,2019-11-15,100:206,128:142,private_transport,M,,,,,,,,,,10.0,,,,,,12.0,,,,,,,,
42,2019-11-15,100:206,143:143,bus,M,,,,,,,,10.0,,,,,,,,,,,,,,,,
42,2019-11-15,100:206,143:143,private_transport,M,,,,,,,,11.0,,11.0,,,,,,,,,,,,,,
42,2019-11-15,100:206,152:134,bus,M,,,,,,,,,,,,,,,,,14.0,,,,,,,
42,2019-11-15,100:206,152:134,private_transport,M,,,,,,,,,,,,,,,,,16.0,,,10.0,,,,
42,2019-11-15,100:206,56:416,private_transport,M,,,,,,,,,,,,,,,,,,,,,43.0,,,
42,2019-11-15,100:206,57:310,private_transport,M,,,,,,,,,20.0,,,,,,,,,,,,,,,
42,2019-11-15,100:206,61:413,private_transport,M,,,,,,,,,,,,,44.0,,,,,,,,,,,
42,2019-11-15,100:206,76:314,private_transport,M,,,,10.0,,,,,,,,,,,,,,,,,,,,
42,2019-11-15,100:206,79:415,private_transport,M,,,,,,,,,,,,,,,,,,,,,10.0,,,
42,2019-11-15,100:206,83:108,private_transport,M,,,,11.0,,,,,,,,,,,,,,12.0,,,,,,
42,2019-11-15,100:206,98:217,private_transport,M,,,,,,,,,,,,,,,,,,,,12.0,,,11.0,
42,2019-11-15,101:205,101:205,bus,M,,,,,,,,,,11.0,,,,10.0,,,,,,,,,,
42,2019-11-15,101:205,101:205,microtrip,M,12.0,,,,,,,,,,,,,14.0,11.0,11.0,,,,,,,11.0,
42,2019-11-15,101:205,101:205,private_transport,M,,,,,,,,,,,10.0,,,10.0,,,,,,,15.0,,,
42,2019-11-15,101:205,108:170,microtrip,M,,,,,12.0,,,10.0,11.0,,,,,,,11.0,,,,,,,,
42,2019-11-15,101:205,152:134,microtrip,M,,,,,,,,10.0,,,,,,,,,,,12.0,,,,,
42,2019-11-15,101:205,56:416,private_transport,M,,,,,,,,,,,,,,,25.0,,,,,,,,,
42,2019-11-15,101:205,61:413,private_transport,M,,,,,,,,,,,,,12.0,11.0,,,,,,,,,,
42,2019-11-15,101:205,76:314,private_transport,M,,,,,,,,,42.0,,,34.0,,,15.0,,,11.0,,,,,11.0,
42,2019-11-15,101:205,83:108,microtrip,M,12.0,,,,,10.0,,,,11.0,,,16.0,,10.0,,,,,,,,,
42,2019-11-15,101:205,102:204,bus,M,,,,,,,,,,,,,,,,,,,,,10.0,,,
42,2019-11-15,101:205,126:160,microtrip,M,,,,,,,,,,10.0,,,,,,,,,,,,,,
42,2019-11-15,101:205,129:141,bus,M,,,,,,,,,,16.0,,,,12.0,,,,,,,,,,
42,2019-11-15,101:205,129:141,microtrip,M,13.0,,,,,,,,,12.0,17.0,,,,21.0,14.0,,12.0,20.0,14.0,,,,
42,2019-11-15,101:205,129:141,private_transport,M,,,,,,,,,,,17.0,,27.0,12.0,,,,,,,,,,
42,2019-11-15,101:205,130:140,microtrip,M,10.0,,,,,,,,,,,,10.0,,,,,,,,,,,
42,2019-11-15,101:205,145:125,microtrip,M,,,,,,,,,,,,,10.0,,,,,,,,,,,
42,2019-11-15,101:205,146:124,bus,M,,,,,,,,,,,,,,,,,,,,,17.0,,,
42,2019-11-15,101:205,146:124,microtrip,M,,,,,,,,,,,,11.0,,,,,12.0,,,10.0,,,,
42,2019-11-15,101:205,146:124,private_transport,M,,,,,,,,,,,,,,,,,,,,,23.0,,,
42,2019-11-15,101:205,151:119,microtrip,M,,,,,10.0,,,,,,,,,,,16.0,,11.0,,,,,,
42,2019-11-15,101:205,153:133,microtrip,M,,,,,,,,,,,,,,,,10.0,,,,,,,,
42,2019-11-15,101:205,154:132,microtrip,M,10.0,,,10.0,,,,,,,10.0,,11.0,,,,,13.0,13.0,,11.0,,11.0,15.0
42,2019-11-15,101:205,157:129,private_transport,M,,,,,,,,,20.0,,,,,,,,,,,,,,,
42,2019-11-15,101:205,160:110,microtrip,M,,,,,,,,10.0,,,,,,,,,,,12.0,,,,,
42,2019-11-15,101:205,25:525,private_transport,M,,22.0,,,,,,,,,,,,,,,,,,,,,,
42,2019-11-15,101:205,66:316,private_transport,M,,,,,,,,,,,,,27.0,,,,,,,,,,,
42,2019-11-15,101:205,82:418,private_transport,M,,42.0,,,,,,27.0,40.0,,,,,,,,,,,,,,,
42,2019-11-15,101:205,86:105,private_transport,M,,,,,,,,,,,10.0,,,,,,,,,,,,,
42,2019-11-15,101:205,89:118,bus,M,,,,,,,,,,,,,,10.0,,,,,,,,,,
42,2019-11-15,101:205,89:118,microtrip,M,,,,,,,,,,,11.0,,,,,,,12.0,,,,,,
42,2019-11-15,101:205,89:118,private_transport,M,,,,,,,,,,10.0,,,13.0,11.0,,,,,,,,,,
42,2019-11-15,101:205,96:111,microtrip,M,,,,,,,,10.0,,,,,,,,,,,12.0,,,10.0,,
42,2019-11-15,101:205,99:101,microtrip,M,,,,,,,,,,,,,,,,,,,,,10.0,,,
42,2019-11-15,101:205,9:509,private_transport,M,,10.0,,,,,,,,,,,,,,,,,,,,,,
42,2019-11-15,102:204,103:203,private_transport,M,,,,,,,,,,,,,,11.0,,,,,,,,,,
42,2019-11-15,102:204,56:416,private_transport,M,,,,,,,,,,,,,,,14.0,,,,,,,,,
42,2019-11-15,102:204,76:314,private_transport,M,,,,,,,,,,,,,,,,,13.0,,,,,,,
42,2019-11-15,102:204,102:204,private_transport,M,,,,,,,,,,,,,,,,,,,,,10.0,,,
42,2019-11-15,102:204,145:125,microtrip,M,,,,,,,,,,,,,,,,,,,,11.0,,,10.0,
42,2019-11-15,102:204,146:124,bus,M,,,,,,,,,,,,,,,,,,,,,12.0,,,
42,2019-11-15,102:204,146:124,microtrip,M,,,,,,,,,,,,10.0,,,,,,,,,,,,
42,2019-11-15,102:204,157:129,private_transport,M,,,,,,,,,16.0,,,,,,,,,,,,,,,
42,2019-11-15,102:204,82:418,private_transport,M,,19.0,,,,,,,,,,,,,,,,,,,,,,
42,2019-11-15,102:204,120:166,microtrip,M,,,,,,,,,,,,,,,,,,,,,10.0,,,
42,2019-11-15,102:204,141:145,microtrip,M,,,,,,,,,,,,,,10.0,,,,,,,,,,
42,2019-11-15,102:204,45:319,private_transport,M,,,,,,,,,,,,,,,,10.0,,,,,,,,
42,2019-11-15,103:203,103:203,bus,M,,,,,,,,,10.0,,,13.0,,,19.0,,,,,,,,,
42,2019-11-15,103:203,103:203,microtrip,M,,12.0,,,,,,,,,,,,,,,,,,,,,,
42,2019-11-15,103:203,103:203,private_transport,M,,,,,,,,,14.0,39.0,,17.0,,,29.0,22.0,,15.0,,10.0,,,,
42,2019-11-15,103:203,107:207,private_transport,M,,,,,,,,,,,,,,,,,24.0,,,,,,,
42,2019-11-15,103:203,131:139,bus,M,,,,,,,,,,,,14.0,,,,,,,,,,,,
42,2019-11-15,103:203,131:139,private_transport,M,,,,,,,,,,23.0,,,,,15.0,,,,,,,,,
42,2019-11-15,103:203,62:307,private_transport,M,,,,,,,,,50.0,,,,,,,,,,,,,,,
42,2019-11-15,103:203,108:170,private_transport,M,,,,,,,,,,10.0,,,,,,,,,,,,,,
42,2019-11-15,103:203,56:416,private_transport,M,,,,,79.0,,,,,93.0,50.0,110.0,145.0,,,,113.0,,,,,,,
42,2019-11-15,103:203,61:413,private_transport,M,88.0,,,,,,,,,,145.0,106.0,143.0,323.0,,233.0,57.0,64.0,,87.0,,12.0,80.0,
42,2019-11-15,103:203,76:314,private_transport,M,49.0,,,,,,,,,,128.0,15.0,,,11.0,,,,,,,,,
42,2019-11-15,103:203,83:108,private_transport,M,,,,,,,,,,,,,,,,,,,,,,,20.0,
42,2019-11-15,103:203,130:140,private_transport,M,,,,,,,,,,,,,,,,,,,,,,,16.0,
42,2019-11-15,103:203,160:110,private_transport,M,,,,,,,,,,27.0,,,,,,,,,,,,,,
42,2019-11-15,103:203,82:418,private_transport,M,,,,,,,45.0,,,,,,,,,,,,,,,,,
