ProjectID,Date,Origin,Destination,Modo,Gender,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
42,2019-11-13,100:206,100:206,bus,F,,,,,,19.0,,,,,,,,,,,,,,,,,,
42,2019-11-13,100:206,107:207,bus,F,,,,,,10.0,,,,,,,,,,,,,,,,,,
42,2019-11-13,100:206,128:142,bus,F,,,,,,11.0,,,,,,,,,,,,,,,,,,
42,2019-11-13,100:206,56:416,private_transport,F,,,,,,,,,,,,,,,,69.0,,,,,,,,
42,2019-11-13,101:205,101:205,bus,F,,,,,,,,10.0,,,,,,,,,,,,,,,,
42,2019-11-13,101:205,101:205,microtrip,F,11.0,11.0,,,,,10.0,,,,,,,,,,,,,,,,12.0,
42,2019-11-13,101:205,108:170,microtrip,F,,,,,,,,,14.0,,,11.0,,,11.0,,,,,,,,,
42,2019-11-13,101:205,110:168,bus,F,,,,,,15.0,,,,,,,,,,,,,,,,,,
42,2019-11-13,101:205,126:160,microtrip,F,10.0,,,,,,,,,,,,,,,,,10.0,,,11.0,,,
42,2019-11-13,101:205,129:141,bus,F,,,,,,,,11.0,,,,,,,,,,,,,,,,
42,2019-11-13,101:205,129:141,microtrip,F,11.0,,,,,,,11.0,,,,,15.0,,11.0,,,,,,,,14.0,11.0
42,2019-11-13,101:205,130:140,microtrip,F,,,,,,,,,,10.0,,,,,,10.0,,,,,,,,
42,2019-11-13,101:205,145:125,microtrip,F,,,,,,,,10.0,,10.0,,,,,,,,,,,,,,
42,2019-11-13,101:205,151:119,microtrip,F,,,,,,,12.0,,,,,,,11.0,,,11.0,,,,,12.0,,
42,2019-11-13,101:205,152:134,microtrip,F,,,,,,,,,,,,,,,,,,,,,11.0,,,
42,2019-11-13,101:205,154:132,microtrip,F,15.0,15.0,,,10.0,,,,,,,,,12.0,,13.0,,13.0,,,,,,
42,2019-11-13,101:205,160:110,microtrip,F,,,,,,,,,,,,,,,10.0,,,,,,,,,
42,2019-11-13,101:205,45:319,bus,F,,,,,,,,,28.0,,,,,,,,,,,,,,,
42,2019-11-13,101:205,45:319,private_transport,F,,,,,,,,,28.0,,,,,,,,,,,,,,,
42,2019-11-13,101:205,68:315,private_transport,F,,,,,,,,,,,,41.0,,,,,,,,,,,,
42,2019-11-13,101:205,83:108,bus,F,,,,,,,,,34.0,,,,,,,,,,,,,,,
42,2019-11-13,101:205,83:108,microtrip,F,,,,,,,11.0,,,10.0,,,,,,,,,,,,,,
42,2019-11-13,101:205,89:118,microtrip,F,,,,,,,,,,,,,11.0,,11.0,,,,,,,,,
42,2019-11-13,101:205,96:111,microtrip,F,,,,,,,,11.0,,,,,,,,,,,,,,,,
42,2019-11-13,101:205,99:101,bus,F,,,,,,,,,,,14.0,,,,,,,,,,,,,
42,2019-11-13,101:205,9:509,private_transport,F,,,,13.0,,,,,,,,,,,,,,,,,,,,
42,2019-11-13,102:204,108:170,bus,F,,,,,,,,,10.0,,,,,,,,,,,,,,,
42,2019-11-13,102:204,110:168,bus,F,,,,,,13.0,,,,,,,,,,,,,,,,,,
42,2019-11-13,102:204,145:125,microtrip,F,10.0,,,,,,,,,,,,,,,10.0,,,,,,,,
42,2019-11-13,102:204,154:132,microtrip,F,,,,,,,,,,,,,,,,,,,,,,10.0,,
42,2019-11-13,102:204,83:108,private_transport,F,,,,,,,,,11.0,,,,,,,,,,,,,,,
42,2019-11-13,102:204,99:101,microtrip,F,,,,,,,10.0,,,,,,,,,,,,,,,11.0,,
42,2019-11-13,102:204,134:136,private_transport,F,,,,,,,,,,10.0,,,,,,,,,,,,,,
42,2019-11-13,102:204,136:150,microtrip,F,,,,,,,,,,10.0,,,,,,,,,,,,,,
