ProjectID,Date,Origin,Destination,Modo,Gender,0_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94
42,2020-03-01,0:500,158:128,private_transport,F,,,,,,28.0,,,,,,,,,,,
42,2020-03-01,0:500,84:107,private_transport,F,,,,,,36.0,,,,,,,,,,,
42,2020-03-01,0:500,85:106,private_transport,F,,,,,,34.0,,,,,,,,,,,
42,2020-03-01,100:206,100:206,private_transport,F,,,,26.0,,,22.0,,,,,,,,,,
42,2020-03-01,100:206,100:206,private_transport,M,,,,,,12.0,10.0,,,,,,,,,,
42,2020-03-01,100:206,107:207,private_transport,F,,,,,,,14.0,,,,,,,,,,
42,2020-03-01,100:206,143:143,private_transport,F,,,10.0,23.0,,,21.0,,,,,,,,,,
42,2020-03-01,100:206,143:143,private_transport,M,,11.0,,22.0,,,,,,11.0,,,,,,,
42,2020-03-01,100:206,45:319,private_transport,F,,,,,,,29.0,,,,,,,,,,
42,2020-03-01,100:206,62:307,private_transport,F,,,,,,,,,,,32.0,,,,,,
42,2020-03-01,100:206,62:307,private_transport,M,,,,,37.0,,,,,,,,,,,,
42,2020-03-01,100:206,68:315,private_transport,F,,,,,,,25.0,,,,,,,,,,
42,2020-03-01,100:206,76:314,private_transport,M,,,,,12.0,,,,,,,,,,,,
42,2020-03-01,100:206,83:108,bus,F,,,,,,,,,,14.0,,,,,,,
42,2020-03-01,100:206,83:108,bus,M,,,,,,,,,10.0,,,,,,,,
42,2020-03-01,100:206,83:108,private_transport,F,,,11.0,11.0,,,12.0,,,29.0,,,,,,,
42,2020-03-01,100:206,83:108,private_transport,M,,,,,,,,,26.0,,,,,,,,
42,2020-03-01,100:206,98:217,private_transport,M,,10.0,,,,,,,,12.0,,,,,,,
42,2020-03-01,101:205,100:206,private_transport,M,,10.0,,,,,,,,,,,,,,,
42,2020-03-01,101:205,107:207,private_transport,F,,,,,,,10.0,,,,,,,,,,
42,2020-03-01,101:205,45:319,private_transport,M,,,,17.0,,,,,,,,,,,,,
42,2020-03-01,101:205,76:314,private_transport,F,,,,,12.0,,,,,,,,,,,,
42,2020-03-01,101:205,76:314,private_transport,M,,,,,,,17.0,11.0,,,,,,,,,
42,2020-03-01,101:205,83:108,microtrip,F,,,,,13.0,,,12.0,,13.0,,,,,,,
42,2020-03-01,101:205,83:108,microtrip,M,,,12.0,10.0,18.0,,,,11.0,,,,,,,,
42,2020-03-01,101:205,83:108,private_transport,M,,,,,,18.0,,,,,,,,,,,
42,2020-03-01,101:205,98:217,private_transport,F,,,,10.0,,,10.0,,,,,,,,,,
42,2020-03-01,101:205,101:205,microtrip,F,,,10.0,14.0,,,,14.0,,,,,,,,,
42,2020-03-01,101:205,101:205,microtrip,M,,,12.0,13.0,,10.0,12.0,,,13.0,,,,,,,
42,2020-03-01,101:205,101:205,private_transport,M,,,,14.0,,15.0,,12.0,,,,,,,,,
42,2020-03-01,101:205,102:204,microtrip,F,,,,,,,,10.0,,,,,,,,,
42,2020-03-01,101:205,108:170,microtrip,F,,,,,,,,15.0,,,,,,,,,
42,2020-03-01,101:205,108:170,microtrip,M,,,,,26.0,,13.0,10.0,,,,,,,,,
42,2020-03-01,101:205,121:165,private_transport,F,,16.0,,,17.0,,,,,,,,,,,,
42,2020-03-01,101:205,126:160,microtrip,M,,,,,,10.0,,,,,,,,,,,
42,2020-03-01,101:205,129:141,bus,M,,,,11.0,10.0,,,,,,,,,,,,
42,2020-03-01,101:205,129:141,microtrip,F,,,23.0,19.0,14.0,13.0,23.0,26.0,,,10.0,,,,,,
42,2020-03-01,101:205,129:141,microtrip,M,,,,,22.0,11.0,34.0,14.0,10.0,,,,,,,,
