ProjectID,Date,Origin,Destination,Modo,Gender,0_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94
42,2020-03-07,100:206,100:206,bus,M,,,,,15.0,,,,,,,,,,,,
42,2020-03-07,100:206,100:206,private_transport,F,,,,,,,,,,16.0,,,,,,,
42,2020-03-07,100:206,100:206,private_transport,M,,,,,,,,29.0,,,,,,,,,
42,2020-03-07,100:206,101:205,private_transport,M,,,,,,,,12.0,,,,,,,,,
42,2020-03-07,100:206,107:207,bus,M,,,,,,,,11.0,,,,,,,,,
42,2020-03-07,100:206,107:207,private_transport,F,,,,10.0,,,,,,17.0,,,,,,,
42,2020-03-07,100:206,107:207,private_transport,M,,,,,11.0,,,19.0,,,,,,,,,
42,2020-03-07,100:206,109:169,private_transport,M,,,12.0,,,,,,,,,,,,,,
42,2020-03-07,100:206,128:142,bus,M,,,,,16.0,,,,,,,,,,,,
42,2020-03-07,100:206,128:142,private_transport,M,,,,12.0,,,,,,,,,,,,,
42,2020-03-07,100:206,143:143,private_transport,F,,,,,,,,,,13.0,13.0,,,,,,
42,2020-03-07,100:206,143:143,private_transport,M,,,,13.0,15.0,,,28.0,,,,,,,,,
42,2020-03-07,100:206,45:319,private_transport,F,,,70.0,,,,,,,,,,,,,,
42,2020-03-07,100:206,48:301,bus,M,,,,,,13.0,,,,,,,,,,,
42,2020-03-07,100:206,48:301,private_transport,M,,,,,,50.0,,,,,,,,,,,
42,2020-03-07,100:206,57:310,private_transport,F,,,,44.0,,,,,,,,,,,,,
42,2020-03-07,100:206,61:413,private_transport,M,,,,,,,,68.0,,,,,,,,,
42,2020-03-07,100:206,62:307,bus,M,,,,,,,11.0,,,,,,,,,,
42,2020-03-07,100:206,62:307,private_transport,M,,,,,,,40.0,,,,,,,,,,
42,2020-03-07,100:206,76:314,bus,M,,,,,,,10.0,,,,,,,,,,
42,2020-03-07,100:206,76:314,private_transport,M,,,,,,,13.0,,,,,,,,,,
42,2020-03-07,100:206,83:108,private_transport,M,,,,,12.0,,,,,,,,,,,,
42,2020-03-07,100:206,97:102,private_transport,M,,,,,,,,,,13.0,,,,,,,
42,2020-03-07,101:205,101:205,microtrip,F,,,,,13.0,12.0,15.0,,,,,,,,,,
42,2020-03-07,101:205,101:205,microtrip,M,,,,,19.0,20.0,10.0,,,,10.0,,,,,,
42,2020-03-07,101:205,101:205,private_transport,F,,,20.0,,,,,,,,,,,,,,
42,2020-03-07,101:205,101:205,private_transport,M,,,,,11.0,,10.0,,,,,,,,,,
42,2020-03-07,101:205,109:169,private_transport,F,,,,,,,11.0,,,,,,,,,,
42,2020-03-07,101:205,109:169,private_transport,M,,,,,,,,19.0,,,,,,,,,
42,2020-03-07,101:205,143:143,private_transport,F,,,,,,,,,,,10.0,,,,,,
42,2020-03-07,101:205,45:319,bus,F,,,,,,,15.0,,,,,,,,,,
42,2020-03-07,101:205,45:319,bus,M,,,,,14.0,,,,,,,,,,,,
42,2020-03-07,101:205,45:319,private_transport,F,,,,,,,17.0,,,,,34.0,,,,,
42,2020-03-07,101:205,45:319,private_transport,M,,,,,36.0,,,,28.0,11.0,,,,,,,
42,2020-03-07,101:205,48:301,private_transport,M,,,,,,11.0,,,,,,,,,,,
42,2020-03-07,101:205,61:413,private_transport,F,,,,,,,,60.0,,,,,,,,,
42,2020-03-07,101:205,61:413,private_transport,M,,,49.0,17.0,,,,18.0,,17.0,,,,,,,
42,2020-03-07,101:205,62:307,private_transport,F,,,,,,,34.0,,,,,,,,,,
42,2020-03-07,101:205,76:314,private_transport,F,,,,,,32.0,,37.0,,,,,,,,,
42,2020-03-07,101:205,76:314,private_transport,M,,,37.0,,15.0,54.0,,,,,,,,,,,
42,2020-03-07,101:205,83:108,bus,F,,,16.0,,,,,,,,,,,,,,
42,2020-03-07,101:205,83:108,microtrip,F,,,,,26.0,,,13.0,12.0,,,,,,,,
42,2020-03-07,101:205,83:108,microtrip,M,,,12.0,24.0,12.0,18.0,16.0,,,,,,10.0,,,,
42,2020-03-07,101:205,83:108,private_transport,M,,,,,23.0,,,10.0,,,,,,,,,
42,2020-03-07,101:205,102:204,private_transport,M,,,,,,,13.0,,,,,,,,,,
42,2020-03-07,101:205,104:202,private_transport,M,,,,,22.0,,,,,,,,,,,,
42,2020-03-07,101:205,108:170,bus,F,,,,,,14.0,,,,,,,,,,,
42,2020-03-07,101:205,108:170,microtrip,F,,,11.0,,,20.0,,12.0,,10.0,,,,,,,
42,2020-03-07,101:205,108:170,microtrip,M,,,20.0,,15.0,,19.0,20.0,,,,,,,,,
42,2020-03-07,101:205,108:170,private_transport,M,,,,,13.0,,,,,,,,,,,,
42,2020-03-07,101:205,110:168,private_transport,M,,,,,26.0,,,,,,,,,,,,
42,2020-03-07,101:205,120:166,bus,M,,,,16.0,,,,,,,,,,,,,
42,2020-03-07,101:205,120:166,private_transport,M,,,11.0,,,,,,,,,,,,,,
42,2020-03-07,101:205,126:160,bus,M,,,,,,,,12.0,,,,,,,,,
42,2020-03-07,101:205,126:160,microtrip,F,,,,,,11.0,,,,,,,,,,,
42,2020-03-07,101:205,126:160,microtrip,M,,,,,,,,,11.0,,,,,,,,
42,2020-03-07,101:205,127:159,microtrip,F,,,,,,11.0,,,,,,,,,,,
42,2020-03-07,101:205,129:141,bus,F,,,13.0,,,,,,,,,,,,,,
42,2020-03-07,101:205,129:141,microtrip,F,,,,16.0,13.0,21.0,21.0,,20.0,,11.0,,,,,,
42,2020-03-07,101:205,129:141,microtrip,M,,,,12.0,25.0,25.0,28.0,28.0,27.0,,,,10.0,,,,
42,2020-03-07,101:205,129:141,private_transport,F,,,33.0,,,,,,,,,,,,,,
