ProjectID,Date,Origin,Destination,Modo,Gender,0_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94
42,2020-03-03,100:206,100:206,bus,F,,,,14.0,28.0,,,,,,,,,,,,
42,2020-03-03,100:206,100:206,bus,M,,,,,,14.0,,,,13.0,,,,,,,
42,2020-03-03,100:206,100:206,private_transport,F,,,,28.0,25.0,,,,,,,,,,,,
42,2020-03-03,100:206,100:206,private_transport,M,,,,,,,,,,10.0,,,,,,,
42,2020-03-03,100:206,101:205,bus,F,,,,,,,11.0,,,,,,,,,,
42,2020-03-03,100:206,107:207,bus,F,,,,,23.0,,,,,,,,,,,,
42,2020-03-03,100:206,107:207,bus,M,,,,,,18.0,,,,,,,,,,,
42,2020-03-03,100:206,107:207,private_transport,F,,,,22.0,21.0,,13.0,,,,,,,,,,
42,2020-03-03,100:206,110:168,bus,M,,,,,,15.0,,,,,,,,,,,
42,2020-03-03,100:206,110:168,private_transport,M,,,,,,21.0,,,,,,,,,,,
42,2020-03-03,100:206,111:167,bus,M,,,,,,17.0,,,,,,,,,,,
42,2020-03-03,100:206,121:165,private_transport,M,,,,,,16.0,,,,,,,,,,,
42,2020-03-03,100:206,122:164,bus,M,,,,,11.0,,,,,,,,,,,,
42,2020-03-03,100:206,122:164,private_transport,M,,,,,14.0,,,,,,,,,,,,
42,2020-03-03,100:206,123:163,bus,M,,,,,10.0,,,,,,,,,,,,
42,2020-03-03,100:206,143:143,bus,F,,,,,20.0,,,,,,,,,,,,
42,2020-03-03,100:206,143:143,bus,M,,,,,,12.0,,,,,,,,,,,
42,2020-03-03,100:206,143:143,private_transport,F,,,,19.0,17.0,,,,,,,,,,,,
42,2020-03-03,100:206,147:123,bus,M,,,,,,10.0,,,,,,,,,,,
42,2020-03-03,100:206,149:121,private_transport,M,,,,,13.0,,,,,,,,,,,,
42,2020-03-03,100:206,157:129,bus,M,,,,,,12.0,,,,,,,,,,,
42,2020-03-03,100:206,45:319,private_transport,F,,,,,,,,10.0,,,,,,,,,
42,2020-03-03,100:206,56:416,private_transport,M,,,,,,,,,,,,,46.0,,,,
42,2020-03-03,100:206,61:413,private_transport,M,,,,66.0,,,,,,,,,,,,,
42,2020-03-03,100:206,76:314,bus,F,,,,,34.0,,,,,,,,,,,,
42,2020-03-03,100:206,76:314,private_transport,F,,,,,31.0,,,,,,,,,,,,
42,2020-03-03,100:206,83:108,bus,M,,,41.0,14.0,,,,,,,,,,,,,
42,2020-03-03,100:206,83:108,private_transport,M,,,12.0,16.0,,,,,,,,,,,,,
42,2020-03-03,100:206,84:107,private_transport,M,,,,,,10.0,,,,,,,,,,,
42,2020-03-03,100:206,98:217,bus,M,,,,12.0,,11.0,,,,,,,,,,,
42,2020-03-03,100:206,98:217,private_transport,M,,,,13.0,,,,,,,,,,,,,
42,2020-03-03,101:205,101:205,bus,F,,,,,,13.0,,,,,,,,,,,
42,2020-03-03,101:205,101:205,bus,M,,,,,,,,17.0,,,12.0,,,,,,
42,2020-03-03,101:205,101:205,microtrip,F,,,,12.0,11.0,,12.0,12.0,,10.0,11.0,,,,,,
42,2020-03-03,101:205,101:205,microtrip,M,,,,13.0,,14.0,,13.0,12.0,,,,,,,,
42,2020-03-03,101:205,101:205,private_transport,M,,,,,,,,,,,14.0,,,,,,
42,2020-03-03,101:205,107:207,bus,F,,,,,10.0,,,,,,,,,,,,
42,2020-03-03,101:205,107:207,private_transport,F,,,,10.0,,,,,,,,,,,,,
