ProjectID,Date,Origin,Destination,Modo,Gender,0_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89
42,2020-03-15,100:206,100:206,private_transport,F,,,,,,,14.0,,,,,,,,,
42,2020-03-15,100:206,100:206,private_transport,M,,,,,,,11.0,,,,,,,,,
42,2020-03-15,100:206,107:207,private_transport,M,,,,,,,,10.0,,,10.0,,,,,
42,2020-03-15,100:206,109:169,private_transport,F,,,,,10.0,,,,,,,,,,,
42,2020-03-15,100:206,109:169,private_transport,M,,,,,,15.0,,,,,,,,,,
42,2020-03-15,100:206,110:168,bus,F,,,,,10.0,,,,,,,,,,,
42,2020-03-15,100:206,110:168,private_transport,F,,,,,26.0,,,,,,,,,,,
42,2020-03-15,100:206,110:168,private_transport,M,,,,,,11.0,,,,,,,,,,
42,2020-03-15,100:206,130:140,private_transport,M,,,,,12.0,,,,,,,,,,,
42,2020-03-15,100:206,143:143,private_transport,F,,,,,,,,,,15.0,,,,,,
42,2020-03-15,100:206,143:143,private_transport,M,,,,,,,,,12.0,,16.0,,,,,
42,2020-03-15,100:206,153:133,private_transport,M,,,,,15.0,,,,,,,,,,,
42,2020-03-15,100:206,154:132,private_transport,M,,,,,11.0,,,,,,,,,,,
42,2020-03-15,100:206,25:525,private_transport,M,,,,,,26.0,,,,,,,,,,
42,2020-03-15,100:206,32:532,private_transport,M,,,,,,,,,,,,23.0,,,,
42,2020-03-15,100:206,45:319,private_transport,M,,,,,,,28.0,,,,,,,,,
42,2020-03-15,100:206,79:415,private_transport,M,,,,29.0,,,,,,,,,,,,
42,2020-03-15,100:206,83:108,private_transport,M,,,,,,,,,13.0,,,,,,,
42,2020-03-15,101:205,107:207,private_transport,F,,,,,,14.0,,,,,,,,,,
42,2020-03-15,101:205,107:207,private_transport,M,,,,,,14.0,,,,,,,,,,
42,2020-03-15,101:205,109:169,private_transport,M,,,,,12.0,,,,,,,,,,,
42,2020-03-15,101:205,130:140,microtrip,F,,,,,,,,10.0,,,,,,,,
42,2020-03-15,101:205,130:140,microtrip,M,,,,,16.0,,,,,,,,,,,
42,2020-03-15,101:205,143:143,private_transport,M,,,,,10.0,11.0,,,,,,,,,,
42,2020-03-15,101:205,154:132,microtrip,F,,,,18.0,18.0,20.0,,,14.0,11.0,12.0,,,,,
42,2020-03-15,101:205,154:132,microtrip,M,,,,,19.0,10.0,28.0,,,14.0,,,,,,
42,2020-03-15,101:205,154:132,private_transport,M,,,10.0,,,,,,,,,,,,,
42,2020-03-15,101:205,25:525,private_transport,M,,,,,,11.0,,,,,,,,,,
42,2020-03-15,101:205,79:415,private_transport,M,,,,11.0,,,,,,,,,,,,
42,2020-03-15,101:205,83:108,microtrip,M,,,22.0,18.0,23.0,,17.0,,,,13.0,,,,,
42,2020-03-15,101:205,83:108,private_transport,F,,,,,,,,,17.0,,,,,,,
42,2020-03-15,101:205,101:205,microtrip,F,,,,15.0,,,17.0,,13.0,,,,,,,
42,2020-03-15,101:205,101:205,microtrip,M,,,,21.0,10.0,11.0,,15.0,,,12.0,,,,,
42,2020-03-15,101:205,101:205,private_transport,M,,,,,,,12.0,,,10.0,,10.0,,,,
42,2020-03-15,101:205,102:204,bus,M,,,,,10.0,,,,,,,,,,,
42,2020-03-15,101:205,102:204,private_transport,M,,,,,13.0,,,,,,,,,,,
42,2020-03-15,101:205,103:203,private_transport,M,,,,,13.0,,,,,,,,,,,
42,2020-03-15,101:205,104:202,private_transport,F,,,,,,,,,10.0,,,,,,,
42,2020-03-15,101:205,108:170,microtrip,F,,,,18.0,,,12.0,,,,,,,,,
42,2020-03-15,101:205,108:170,microtrip,M,,,,12.0,16.0,,14.0,22.0,,,,,,,,
42,2020-03-15,101:205,108:170,private_transport,M,,,,,,,,,,17.0,,,,,,
42,2020-03-15,101:205,114:156,private_transport,F,,,,,,,,,14.0,,,,,,,
42,2020-03-15,101:205,126:160,microtrip,M,,,,,,11.0,12.0,,,,,,,,,
42,2020-03-15,101:205,127:159,microtrip,F,,,,,,11.0,,,10.0,,,,,,,
42,2020-03-15,101:205,129:141,bus,M,,,,,,,17.0,,,,,,,,,
42,2020-03-15,101:205,129:141,microtrip,F,,,,,,13.0,18.0,,11.0,12.0,,,,,,
42,2020-03-15,101:205,129:141,microtrip,M,,,14.0,16.0,15.0,20.0,19.0,,,20.0,,,,,,
42,2020-03-15,101:205,129:141,private_transport,M,,,12.0,,,,,,,17.0,,33.0,,,,
42,2020-03-15,101:205,141:145,private_transport,M,,,,,,,,19.0,,,,,,,,
42,2020-03-15,101:205,145:125,microtrip,M,,,,,,,,,10.0,,,,,,,
42,2020-03-15,101:205,145:125,private_transport,M,,,,,16.0,,,,,,,,,,,
42,2020-03-15,101:205,146:124,bus,M,,,,,23.0,,,,,,,,,,,
42,2020-03-15,101:205,146:124,private_transport,M,,,,16.0,29.0,,,,,,,,,,,
42,2020-03-15,101:205,151:119,microtrip,F,,,,19.0,,16.0,,11.0,10.0,,,11.0,,,,
42,2020-03-15,101:205,151:119,microtrip,M,,,,33.0,11.0,,12.0,11.0,,13.0,,,,,,
42,2020-03-15,101:205,151:119,private_transport,M,,,,,,,,,,16.0,,,,,,
42,2020-03-15,101:205,152:134,microtrip,F,,,,12.0,10.0,,10.0,,,,,,,,,
42,2020-03-15,101:205,152:134,microtrip,M,,,,12.0,,,,14.0,,,,,,,,
42,2020-03-15,101:205,156:130,microtrip,F,,,,11.0,10.0,,,,,,,,,,,
42,2020-03-15,101:205,156:130,microtrip,M,,,10.0,,12.0,,,,,10.0,,,,,,
42,2020-03-15,101:205,159:127,private_transport,F,,,13.0,,,,,,,,,,,,,
42,2020-03-15,101:205,160:110,microtrip,F,,,,,,14.0,10.0,,,,,,,,,
42,2020-03-15,101:205,160:110,microtrip,M,,,,,,14.0,,,,,,,,,,
42,2020-03-15,101:205,48:301,private_transport,M,,,,,32.0,,,,,,,,,,,
42,2020-03-15,101:205,50:412,private_transport,F,,,13.0,,,,,,,,,,,,,
42,2020-03-15,101:205,50:412,private_transport,M,,,,,,,11.0,,,,,,,,,
42,2020-03-15,101:205,53:309,private_transport,M,,,,12.0,,,,,,,,,,,,
42,2020-03-15,101:205,61:413,private_transport,M,,,,,,,11.0,,,,,,,,,
42,2020-03-15,101:205,62:307,private_transport,F,,,,,,,16.0,,,,,,,,,
42,2020-03-15,101:205,76:314,private_transport,F,,,,,10.0,,,,,17.0,,,,,,
42,2020-03-15,101:205,78:302,private_transport,F,,,,,,,,,20.0,,,,,,,
42,2020-03-15,101:205,89:118,bus,M,,,11.0,,,,,,,,,,,,,
42,2020-03-15,101:205,89:118,microtrip,F,,,,,,13.0,10.0,15.0,,12.0,,,,,,
42,2020-03-15,101:205,89:118,microtrip,M,,,11.0,18.0,,,13.0,14.0,10.0,17.0,,12.0,,,,
42,2020-03-15,101:205,89:118,private_transport,M,,,,,,,,,,13.0,,,,,,
42,2020-03-15,101:205,90:117,microtrip,M,,,,,,10.0,,,,,,,,,,
42,2020-03-15,101:205,95:112,private_transport,M,,,,,,,,19.0,,,,,,,,
42,2020-03-15,101:205,96:111,microtrip,F,,,,,10.0,,,,10.0,,,,,,,
42,2020-03-15,101:205,98:217,private_transport,F,,,,,,,,,23.0,,,,,,,
42,2020-03-15,101:205,99:101,microtrip,M,,,,,,11.0,,,,,,,,,,
42,2020-03-15,101:205,9:509,private_transport,F,,,,,,,36.0,,27.0,,,,,,,
42,2020-03-15,102:204,45:319,private_transport,M,,,,,,16.0,,,,,,,,,,
42,2020-03-15,102:204,108:170,microtrip,F,,,,11.0,,,,,,,,,,,,
42,2020-03-15,102:204,108:170,microtrip,M,,,,,,12.0,,,,,,,,,,
42,2020-03-15,102:204,126:160,private_transport,F,,,,,,,,,,12.0,,,,,,
42,2020-03-15,102:204,141:145,microtrip,F,,,,,11.0,,,,10.0,,,,,,,
42,2020-03-15,102:204,141:145,microtrip,M,,,,,,,,,11.0,,,,,,,
42,2020-03-15,102:204,141:145,private_transport,M,,,,,,,,12.0,,,,,,,,
42,2020-03-15,102:204,145:125,microtrip,M,,,,,,,,10.0,,,,,,,,
42,2020-03-15,102:204,146:124,bus,M,,,,,16.0,,,,,,,,,,,
42,2020-03-15,102:204,146:124,private_transport,M,,,,13.0,13.0,,,,,,,,,,,
42,2020-03-15,102:204,160:110,microtrip,M,,,10.0,,,,,,,,,,,,,
42,2020-03-15,102:204,48:301,private_transport,M,,,,,13.0,,,,,,,,,,,
42,2020-03-15,102:204,50:412,private_transport,M,,,,,,,13.0,,,,,,,,,
42,2020-03-15,102:204,62:307,private_transport,M,,,,10.0,,,,,,,,,,,,
42,2020-03-15,102:204,98:217,private_transport,F,,,,,,,,,11.0,,,,,,,
42,2020-03-15,102:204,99:101,private_transport,M,,,,17.0,,,,,,,,,,,,
42,2020-03-15,102:204,9:509,private_transport,F,,,,,,,,,13.0,,,,,,,
42,2020-03-15,102:204,9:509,private_transport,M,,,10.0,,23.0,,,,,,,,,,,
42,2020-03-15,102:204,105:201,private_transport,M,,,,,,,,,11.0,,,,,,,
42,2020-03-15,102:204,155:131,microtrip,M,,,,,,10.0,,,,,,,,,,
42,2020-03-15,102:204,29:529,private_transport,F,,,,,15.0,,,,,,,,,,,
42,2020-03-15,102:204,97:102,private_transport,F,,,19.0,,,,,,,,,,,,,
42,2020-03-15,103:203,109:169,private_transport,M,,,,21.0,,,,,,,,,,,,
42,2020-03-15,103:203,110:168,private_transport,F,,,,,,,,,,27.0,,,,,,
42,2020-03-15,103:203,110:168,private_transport,M,,,,,,,57.0,,,,,,,,,
42,2020-03-15,103:203,32:532,private_transport,M,,,,,,,,,,,18.0,,,,,
42,2020-03-15,103:203,45:319,private_transport,M,,,,14.0,81.0,22.0,,,69.0,,,,,,,
42,2020-03-15,103:203,83:108,bus,M,,,,16.0,,,,,,,,,,,,
42,2020-03-15,103:203,83:108,private_transport,M,,,,27.0,,,,,,,,,,,,
42,2020-03-15,103:203,103:203,private_transport,F,,,,,,,,,,10.0,,,,,,
42,2020-03-15,103:203,103:203,private_transport,M,,,58.0,23.0,21.0,109.0,37.0,,,,29.0,,,,,
42,2020-03-15,103:203,104:202,private_transport,F,,,,,,11.0,,,,,,,,,,
42,2020-03-15,103:203,104:202,private_transport,M,,,,11.0,15.0,,,,,,,,,,,
42,2020-03-15,103:203,108:170,bus,M,,,,25.0,,,,,,,,,,,,
42,2020-03-15,103:203,114:156,private_transport,M,,,,,,,11.0,,,,,,,,,
42,2020-03-15,103:203,151:119,bus,M,,,,16.0,,,,,,,,,,,,
42,2020-03-15,103:203,152:134,bus,M,,,,11.0,,,,,,,,,,,,
42,2020-03-15,103:203,156:130,private_transport,F,,,,,,,,,,,11.0,,,,,
42,2020-03-15,103:203,159:127,private_transport,M,,,,11.0,,,,,,,,,,,,
42,2020-03-15,103:203,160:110,private_transport,F,,,,,,,,,,,13.0,,,,,
42,2020-03-15,103:203,48:301,private_transport,M,,,38.0,,,,,,,,,,,,,
42,2020-03-15,103:203,50:412,private_transport,F,,,,,,40.0,,,10.0,,,,,,,
42,2020-03-15,103:203,50:412,private_transport,M,,,73.0,,,,,71.0,,,,,,,,
42,2020-03-15,103:203,53:309,private_transport,M,,,,,11.0,,,,,,,,,,,
42,2020-03-15,103:203,61:413,private_transport,F,,,,,,70.0,,,,,,,,,,
42,2020-03-15,103:203,61:413,private_transport,M,,,15.0,,68.0,,,52.0,,68.0,,,,,,
42,2020-03-15,103:203,76:314,private_transport,F,,,,,,15.0,,,,,,,,,,
42,2020-03-15,103:203,76:314,private_transport,M,,,,,,,,40.0,,,,,,,,
42,2020-03-15,103:203,78:302,private_transport,F,,,10.0,,,,11.0,,,,,,,,,
42,2020-03-15,103:203,78:302,private_transport,M,,,,36.0,,,,,,,,,,,,
42,2020-03-15,103:203,95:112,private_transport,M,,,,35.0,,,,,,,,24.0,,,,
42,2020-03-15,103:203,98:217,private_transport,M,,,,18.0,,,15.0,,,,,,,,,
42,2020-03-15,103:203,99:101,private_transport,M,,,,,,,,,27.0,,,,,,,
42,2020-03-15,103:203,9:509,private_transport,F,,,12.0,,,,,,52.0,,,,,,,
42,2020-03-15,103:203,9:509,private_transport,M,,,,,,,12.0,,,,103.0,,,,,
42,2020-03-15,103:203,29:529,private_transport,F,,,122.0,,,14.0,,,,,,,,,,
42,2020-03-15,103:203,97:102,private_transport,F,,,,24.0,,,,,,,,,,,,
42,2020-03-15,103:203,97:102,private_transport,M,,,,17.0,,,,,,,,,,,,
42,2020-03-15,103:203,111:167,private_transport,F,,,,,,72.0,148.0,38.0,,,,,,,,
42,2020-03-15,103:203,113:157,private_transport,M,,,,18.0,,,,,,,,17.0,,,,
42,2020-03-15,103:203,116:154,bus,M,,,,,10.0,,,,,,,,,,,
42,2020-03-15,103:203,116:154,private_transport,M,,,,,19.0,,,,,,,,,,,
42,2020-03-15,103:203,117:153,private_transport,M,,,,15.0,,,,,,,,,,,,
42,2020-03-15,103:203,118:152,private_transport,M,,,,,,12.0,,,,,,,,,,
42,2020-03-15,103:203,119:151,bus,M,,,,,,11.0,,,,,,,,,,
42,2020-03-15,103:203,119:151,private_transport,M,,,,,,16.0,,,,,,,,,,
42,2020-03-15,103:203,120:166,private_transport,M,,,,,,,,,13.0,,,,,,,
42,2020-03-15,103:203,121:165,private_transport,M,,,,10.0,,,,,,,,,,,,
42,2020-03-15,103:203,124:162,microtrip,F,,,,,11.0,,,,,,,,,,,
42,2020-03-15,103:203,124:162,private_transport,M,,,16.0,,,,,,,,12.0,,,,,
42,2020-03-15,103:203,131:139,private_transport,M,,,33.0,,,33.0,21.0,,,,14.0,12.0,,,,
42,2020-03-15,103:203,134:136,private_transport,M,,,,,22.0,,,,,,,,,,,
42,2020-03-15,103:203,135:135,bus,M,,,,,14.0,,,,,,,,,,,
42,2020-03-15,103:203,135:135,private_transport,M,,,,,34.0,,,,,,,,,,,
42,2020-03-15,103:203,136:150,private_transport,M,,,,,,12.0,,,,,,,,,,
42,2020-03-15,103:203,137:149,private_transport,M,,,,,,,,31.0,,,,,,,,
42,2020-03-15,103:203,138:148,private_transport,F,,,,,,35.0,11.0,25.0,,22.0,,,,,,
42,2020-03-15,103:203,138:148,private_transport,M,,,11.0,22.0,39.0,25.0,,,,,,,,,,
42,2020-03-15,103:203,139:147,private_transport,M,,,,,16.0,,,,,,,,,,,
42,2020-03-15,103:203,144:126,microtrip,M,,,,,10.0,,,,,,,,,,,
42,2020-03-15,103:203,144:126,private_transport,M,,,,,,,14.0,,,,,,,,,
42,2020-03-15,103:203,148:122,private_transport,M,,,,11.0,,,12.0,,,,,,,,,
42,2020-03-15,103:203,149:121,private_transport,F,,,,,,,,,,15.0,,,,,,
42,2020-03-15,103:203,149:121,private_transport,M,,,,,,,10.0,,,,,,,,,
42,2020-03-15,103:203,150:120,private_transport,F,,,,26.0,,,,,,,,,,,,
42,2020-03-15,103:203,150:120,private_transport,M,,,,26.0,,,,,,,,,,,,
42,2020-03-15,103:203,158:128,private_transport,F,,,,26.0,,,,,,,,,,,,
42,2020-03-15,103:203,15:515,private_transport,F,,,,,,14.0,,,,,,,,,,
42,2020-03-15,103:203,19:519,private_transport,M,,,,,12.0,,,,,,,,,,,
42,2020-03-15,103:203,20:520,private_transport,M,,,,,,,67.0,,,,,,,,,
42,2020-03-15,103:203,37:537,private_transport,F,,,,,,17.0,,,,,,,,,,
42,2020-03-15,103:203,46:420,private_transport,M,,,,,,,63.0,99.0,,,,,,,,
42,2020-03-15,103:203,47:320,private_transport,M,,,,,,,,19.0,,,,,,,,
42,2020-03-15,103:203,54:419,private_transport,F,,,,,,61.0,,,,,,,,,,
42,2020-03-15,103:203,54:419,private_transport,M,,,,,,,,,,,10.0,,,,,
42,2020-03-15,103:203,56:416,private_transport,F,,,,,,71.0,,,,,,,,,,
42,2020-03-15,103:203,56:416,private_transport,M,,,,,15.0,,81.0,73.0,,,,,,,,
42,2020-03-15,103:203,58:303,private_transport,M,,,22.0,,,41.0,,,,10.0,,,,,,
42,2020-03-15,103:203,66:316,private_transport,M,,,,,,,113.0,,,,,,,,,
42,2020-03-15,103:203,68:315,private_transport,F,,,,33.0,,,,,,,,,,,,
42,2020-03-15,103:203,72:411,private_transport,M,,,,,,,97.0,,,,,,,,,
42,2020-03-15,103:203,75:313,private_transport,M,,,,,,,,,84.0,,,,,,,
42,2020-03-15,103:203,87:104,private_transport,F,,,,20.0,,,,,,,,,,,,
42,2020-03-15,103:203,88:103,private_transport,F,,,,12.0,,,,,,,,,,,,
42,2020-03-15,103:203,91:116,private_transport,F,,,,12.0,,,,,,,13.0,,,,,
42,2020-03-15,103:203,92:115,private_transport,F,,,,,,,,,,,20.0,,,,,
42,2020-03-15,103:203,93:114,private_transport,F,,,,,,,,10.0,,,,,,,,
42,2020-03-15,103:203,94:113,private_transport,F,,,,,,,,16.0,,,,,,,,
42,2020-03-15,103:203,94:113,private_transport,M,,,,11.0,,,,,,,,,,,,
42,2020-03-15,104:202,109:169,private_transport,M,,,,10.0,,,,,10.0,,,,,,,
42,2020-03-15,104:202,110:168,bus,M,,,,,,,15.0,,,,,,,,,
42,2020-03-15,104:202,110:168,private_transport,F,,,19.0,,32.0,,46.0,,,,,,,,,
42,2020-03-15,104:202,110:168,private_transport,M,,,13.0,,,25.0,61.0,,,,,,,,,
42,2020-03-15,104:202,25:525,private_transport,M,,,,,,,,,60.0,,,,,,,
42,2020-03-15,104:202,32:532,private_transport,F,,,,,,18.0,29.0,,,,,,,,,
42,2020-03-15,104:202,45:319,private_transport,F,,,,,60.0,10.0,,,,,,,,,,
42,2020-03-15,104:202,45:319,private_transport,M,,,,,25.0,,,,,,,,,,,
42,2020-03-15,104:202,79:415,private_transport,M,,,47.0,,,,,,,,,,,,,
42,2020-03-15,104:202,83:108,bus,F,,,,,,,13.0,,,,,,,,,
42,2020-03-15,104:202,83:108,bus,M,,,,11.0,,,,,,,,,,,,
42,2020-03-15,104:202,83:108,private_transport,F,,,,,,,23.0,,,,,,,,,
42,2020-03-15,104:202,103:203,private_transport,F,,,19.0,,,,,,,,,,,,,
42,2020-03-15,104:202,103:203,private_transport,M,,,,,,12.0,,29.0,,,,,,,,
42,2020-03-15,104:202,104:202,bus,M,,,,,,,10.0,12.0,,,,,,,,
42,2020-03-15,104:202,104:202,private_transport,F,,,22.0,,17.0,,63.0,,,31.0,,,,,,
42,2020-03-15,104:202,104:202,private_transport,M,,,15.0,,,46.0,21.0,28.0,,27.0,,,,,,
42,2020-03-15,104:202,114:156,private_transport,F,,,,,10.0,,,,,,,,,,,
42,2020-03-15,104:202,126:160,private_transport,M,,,,,,,,,,10.0,,,,,,
42,2020-03-15,104:202,48:301,private_transport,F,,,,,35.0,,,,,,,,,,,
42,2020-03-15,104:202,50:412,private_transport,F,,,,,58.0,16.0,,,,,,,,,,
