ProjectID,Date,Origin,Destination,Modo,Gender,0_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94
42,2019-11-19,0:500,71:326,private_transport,F,,,23.0,,,,,,,,,,,,,,
42,2019-11-19,100:206,100:206,private_transport,M,,,,,,,,,,,15.0,,,,,,
42,2019-11-19,100:206,101:205,private_transport,F,,,,,,,10.0,,,,,,,,,,
42,2019-11-19,100:206,104:202,private_transport,M,,,,,,14.0,,,,,,,,,,,
42,2019-11-19,100:206,107:207,bus,F,,,,,,,15.0,,,,,,,,,,
42,2019-11-19,100:206,107:207,bus,M,,,,13.0,,,,,,,,,,,,,
42,2019-11-19,100:206,107:207,private_transport,M,,,,,,,,,,,15.0,,,,,,
42,2019-11-19,100:206,109:169,bus,M,,,,,,,11.0,,,,,,,,,,
42,2019-11-19,100:206,110:168,bus,M,,,,,,10.0,,,,,,,,,,,
42,2019-11-19,100:206,110:168,private_transport,M,,,,,,21.0,,,,,,,,,,,
42,2019-11-19,100:206,128:142,bus,F,,,,,,,,,,12.0,,,,,,,
42,2019-11-19,100:206,128:142,private_transport,F,,,,,,,,,,15.0,,,,,,,
42,2019-11-19,100:206,128:142,private_transport,M,,,,10.0,,,,,,,,,,,,,
42,2019-11-19,100:206,143:143,bus,M,,,,11.0,,,,,,,,,,,,,
42,2019-11-19,100:206,143:143,private_transport,M,,,,16.0,,,,,,,16.0,,,,,,
42,2019-11-19,100:206,147:123,bus,M,,,,,,10.0,,,,,,,,,,,
42,2019-11-19,100:206,147:123,private_transport,M,,,,,,12.0,,,,,,,,,,,
42,2019-11-19,100:206,153:133,bus,F,,,,,,,,12.0,,,,,,,,,
42,2019-11-19,100:206,153:133,private_transport,F,,,,,,,,15.0,,,,,,,,,
42,2019-11-19,100:206,154:132,bus,F,,,,,,,,14.0,,,,,,,,,
42,2019-11-19,100:206,154:132,private_transport,F,,,,,,,,21.0,,,,,,,,,
42,2019-11-19,100:206,276:144,bus,M,,,,,,,20.0,,,,,,,,,,
42,2019-11-19,100:206,276:144,private_transport,M,,,,,,,10.0,,,,,,,,,,
42,2019-11-19,100:206,54:419,private_transport,F,,,,,,51.0,,,,,,,,,,,
42,2019-11-19,100:206,76:314,private_transport,F,,,,,,,11.0,,,,,,,,,,
42,2019-11-19,100:206,83:108,bus,F,,,,,,,11.0,,,,,,,,,,
42,2019-11-19,100:206,88:103,bus,F,,,18.0,,,,,,,,,,,,,,
42,2019-11-19,100:206,88:103,private_transport,F,,,11.0,,,,,,,,,,,,,,
42,2019-11-19,100:206,97:102,bus,F,,,26.0,,,,,,,,,,,,,,
42,2019-11-19,100:206,97:102,private_transport,F,,,15.0,,,,,,,,,,,,,,
42,2019-11-19,100:206,98:217,bus,M,,,,,,,14.0,,,,,,,,,,
42,2019-11-19,100:206,98:217,private_transport,F,,,,,,,,,,12.0,,,,,,,
42,2019-11-19,101:205,101:205,microtrip,F,,,,,,19.0,,,,,10.0,,,,,,
42,2019-11-19,101:205,101:205,microtrip,M,,,12.0,18.0,,16.0,20.0,,,13.0,,,,,,,
42,2019-11-19,101:205,109:169,bus,M,,,16.0,,,,,,,,,,,,,,
42,2019-11-19,101:205,109:169,private_transport,F,,,,,14.0,,,,,,,,,,,,
42,2019-11-19,101:205,109:169,private_transport,M,,,13.0,,,,,,,,,,,,,,
42,2019-11-19,101:205,110:168,bus,F,,,22.0,,,,,,,,,,,,,,
42,2019-11-19,101:205,110:168,private_transport,F,,,26.0,,,,,,,,,,,,,,
42,2019-11-19,101:205,128:142,bus,M,,,11.0,10.0,,,,,,,,,,,,,
42,2019-11-19,101:205,143:143,bus,M,,,12.0,11.0,,,,,,,,,,,,,
42,2019-11-19,101:205,153:133,microtrip,F,,,11.0,,,,,,12.0,,,,,,,,
42,2019-11-19,101:205,153:133,microtrip,M,,,,,,,,13.0,,,,,,,,,
42,2019-11-19,101:205,154:132,microtrip,F,,,,,17.0,30.0,11.0,,15.0,,,,,10.0,,,
42,2019-11-19,101:205,154:132,microtrip,M,,,,12.0,18.0,20.0,27.0,27.0,,,,16.0,,,,,
42,2019-11-19,101:205,54:419,private_transport,F,,,,,,14.0,,,,,,,,,,,
42,2019-11-19,101:205,76:314,bus,M,,,,,27.0,,,,,,,,,,,,
42,2019-11-19,101:205,76:314,private_transport,F,,,,,,,11.0,,45.0,30.0,,,,,,,
42,2019-11-19,101:205,76:314,private_transport,M,,,,,19.0,,,,,,,,,,,,
42,2019-11-19,101:205,83:108,bus,M,,,17.0,,,,,,,,,,,,,,
42,2019-11-19,101:205,83:108,microtrip,F,,,,,10.0,,,,,13.0,,11.0,,,,,
42,2019-11-19,101:205,83:108,microtrip,M,,,,,10.0,20.0,,17.0,15.0,,,12.0,,,,,
42,2019-11-19,101:205,83:108,private_transport,M,,,,10.0,,,,,,,,,,,,,
42,2019-11-19,101:205,97:102,bus,M,,,,,,15.0,,,,,,,,,,,
42,2019-11-19,101:205,97:102,microtrip,M,,,10.0,,,,10.0,,,,,,,,,,
42,2019-11-19,101:205,97:102,private_transport,M,,,,,,,,,10.0,,,,,,,,
42,2019-11-19,101:205,98:217,bus,M,,,,,,,11.0,,,,,,,,,,
42,2019-11-19,101:205,98:217,private_transport,F,,,,,31.0,,,,,,,,,,,,
42,2019-11-19,101:205,108:170,microtrip,F,,,,,19.0,,,,,,,,,,,,
42,2019-11-19,101:205,108:170,microtrip,M,,,21.0,13.0,27.0,26.0,11.0,14.0,20.0,,,,,,,,
42,2019-11-19,101:205,108:170,private_transport,M,,,,11.0,,,,,,,,,,,,,
42,2019-11-19,101:205,120:166,microtrip,M,,,,,10.0,,,,,,,,,,,,
42,2019-11-19,101:205,122:164,private_transport,M,,,,,,12.0,,,,,,,,,,,
42,2019-11-19,101:205,126:160,bus,M,,,,,15.0,,,,,,,,,,,,
42,2019-11-19,101:205,127:159,bus,M,,,,,,11.0,,,,,,,,,,,
42,2019-11-19,101:205,129:141,bus,F,,,,,,10.0,,,,,,,,,,,
42,2019-11-19,101:205,129:141,microtrip,F,,,,12.0,19.0,,12.0,,12.0,,,,,,,,
42,2019-11-19,101:205,129:141,microtrip,M,,,,20.0,20.0,25.0,13.0,18.0,24.0,15.0,,12.0,,,,,
