ProjectID,Date,Origin,Destination,Modo,0_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94
42,2019-11-24,101:205,154:132,microtrip,12.0,10.0,22.0,19.0,14.0,25.0,32.0,,,,,,,,,,
42,2019-11-24,101:205,154:132,private_transport,,,,,,,,,,12.0,,,,,,,
42,2019-11-24,101:205,156:130,microtrip,,,,,,,,,,,10.0,,,,,,
42,2019-11-24,101:205,158:128,microtrip,,,,,,11.0,,,,,,,,,,,
42,2019-11-24,101:205,160:110,bus,12.0,,,,,,,,,,,,,,,,
42,2019-11-24,101:205,160:110,microtrip,,,16.0,26.0,,,,17.0,,14.0,,,,,,,
42,2019-11-24,101:205,160:110,private_transport,14.0,,,,15.0,,,,,,,,,,,,
42,2019-11-24,101:205,45:319,private_transport,,,,,,,11.0,,,,,,,,,,
42,2019-11-24,101:205,47:320,private_transport,,,22.0,,,,,,,10.0,,,,,13.0,,
42,2019-11-24,101:205,50:412,private_transport,,,11.0,,,,,,,,,,,,,,
42,2019-11-24,101:205,56:416,private_transport,,,,13.0,,,,,,,,,,,,,
42,2019-11-24,101:205,58:303,private_transport,,,,,,,11.0,,,,,,,,,,
42,2019-11-24,101:205,64:306,private_transport,,,14.0,,,,,,,,,,,,,,
42,2019-11-24,101:205,75:313,private_transport,,,,,,20.0,,,,,,,,,,,
42,2019-11-24,101:205,76:314,bus,,,16.0,,,,,,,,,,,,,,
42,2019-11-24,101:205,76:314,private_transport,,,27.0,,,,,,,,,,,,12.0,,
42,2019-11-24,101:205,86:105,private_transport,,,,,,,11.0,,,,,,,,,,
42,2019-11-24,101:205,89:118,microtrip,11.0,,23.0,23.0,,20.0,22.0,,14.0,,,,,,,,
42,2019-11-24,101:205,89:118,private_transport,,,,,,,,12.0,,,,,,,,,
42,2019-11-24,101:205,96:111,bus,11.0,,,,,,,,,,,,,,,,
42,2019-11-24,101:205,96:111,microtrip,,,,12.0,18.0,15.0,16.0,,,,,,,,,,
42,2019-11-24,101:205,96:111,private_transport,11.0,,,,,10.0,11.0,,,,,,,,,,
42,2019-11-24,101:205,9:509,private_transport,,,,,,39.0,18.0,,,,,,,,,,
42,2019-11-24,102:204,101:205,microtrip,,,,,10.0,,,,,,,,,,,,
42,2019-11-24,102:204,108:170,microtrip,,,,12.0,,11.0,,,,,,,,,,,
42,2019-11-24,102:204,57:310,private_transport,,,,,,,,,,11.0,,,,,,,
42,2019-11-24,102:204,99:101,microtrip,,,14.0,11.0,,14.0,,,,,,,,,,,
42,2019-11-24,102:204,99:101,private_transport,10.0,,,,,,,,11.0,,,,,,,,
42,2019-11-24,102:204,126:160,microtrip,,,,11.0,,,,,10.0,,,,,,,,
42,2019-11-24,102:204,136:150,microtrip,,,10.0,,,,,,,,,,,,,,
42,2019-11-24,102:204,136:150,private_transport,,,,,14.0,,,,,,,,,,,,
42,2019-11-24,102:204,141:145,microtrip,,,12.0,,10.0,,,,,,,,,,,,
42,2019-11-24,102:204,145:125,microtrip,,,,,,12.0,,,,10.0,,,,,,,
42,2019-11-24,102:204,145:125,private_transport,,,,,,,,,,11.0,,,,,,,
42,2019-11-24,102:204,146:124,microtrip,,,,,,10.0,,,,10.0,,,,,,,
42,2019-11-24,102:204,146:124,private_transport,,,,10.0,,10.0,,,,,,,,,,,
42,2019-11-24,102:204,149:121,private_transport,,,,,15.0,,,,,,,,,,,,
42,2019-11-24,102:204,156:130,microtrip,,,,,,,,11.0,,12.0,,,,,,,
42,2019-11-24,102:204,156:130,private_transport,,,,,,11.0,,,,,,,,,,,
42,2019-11-24,102:204,160:110,microtrip,,,,,11.0,,,,,12.0,,,,,,,
