Origin;M_0700_0759;M_1200_1259;M_1700_1759;Med_Total
101;22,875;23,0869565217391;22,2105263157895;60,1869158878505
102;42,2666666666667;40,0067567567568;40,2364864864865;198,601265822785
103;24,6222222222222;27,4927536231884;23,7384615384615;84,2097378277154
104;36,7752808988764;40,1214953271028;33,4351851851852;148,728813559322
105;21,685393258427;22,875;24,8805970149254;84,3323170731707
106;28,5740740740741;34,2676056338028;30,1515151515152;110,958904109589
107;20,68;21,037037037037;21,46875;77,953642384106
108;22,1224489795918;18,0666666666667;21,8064516129032;63,5762081784387
109;26,2361111111111;26,5818181818182;26,6712328767123;117,254385964912
110;24,256;25,8595041322314;22,6388888888889;94,0851063829787
111;20,9655172413793;20,1016949152542;18,0212765957447;56,7830882352941
112;18,6292134831461;17,5357142857143;19,04;62,3584337349398
113;29,4;34,609375;28,4;126,883720930233
114;24,2;27,0909090909091;23,046875;84,9574468085106
115;26,2641509433962;28,5294117647059;24,025974025974;91,2688524590164
116;18,1973684210526;23,4393939393939;19,8225806451613;65,7227138643068
117;39,9066666666667;45,8785046728972;35,2782608695652;167,522167487685
118;21,5714285714286;17,7837837837838;17,0512820512821;52,4111675126904
119;18,2040816326531;19,1891891891892;16,4545454545455;56,165
120;32,7383177570093;33,3285714285714;30,1818181818182;136,113712374582
121;32,8941176470588;31,2702702702703;27,7564102564103;115,243055555556
122;36,24;33,7142857142857;29,6851851851852;118,374558303887
123;12,5789473684211;16,4583333333333;16,7027027027027;31,4900662251656
124;17,68;16,8;18,9166666666667;37,1512605042017
125;24,6315789473684;21,5909090909091;19,6461538461538;76,2577319587629
126;26,7157894736842;25,0686274509804;22,5454545454545;94,4217171717172
127;33,9179104477612;32,40625;29,5955056179775;120,118834080717
128;28,8762886597938;30,5773195876289;30,81;123,825352112676
129;28,1012658227848;22,7741935483871;21,9047619047619;83,4501718213059
130;20,1136363636364;16,9230769230769;18,2875;55,6238244514107
131;16,34375;15,7777777777778;15,8048780487805;45,1285140562249
132;28,5841584158416;24,9673913043478;23,5510204081633;99,7122093023256
133;15,2222222222222;14,0909090909091;15,3421052631579;42,875
134;21,4431818181818;19,6805555555556;19,3023255813953;67,7683615819209
135;21,5576923076923;19,5573770491803;22,0952380952381;81,7037037037037
136;16,3301886792453;15,1875;16,2380952380952;53,8621700879765
137;14,7352941176471;16,34375;14,0625;41,4131736526946
138;11,7692307692308;12,3888888888889;12,0769230769231;23,8392857142857
139;15,5384615384615;13,2142857142857;15,0625;28,3
140;17,6279069767442;19,8809523809524;16,5535714285714;63,6553672316384
141;22,9830508474576;26,622641509434;23,2948717948718;96,5394736842105
142;13,9166666666667;13,53125;15,3157894736842;25,6883116883117
143;11,7894736842105;14,0833333333333;11,8888888888889;18,2695652173913
144;18,9591836734694;23,0576923076923;18,3823529411765;53,3881278538813
145;23,6964285714286;19,6911764705882;19,1492537313433;80,7404371584699
146;19,8;16,05;16,9767441860465;56,140522875817
147;14,9041095890411;14,1034482758621;13,9259259259259;43,5100401606426
148;32,9508196721311;26,5675675675676;26,6590909090909;72,5062240663901
149;25,5952380952381;28;24,031746031746;87,9818731117825
150;26,390243902439;17;20,4666666666667;59,3932584269663
151;17,1612903225806;17,8823529411765;20,25;32,8661417322835
152;20,1785714285714;16,1612903225806;15,25;45,0251046025105
153;11,875;12,2142857142857;12,0714285714286;21,6646706586826
154;16,7049180327869;14,1212121212121;14,3513513513514;43,3438735177866
155;20,6851851851852;16,8076923076923;15,4166666666667;40,7135416666667
156;15,4;15;19,5945945945946;33
157;14,25;13,969696969697;12,7916666666667;32,4869565217391
158;18,8076923076923;26,3157894736842;16,3;42,3130434782609
159;25,6969696969697;26,2395833333333;23,8446601941748;91,9827586206896
160;38,8489208633093;43,1520467836257;41,476821192053;185,747035573123
161;14,3809523809524;12,4090909090909;10,9230769230769;19,536
162;17,21875;19,4473684210526;12,4814814814815;32,9313725490196
163;18,0408163265306;19,5806451612903;18,9074074074074;64,3793103448276
164;22,2;24,85;22,3636363636364;91,0257352941177
165;29,1639344262295;29,1685393258427;27,4269662921348;124,453038674033
166;19,7777777777778;20,1555555555556;19,6521739130435;61,1693121693122
167;40,7837837837838;43,021978021978;34,7281553398058;175,72654155496
168;32,7181818181818;40,0467289719626;38,1;162,365296803653
169;19,9126213592233;21,7142857142857;21,9081632653061;79,0790960451978
170;17,3666666666667;15,98;16,8541666666667;49,042471042471
201;20,0769230769231;21,0833333333333;14,2;36,546511627907
202;19,1071428571429;40,9677419354839;21;65,9490740740741
203;24,8461538461538;17,9607843137255;21,2291666666667;53,013698630137
204;13,78125;12,4411764705882;11,9375;27,4775280898876
205;13,5217391304348;15;13,9655172413793;35,4025974025974
206;15,8;16,2666666666667;15,5555555555556;20,7974683544304
207;26,3809523809524;28,5757575757576;24,9342105263158;96,8684210526316
208;13,9333333333333;15,5862068965517;13,2307692307692;31,4205607476635
