ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359,Total_M,Total_T,Total_MT,Total,Chave_O+D
7,2019-11-17,102,113,private_transport,,,,,,,,,10,,,,,,,15,14,,,,,,,,10,0,69,39,102_113
7,2019-11-17,102,114,bus,,,,,,,,,,,,,,,,16,,,,,,,,,0,0,69,16,102_114
7,2019-11-17,102,114,microtrip,,,,,,,,,,,,,16,,12,10,12,14,,,17,11,,,0,14,69,92,102_114
7,2019-11-17,102,114,private_transport,,,,,,,,,,,,,,,,17,,,12,,,17,,,0,12,69,46,102_114
7,2019-11-17,102,115,bus,,,,,,,,,,,22,,,,,,,,,,,,,,0,0,69,22,102_115
7,2019-11-17,102,115,microtrip,,,,,12,,,,,,,,,,,16,,,18,,,,,,0,18,69,46,102_115
7,2019-11-17,102,115,private_transport,,,,,,,,,,,24,,,,,,,,,,,,,,0,0,69,24,102_115
7,2019-11-17,102,116,bus,,,,,,,,,,,11,,,,,,,,,,,,,,0,0,69,11,102_116
7,2019-11-17,102,116,microtrip,,,,,,,,,,,,,,,13,10,,,12,,,,,,0,12,69,35,102_116
7,2019-11-17,102,116,private_transport,21,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,21,102_116
7,2019-11-17,102,117,bus,,,,,,,,,16,,,,,,,,,,,,,,,,16,0,69,16,102_117
7,2019-11-17,102,117,microtrip,11,,,,,,,14,,19,20,12,56,30,20,36,33,32,23,29,17,22,,,14,55,69,374,102_117
7,2019-11-17,102,117,private_transport,,,,,,,,,22,,,,,,,,,,,,,,,,22,0,69,22,102_117
7,2019-11-17,102,118,private_transport,,,,,,,,,,,,,,,10,,,,,,,,,,0,0,69,10,102_118
7,2019-11-17,102,119,microtrip,10,,,,,,,,,,,,,,,,,,,17,,,,,0,0,69,27,102_119
7,2019-11-17,102,120,bus,,,,,,,,,,18,,,,,,,,,,,,,,,0,0,69,18,102_120
7,2019-11-17,102,120,microtrip,11,10,,,,,,,,25,26,38,10,,17,21,37,31,22,25,29,16,14,,0,53,69,332,102_120
7,2019-11-17,102,120,private_transport,,,,,,13,,,26,,,,,,,,,,,,,32,,,26,0,69,71,102_120
7,2019-11-17,102,121,microtrip,19,,,,,11,11,,,20,23,28,,,,,,,,10,17,,,,0,0,69,139,102_121
7,2019-11-17,102,121,private_transport,11,,,,,,,,,,,,,,,,,,,,20,,,,0,0,69,31,102_121
7,2019-11-17,102,122,microtrip,17,,,,,,,,11,,13,15,,,10,16,25,,,18,11,,,,11,0,69,136,102_122
7,2019-11-17,102,126,microtrip,,,,,,,,,,,,,,,,,,,11,,,,,,0,11,69,11,102_126
7,2019-11-17,102,127,bus,,,,,,,,,,,,,,,,,,,,,,15,,,0,0,69,15,102_127
7,2019-11-17,102,127,microtrip,,,,,,,,,,,,,,,,,,10,,,,,,,0,10,69,10,102_127
7,2019-11-17,102,127,private_transport,,,,,,,,,,,,,,,,,,,,,,30,,,0,0,69,30,102_127
7,2019-11-17,102,128,microtrip,14,13,13,,,10,,15,28,17,39,60,19,25,16,,31,11,13,18,24,,15,,43,24,69,381,102_128
7,2019-11-17,102,128,private_transport,120,,,,,,,,14,10,,,27,,,,,,,13,,,,,14,0,69,184,102_128
7,2019-11-17,102,129,microtrip,,10,,,,,10,,,18,24,,,,,,10,,,15,,,,,0,0,69,87,102_129
7,2019-11-17,102,130,private_transport,85,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,85,102_130
7,2019-11-17,102,131,private_transport,27,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,27,102_131
7,2019-11-17,102,132,microtrip,13,,,,,,,,,,,,,,,,,,,,,18,,,0,0,69,31,102_132
7,2019-11-17,102,133,microtrip,,,,,,,,,,,,,,,,,,,,10,,,,10,0,0,69,20,102_133
7,2019-11-17,102,134,bus,,,,,,,,,,,,,11,,,,,,,,,,,,0,0,69,11,102_134
7,2019-11-17,102,134,microtrip,,,,,,,,,11,,,12,13,,,11,11,,15,11,,,,,11,15,69,84,102_134
7,2019-11-17,102,136,private_transport,20,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,20,102_136
7,2019-11-17,102,140,microtrip,,11,,,,,,,,,11,,,,,,,,,,,,,,0,0,69,22,102_140
7,2019-11-17,102,144,bus,,,,,,,,,,,,10,,,,,,,,,,,,,0,0,69,10,102_144
7,2019-11-17,102,144,private_transport,,,,,,,,,,,,14,,,,15,,,,,,,,,0,0,69,29,102_144
7,2019-11-17,102,145,bus,,,,,,,,,,,,,,,,,,21,,,,,,,0,21,69,21,102_145
7,2019-11-17,102,145,private_transport,26,,,,,,,,,,,,,,,,,34,,,,,,,0,34,69,60,102_145
7,2019-11-17,102,146,bus,,,,,,,,,,,,,,,,,,30,,,,,,,0,30,69,30,102_146
7,2019-11-17,102,146,private_transport,24,,,,,,,,,,,,,,,,,40,,,,,,,0,40,69,64,102_146
7,2019-11-17,102,147,private_transport,43,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,43,102_147
7,2019-11-17,102,152,private_transport,48,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,48,102_152
7,2019-11-17,102,153,private_transport,21,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,21,102_153
7,2019-11-17,102,154,private_transport,45,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,45,102_154
7,2019-11-17,102,155,private_transport,11,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,11,102_155
7,2019-11-17,102,158,private_transport,,,,,,,,,,,,,,,,,,,,22,,,,,0,0,69,22,102_158
7,2019-11-17,102,159,bus,,,,,,,,,,,,,10,,,,,,,,,,,,0,0,69,10,102_159
7,2019-11-17,102,159,microtrip,20,12,,,,,,12,22,22,35,31,26,21,30,27,20,18,39,20,13,35,28,,34,57,69,431,102_159
7,2019-11-17,102,159,private_transport,,,,,,,,,16,,,,21,,,,,11,,,,,,,16,11,69,48,102_159
7,2019-11-17,102,160,bus,,,,,,,,,20,,17,,,,,,,,,,,,,,20,0,69,37,102_160
7,2019-11-17,102,160,microtrip,27,,,,10,,,15,21,39,45,50,71,47,35,43,27,58,62,61,35,37,20,,36,120,69,703,102_160
7,2019-11-17,102,160,private_transport,11,,,16,,,,14,80,,31,10,,,,,,,,,,,,,94,0,69,162,102_160
7,2019-11-17,102,163,microtrip,,,,,,,,,,15,,,,,,,,,10,,12,,,,0,10,69,37,102_163
7,2019-11-17,102,163,private_transport,,,,,,,,,,,,,,,,,,,11,,,,,,0,11,69,11,102_163
7,2019-11-17,102,164,microtrip,16,,,,,10,,10,,17,13,20,11,15,13,15,22,21,22,15,18,20,,,10,43,69,258,102_164
7,2019-11-17,102,164,private_transport,,,,,,,,,26,,,,,,,,,,21,,,,,,26,21,69,47,102_164
7,2019-11-17,102,165,microtrip,24,,,,,,,,15,,22,,,,,17,13,,14,,,,,,15,14,69,105,102_165
7,2019-11-17,102,167,microtrip,18,,,,,,,11,,,21,,11,,11,,,13,,16,11,,,,11,13,69,112,102_167
7,2019-11-17,102,168,microtrip,,,,,,,11,,,21,19,25,17,,10,,17,,13,12,,15,,10,0,13,69,170,102_168
