ProjectID,Date,Origin,Destination,Modo,false,true
42,2019-11-11,0:500,107:207,private_transport,24.0,
42,2019-11-11,0:500,112:158,private_transport,32.0,
42,2019-11-11,0:500,57:310,private_transport,10.0,
42,2019-11-11,0:500,58:303,microtrip,17.0,
42,2019-11-11,0:500,62:307,private_transport,222.0,
42,2019-11-11,100:206,107:207,bus,18.0,13.0
42,2019-11-11,100:206,107:207,private_transport,24.0,13.0
42,2019-11-11,100:206,100:206,bus,13.0,
42,2019-11-11,100:206,100:206,microtrip,14.0,
42,2019-11-11,100:206,100:206,private_transport,33.0,
42,2019-11-11,100:206,108:170,bus,18.0,
42,2019-11-11,100:206,108:170,private_transport,13.0,
42,2019-11-11,100:206,120:166,bus,,26.0
42,2019-11-11,100:206,120:166,private_transport,,10.0
42,2019-11-11,100:206,128:142,bus,12.0,
42,2019-11-11,100:206,128:142,private_transport,17.0,
42,2019-11-11,100:206,141:145,bus,,17.0
42,2019-11-11,100:206,143:143,bus,21.0,18.0
42,2019-11-11,100:206,143:143,private_transport,20.0,
42,2019-11-11,100:206,144:126,bus,11.0,
42,2019-11-11,100:206,154:132,bus,12.0,
42,2019-11-11,100:206,156:130,private_transport,10.0,
42,2019-11-11,100:206,159:127,bus,19.0,
42,2019-11-11,100:206,23:523,private_transport,44.0,
42,2019-11-11,100:206,50:412,private_transport,39.0,
42,2019-11-11,100:206,51:308,private_transport,15.0,
42,2019-11-11,100:206,61:413,bus,32.0,
42,2019-11-11,100:206,61:413,private_transport,15.0,
42,2019-11-11,100:206,64:306,private_transport,100.0,
42,2019-11-11,100:206,75:313,private_transport,50.0,
42,2019-11-11,100:206,76:314,private_transport,13.0,11.0
42,2019-11-11,100:206,83:108,bus,15.0,
42,2019-11-11,100:206,83:108,microtrip,10.0,
42,2019-11-11,100:206,83:108,private_transport,14.0,13.0
42,2019-11-11,100:206,85:106,private_transport,13.0,
42,2019-11-11,100:206,90:117,bus,13.0,
42,2019-11-11,100:206,90:117,private_transport,16.0,
42,2019-11-11,100:206,96:111,bus,11.0,
42,2019-11-11,101:205,58:303,private_transport,15.0,
42,2019-11-11,101:205,108:170,bus,18.0,
42,2019-11-11,101:205,108:170,microtrip,205.0,52.0
42,2019-11-11,101:205,108:170,private_transport,36.0,
42,2019-11-11,101:205,128:142,bus,14.0,
42,2019-11-11,101:205,141:145,microtrip,,12.0
42,2019-11-11,101:205,143:143,bus,15.0,
42,2019-11-11,101:205,144:126,microtrip,15.0,
42,2019-11-11,101:205,154:132,bus,21.0,11.0
42,2019-11-11,101:205,154:132,microtrip,204.0,49.0
42,2019-11-11,101:205,154:132,private_transport,14.0,
42,2019-11-11,101:205,156:130,microtrip,36.0,14.0
42,2019-11-11,101:205,159:127,bus,29.0,
42,2019-11-11,101:205,159:127,private_transport,13.0,
42,2019-11-11,101:205,50:412,private_transport,53.0,
42,2019-11-11,101:205,61:413,private_transport,54.0,
42,2019-11-11,101:205,64:306,private_transport,10.0,
42,2019-11-11,101:205,75:313,private_transport,10.0,
42,2019-11-11,101:205,83:108,bus,16.0,
42,2019-11-11,101:205,83:108,microtrip,133.0,57.0
42,2019-11-11,101:205,83:108,private_transport,,24.0
42,2019-11-11,101:205,85:106,microtrip,15.0,10.0
42,2019-11-11,101:205,90:117,bus,34.0,
