ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359,Total_M,Total_T,Total_MT,Total,Chave_O+D
7,2019-11-17,102,207,private_transport,,,,,,,,,,,,17,,,,,,,,,,,,,0,0,0,17,102_207
7,2019-11-17,103,102,microtrip,,,,,,,,,,,10,,,,,,,,,,,,,,0,0,0,10,103_102
7,2019-11-17,103,103,microtrip,,,,,,,,,,,,,,,,,,,,,,10,,,0,0,0,10,103_103
7,2019-11-17,103,104,microtrip,,,,,,,,,,,,10,,,,,,,,,,,,,0,0,0,10,103_104
7,2019-11-17,103,106,microtrip,,,,,,,,,,,,,,,,,,,,,,10,,,0,0,0,10,103_106
7,2019-11-17,103,117,microtrip,,,,,,,10,,,,,,,,,,,10,10,,,,,,0,20,20,30,103_117
7,2019-11-17,103,122,microtrip,,,,,,,,,,11,,,,,,,,,,,,,,,0,0,0,11,103_122
7,2019-11-17,103,128,microtrip,,,,,,,,,,,,,,,,12,,19,,,,,,,0,19,19,31,103_128
7,2019-11-17,103,128,private_transport,,,,,,,,,,,,10,,,,,,,,,,,,,0,0,0,10,103_128
7,2019-11-17,103,129,microtrip,,,,,,,,,,,,,,,,,,,10,,,,,,0,10,10,10,103_129
7,2019-11-17,103,134,microtrip,,,,,,,,,,,,10,,,,,,,,,,,,,0,0,0,10,103_134
7,2019-11-17,103,160,microtrip,,,,,,,11,,,,,10,12,,,,,12,12,,,,,,0,24,24,57,103_160
7,2019-11-17,103,165,microtrip,,,,,,,,,,,,,,,,,,,,,10,,,,0,0,0,10,103_165
7,2019-11-17,103,170,microtrip,,,,,,,,,,,,10,,,,,,,,,,,,,0,0,0,10,103_170
7,2019-11-17,104,102,microtrip,,,,,,,,,,,,,,,,,10,,,,,,,,0,0,0,10,104_102
7,2019-11-17,104,104,bus,,,,,,,,35,12,,,,,,,17,,,,,,,,,47,0,47,64,104_104
7,2019-11-17,104,104,microtrip,,,12,,12,,,31,,,,12,12,,22,21,,24,29,,13,24,,,31,53,84,212,104_104
7,2019-11-17,104,104,private_transport,,,,,,,,58,45,,,,,,66,44,,,,,,,,,103,0,103,213,104_104
7,2019-11-17,104,105,microtrip,,,,,,,,10,,,,,,,,,,,,,11,14,,,10,0,10,35,104_105
7,2019-11-17,104,105,private_transport,,,,,,,,,12,,,,,,,,,,,,,,,,12,0,12,12,104_105
7,2019-11-17,104,106,microtrip,,,,,,,,,16,,,13,11,,,,,13,,,,,,,16,13,29,53,104_106
7,2019-11-17,104,107,microtrip,,,,,,,,,13,,,,,,,,,,,,,,,,13,0,13,13,104_107
7,2019-11-17,104,110,microtrip,,,,,,10,,,,,,,,,,,,,,,,,14,,0,0,0,24,104_110
7,2019-11-17,104,110,private_transport,,,,,,,11,,,,,,,,,,,,,,,,,,0,0,0,11,104_110
7,2019-11-17,104,115,bus,,,,,,,,,,,,,,,,,,10,,,,,,,0,10,10,10,104_115
7,2019-11-17,104,115,microtrip,11,,,,,,,,14,,,,11,10,,12,,,,12,,,,,14,0,14,70,104_115
7,2019-11-17,104,115,private_transport,,,,,,,,,,,,,,,,13,,52,,,,,,,0,52,52,65,104_115
