ProjectID,Date,Origin,Destination,Modo,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1400_1459,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059
42,2019-11-19,102:204,120:166,bus,,,,,,,,,,,,11.0,
42,2019-11-19,102:204,120:166,private_transport,,,,,,,,,,,,11.0,
42,2019-11-19,102:204,31:531,private_transport,,,,,12.0,,,,,,,,
42,2019-11-19,109:169,116:154,bus,,,,,,,,11.0,,,,,
42,2019-11-19,115:155,141:145,bus,,,,,,10.0,,,,,,,
42,2019-11-19,115:155,145:125,bus,,,,,,46.0,,,,,,,
42,2019-11-19,115:155,145:125,private_transport,,,,,,22.0,,,,,,,
42,2019-11-19,115:155,155:131,bus,,,,,,16.0,,,,,,,
42,2019-11-19,115:155,159:127,bus,,,10.0,,,,,,,,,,
42,2019-11-19,116:154,141:145,bus,,,,,,,,,18.0,,,,
42,2019-11-19,116:154,141:145,private_transport,,,,,,,,,11.0,,,,
42,2019-11-19,116:154,145:125,bus,,,,,,10.0,,,,,,,
42,2019-11-19,116:154,159:127,bus,,,22.0,,,,,,,,,,
42,2019-11-19,116:154,159:127,private_transport,,,10.0,,,,,,,,,,
42,2019-11-19,116:154,140:146,bus,,,,,,,,,13.0,,,,
42,2019-11-19,116:154,140:146,private_transport,,,,,,,,,11.0,,,,
42,2019-11-19,117:153,141:145,bus,,,,,,,,,13.0,,,,
42,2019-11-19,118:152,141:145,bus,,,,,,,,,18.0,,,,
42,2019-11-19,118:152,140:146,private_transport,,,,,,,,,17.0,,,,
42,2019-11-19,118:152,134:136,bus,,,,,,,,,12.0,,,,
42,2019-11-19,118:152,139:147,private_transport,,,,,,,,,10.0,,,,
42,2019-11-19,118:152,61:413,private_transport,16.0,,,,,,,,,,,,
42,2019-11-19,120:166,120:166,bus,,,,,,,,,,,,27.0,
42,2019-11-19,120:166,120:166,private_transport,,,11.0,,,,,,,,,25.0,
42,2019-11-19,120:166,31:531,private_transport,,,,,27.0,,,,,,,,
42,2019-11-19,120:166,141:145,bus,,,,,,,,,,,,20.0,
42,2019-11-19,120:166,141:145,private_transport,,,14.0,,,,,,,,,19.0,
42,2019-11-19,120:166,159:127,bus,10.0,,,,,,,,,,,,
42,2019-11-19,120:166,140:146,bus,,,12.0,,,,,,,,,,
42,2019-11-19,120:166,108:170,bus,,,,,,18.0,,,,,,,
42,2019-11-19,120:166,108:170,private_transport,,,,,,10.0,,,,,,,
42,2019-11-19,120:166,121:165,bus,,,,,,,,,,12.0,,,
42,2019-11-19,120:166,121:165,private_transport,,,,,,,,,42.0,11.0,,,
42,2019-11-19,120:166,124:162,bus,11.0,,,,,,,,,,,,
42,2019-11-19,120:166,137:149,private_transport,12.0,,,,,,,,,,,,
42,2019-11-19,120:166,152:134,bus,,,,,,12.0,,,,,,,
42,2019-11-19,120:166,154:132,private_transport,,,,,,10.0,,,,,,,
42,2019-11-19,120:166,156:130,bus,,,,,,,,,,,,,15.0
42,2019-11-19,120:166,156:130,private_transport,,,,,,,,,,,,,10.0
42,2019-11-19,120:166,86:105,private_transport,,,,,,,,,13.0,,,,
42,2019-11-19,120:166,88:103,bus,,,,,,,10.0,,,,,,
42,2019-11-19,120:166,88:103,private_transport,,,,,,,10.0,,,,,,
42,2019-11-19,120:166,90:117,bus,,,,,,,,17.0,,,,,
42,2019-11-19,120:166,90:117,private_transport,,,,,,,,14.0,,,,,
42,2019-11-19,120:166,99:101,private_transport,,,,,,,,,,,,10.0,
42,2019-11-19,123:163,101:205,bus,,,,,,,,,,,15.0,,
42,2019-11-19,123:163,102:204,bus,,,,,,,,,,,11.0,,
42,2019-11-19,123:163,102:204,private_transport,,,,,,,,,,,10.0,,
42,2019-11-19,123:163,146:124,bus,,,,,,,,,,,19.0,,
42,2019-11-19,123:163,146:124,private_transport,,,,,,,,,,,18.0,,
42,2019-11-19,125:161,155:131,private_transport,,,,,,11.0,,,,,,,
42,2019-11-19,134:136,159:127,bus,,,10.0,,,,,,,,,,
42,2019-11-19,134:136,61:413,private_transport,12.0,,,,,,,,,,,,
42,2019-11-19,135:135,159:127,bus,,,43.0,,,,,,,,,,
42,2019-11-19,135:135,159:127,private_transport,,,24.0,,,,,,,,,,
42,2019-11-19,135:135,137:149,bus,,,14.0,,,,,,,,,,
42,2019-11-19,135:135,144:126,private_transport,,,15.0,,,,,,,,,,
42,2019-11-19,137:149,159:127,private_transport,,,,,,,,,,,,,10.0
42,2019-11-19,137:149,124:162,bus,,,,,,,,,,,,,11.0
42,2019-11-19,137:149,137:149,private_transport,,,,,,,,,,,,,14.0
42,2019-11-19,137:149,110:168,private_transport,,,,,12.0,,,,,,,,
42,2019-11-19,139:147,141:145,bus,,,,,,,,,21.0,,,,
42,2019-11-19,139:147,61:413,private_transport,30.0,,,,,,,,,,,,
42,2019-11-19,140:146,61:413,private_transport,76.0,,,,,,,,,,,,
42,2019-11-19,140:146,121:165,bus,,20.0,,,,,,,,,,,
42,2019-11-19,140:146,121:165,private_transport,,21.0,,,,,,,13.0,,,,
42,2019-11-19,140:146,84:107,private_transport,,10.0,,,,,,,,,,,
42,2019-11-19,141:145,31:531,private_transport,,,,,25.0,,,,,,,,
42,2019-11-19,141:145,145:125,private_transport,,,,,,,,,,,,10.0,
42,2019-11-19,141:145,159:127,bus,10.0,,,,,,,,,,,,
42,2019-11-19,141:145,140:146,private_transport,,,12.0,,,,,,,,,,
42,2019-11-19,141:145,139:147,bus,,,11.0,,,,,,,,,,
42,2019-11-19,141:145,61:413,private_transport,100.0,,,,,,,,,,,,
42,2019-11-19,141:145,121:165,bus,,17.0,,,,,,,,,,,
42,2019-11-19,141:145,121:165,private_transport,,25.0,,,,,,,13.0,,,,
42,2019-11-19,141:145,137:149,private_transport,,,,,,,,,11.0,,,,
42,2019-11-19,141:145,156:130,bus,,,,,,,,,,,,,14.0
42,2019-11-19,141:145,86:105,bus,,,,,,,,,11.0,,,,
42,2019-11-19,141:145,90:117,bus,,,,,,,,17.0,,,,,
42,2019-11-19,141:145,99:101,bus,,,11.0,,,,,,,,,,
42,2019-11-19,141:145,84:107,private_transport,,,,,,,,,13.0,,,,
42,2019-11-19,141:145,136:150,bus,,,,,,,,,,,,11.0,
42,2019-11-19,141:145,136:150,private_transport,,,,,,,,,,,,11.0,
42,2019-11-19,143:143,116:154,bus,,,,,,,,11.0,,,,,
42,2019-11-19,143:143,139:147,private_transport,,,,,,,,11.0,,,,,
42,2019-11-19,144:126,159:127,private_transport,,,,,,,,,,,,,15.0
42,2019-11-19,144:126,124:162,bus,,,,,,,,,,,,,11.0
42,2019-11-19,144:126,124:162,private_transport,,,,,,,,,,,,,12.0
42,2019-11-19,144:126,137:149,private_transport,,,,,,,,,,,,,15.0
42,2019-11-19,145:125,31:531,private_transport,,,,,30.0,,,,,,,,
42,2019-11-19,145:125,140:146,private_transport,,,10.0,,,,,,,,,,
