ProjectID,Date,Origin,Destination,Modo,0000_0059,0200_0259,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159
42,2019-11-20,100:206,110:168,bus,,,,,,,,,,,25.0,,,,,,,,,
42,2019-11-20,100:206,110:168,private_transport,,,,,,,,,,,12.0,,,,,,,,,
42,2019-11-20,100:206,151:119,bus,,,,,,14.0,,,,,,,,,,,,,,
42,2019-11-20,100:206,159:127,bus,,,,,,,,,,,,,31.0,,,,,,,
42,2019-11-20,101:205,151:119,bus,,,,,,11.0,,,,,,,,,,,,,,
42,2019-11-20,101:205,159:127,bus,,,15.0,,,,,,,,,,,,,,,,,
42,2019-11-20,101:205,157:129,bus,,,,,,,22.0,,,,,,,,,,,,,
42,2019-11-20,101:205,83:108,private_transport,,,,,,,,,,,,,,,,,11.0,,,
42,2019-11-20,102:204,129:141,bus,,,,,,,,,,,,,,,,11.0,,,,
42,2019-11-20,103:203,110:168,bus,,,,,,,,,,,,,,,,,,37.0,,
42,2019-11-20,103:203,110:168,private_transport,,,,,,,,,,,,,,,,,,16.0,,
42,2019-11-20,103:203,109:169,bus,,,,,,,,,,,,,,,,,,10.0,,
42,2019-11-20,103:203,144:126,private_transport,,,,,,,,,,,,,16.0,,,,,,,
42,2019-11-20,103:203,149:121,bus,,,,,,,,,,,,,,,,,,14.0,,
42,2019-11-20,103:203,149:121,private_transport,,,,,,,,,,,,,,,,,,11.0,,
42,2019-11-20,103:203,45:319,private_transport,,,,,,,,,,,,,,,,11.0,,,,
42,2019-11-20,103:203,48:301,bus,,,,,,27.0,,,,,,,,,,,,,,
42,2019-11-20,103:203,68:315,bus,,,,,,10.0,,,,,,,,,,,,,,
42,2019-11-20,103:203,77:312,bus,,,,,,33.0,,,,,,,,,,,,,,
42,2019-11-20,103:203,77:312,private_transport,,,,,,20.0,,,,,,,,,,,,,,
42,2019-11-20,103:203,87:104,private_transport,,,,,,,,,,,,,42.0,,,,,,,
42,2019-11-20,103:203,91:116,private_transport,,,,,,,,,,,,,15.0,,,,,,,
42,2019-11-20,104:202,111:167,private_transport,,,,,,,,,,,,10.0,,,,,,,,
42,2019-11-20,104:202,148:122,bus,,,,,,,,,,,,22.0,,,,,,,,
42,2019-11-20,104:202,148:122,private_transport,,,,,,,,,,,,26.0,,,,,,,,
42,2019-11-20,104:202,150:120,bus,,,,,,,,,,,,10.0,,,,,,,,
42,2019-11-20,104:202,150:120,private_transport,,,,,,,,,,,,11.0,,,,,,,,
42,2019-11-20,107:207,110:168,bus,,,,,,,,,,,28.0,,,,,,,,,
42,2019-11-20,107:207,151:119,bus,,,,,,26.0,,,,,,,,,,,,,,
42,2019-11-20,107:207,101:205,bus,,,,,,14.0,,,,,,,,,,,,,,
42,2019-11-20,108:170,151:119,bus,,,,,,,,10.0,,,,,,,,,,,,
42,2019-11-20,108:170,108:170,bus,,,,,,,,16.0,,,,,,,,,,,,
42,2019-11-20,108:170,127:159,bus,,,,,,,,,,,,,,,,,16.0,,,
42,2019-11-20,108:170,152:134,bus,,,,,,,,,,,,,,,,,13.0,,,
42,2019-11-20,108:170,152:134,private_transport,,,,,,,,,,,,,,,,,24.0,,,
42,2019-11-20,108:170,154:132,bus,,,,,,,,13.0,,,,,,,,,17.0,,,
42,2019-11-20,108:170,154:132,private_transport,,,,,,,,11.0,,,,,,,,,,,,
42,2019-11-20,108:170,94:113,private_transport,,,,,,,,,,,,,,,,,10.0,,,
42,2019-11-20,109:169,110:168,bus,,,,,,,,,,,18.0,,,,,,,,,
42,2019-11-20,109:169,110:168,private_transport,,,,,,,,,,,12.0,,,,,,,,,
42,2019-11-20,109:169,159:127,bus,,,,,,39.0,,,,,,,,,,,,24.0,,
42,2019-11-20,109:169,109:169,bus,,,,,,,,,,,,,10.0,,,,,,,
42,2019-11-20,109:169,144:126,bus,,,,,,12.0,,,,,,,,,,,,10.0,,
42,2019-11-20,109:169,143:143,bus,,,,,,,,,,,,,,,,,11.0,,,
42,2019-11-20,110:168,159:127,bus,,,,,,22.0,,,,,,,,,,,,,,
42,2019-11-20,110:168,148:122,bus,,,,,,,,,,,,21.0,,,,,,,,
42,2019-11-20,110:168,148:122,private_transport,,,,,,,,,,,,27.0,,,,,,,,
42,2019-11-20,111:167,148:122,bus,,,,,,,,,,,,11.0,,,,,,,,
42,2019-11-20,111:167,148:122,private_transport,,,,,,,,,,,,12.0,,,,,,,,
42,2019-11-20,111:167,113:157,bus,,,,,,,,,,,,,,,,14.0,,,,
42,2019-11-20,111:167,138:148,bus,,,,,,,,,,,,,28.0,,,,,,,
42,2019-11-20,111:167,95:112,bus,,,,,,,,,,,,,,,,12.0,,,,
42,2019-11-20,113:157,110:168,bus,,,23.0,,,10.0,,,,,,,,,,,,,,
42,2019-11-20,113:157,110:168,private_transport,,,15.0,,,15.0,,,,,11.0,,,,,,,,,
42,2019-11-20,113:157,109:169,bus,,,,,,,,,12.0,,,,,,,,,,,
42,2019-11-20,113:157,109:169,private_transport,,,,,,,,,13.0,,,,,,,,,,,
42,2019-11-20,113:157,45:319,bus,,,,,,13.0,,,,,,,,,,,,,,
42,2019-11-20,113:157,45:319,private_transport,,,,,,30.0,,,,,,,,,,,,,,
42,2019-11-20,113:157,77:312,bus,,,,,,10.0,,,,,,,,,,,,,,
42,2019-11-20,113:157,87:104,bus,,,,,,,,,,,,,,,,11.0,,,,
42,2019-11-20,113:157,87:104,private_transport,,,,,,,,,,,,,11.0,,,12.0,,,,
42,2019-11-20,113:157,111:167,private_transport,,,12.0,,,10.0,,,,,,,,,,,,,,
42,2019-11-20,113:157,95:112,bus,,,,,,,,15.0,,,,,,,,,,,,
42,2019-11-20,113:157,95:112,private_transport,,,,,,,,22.0,,,,,,,,,,,,
42,2019-11-20,113:157,104:202,bus,,,15.0,,,12.0,,,,,,,,,,,,,,
42,2019-11-20,113:157,126:160,bus,,,,,,,,,,,24.0,,,,,,,,,
42,2019-11-20,113:157,134:136,bus,,,,,,,,,,,,,,,,,,,,11.0
42,2019-11-20,113:157,135:135,bus,,,,,,,,,,,,,,,,,,,,10.0
42,2019-11-20,113:157,135:135,private_transport,,,,,,,,,,,,,,,,,,,,12.0
42,2019-11-20,113:157,140:146,bus,,,13.0,,,,,,,,,,,,,,,,,
42,2019-11-20,113:157,140:146,private_transport,,,,,,,,,,,,,,10.0,,,,,,
42,2019-11-20,113:157,141:145,bus,,,16.0,,,,,,,,,,,,,,,,,
42,2019-11-20,113:157,141:145,private_transport,,,15.0,,,,,,,,,,,,,,,,,
42,2019-11-20,113:157,147:123,private_transport,,,10.0,,,,,,,,,,,,,,,,,
42,2019-11-20,113:157,156:130,bus,,,,,,,,,,,,,,,13.0,,,,,
42,2019-11-20,113:157,156:130,private_transport,,,,,,,,,,,,,,,17.0,,,,,
42,2019-11-20,113:157,92:115,bus,,,,,,,,,,,,,,,,14.0,,,,
42,2019-11-20,115:155,110:168,private_transport,,,,,,,,,,10.0,,,,,,,,,,
42,2019-11-20,115:155,104:202,bus,,,,,,,,,,10.0,,,,,,,,,,
42,2019-11-20,116:154,110:168,bus,,,,,,,,,,14.0,,,,,,,,,,
42,2019-11-20,116:154,109:169,bus,,,,,,,,,,12.0,,,,,,,,,,
42,2019-11-20,116:154,45:319,bus,,,,,,,,,,,,,,20.0,,,,,,
42,2019-11-20,116:154,48:301,bus,,,,,,,,,,,,12.0,,,,,,,,
42,2019-11-20,116:154,127:159,bus,,,,,,,,,,,,,,10.0,,,,,,
42,2019-11-20,116:154,152:134,private_transport,,,,,,,,,,,,,,10.0,,,,,,
42,2019-11-20,116:154,154:132,bus,,,,,,,,,,,,,,12.0,,,,,,
42,2019-11-20,116:154,128:142,bus,,,,,,,,,,11.0,,,,,,,,,,
42,2019-11-20,116:154,153:133,bus,,,,,,,,,,,,,,11.0,,,,,,
42,2019-11-20,116:154,61:413,private_transport,,,,,,,31.0,,,,,,,,,,,,,
42,2019-11-20,116:154,96:111,bus,,,,,,,,,,,,,,,,,14.0,,,
42,2019-11-20,117:153,109:169,bus,,,,,,,,,,,10.0,,,,,,,,,
42,2019-11-20,117:153,87:104,bus,,,,,,,,,,,,,,,,11.0,,,,
42,2019-11-20,117:153,87:104,private_transport,,,,,,,,,,,,,,,,12.0,,,,
42,2019-11-20,117:153,95:112,private_transport,,,,,,,,11.0,,,,,,,,,,,,10.0
42,2019-11-20,117:153,104:202,bus,,,,,,11.0,,,,,,,,,,,,,,
42,2019-11-20,117:153,141:145,private_transport,,,,,,,,,,,,,,11.0,,,,,,
42,2019-11-20,117:153,64:306,private_transport,,,,,,,,,,,11.0,,,,,,,,,
42,2019-11-20,117:153,90:117,bus,,,,,,,,,,,10.0,,,,,,,,,
42,2019-11-20,118:152,152:134,bus,,,,,,,,,,,,,,22.0,,,,,,
42,2019-11-20,118:152,152:134,private_transport,,,,,,,,,,,,,,13.0,,,,,,
42,2019-11-20,118:152,64:306,bus,,,,,,,,,,,16.0,,,,,,,,,
42,2019-11-20,118:152,64:306,private_transport,,,,,,,,,,,16.0,,,,,,,,,
42,2019-11-20,119:151,64:306,bus,,,,,,,,,,,42.0,,,,,,,,,
42,2019-11-20,119:151,64:306,private_transport,,,,,,,,,,,36.0,,,,,,,,,
42,2019-11-20,121:165,159:127,bus,,,,,,,,,,,,,,,39.0,,,,,
42,2019-11-20,121:165,159:127,private_transport,,,,,,,,,,,,,,,11.0,,,,,
42,2019-11-20,121:165,144:126,bus,,,,,,,,,,,,,,,13.0,,,,,
42,2019-11-20,121:165,87:104,bus,,,,,,,,,,,,,,20.0,,,,,,
42,2019-11-20,121:165,87:104,private_transport,,,,,,,,,,,,,,22.0,,,,,,
42,2019-11-20,121:165,91:116,bus,,,,,,,,,,,,,,14.0,,,,,,
42,2019-11-20,121:165,91:116,private_transport,,,,,,,,,,,,,,13.0,,,,,,
42,2019-11-20,121:165,101:205,bus,,,,,10.0,,,,,,,,,,,,,,,
42,2019-11-20,121:165,127:159,bus,,,,,,,,,,,,,,,,,,30.0,,
42,2019-11-20,121:165,127:159,private_transport,,,,,,,,,,,,,,,,,,17.0,,
42,2019-11-20,121:165,152:134,bus,,,,,,,,26.0,,,,,,,,,,,,
42,2019-11-20,121:165,154:132,bus,,,,,,,,13.0,,,,,,,,,,,,
42,2019-11-20,121:165,154:132,private_transport,,,,,,,,10.0,,,,,,,,,,,,
42,2019-11-20,121:165,94:113,bus,,,,,,,,10.0,,,,,,,,,,,,
42,2019-11-20,121:165,138:148,bus,,,,,,,,,,,,,23.0,,,,,,,
42,2019-11-20,121:165,126:160,bus,,,,,,,,,,,,,,,,,,15.0,,
42,2019-11-20,121:165,153:133,bus,,,,,,,,16.0,,,,,,,,,,,,
42,2019-11-20,121:165,153:133,private_transport,,,,,,,,11.0,,,,,,,,,,,,
42,2019-11-20,121:165,96:111,bus,,,,,30.0,,,,,,,,,,,,,,,
42,2019-11-20,121:165,96:111,private_transport,,,,,11.0,,,,,,,,,,,,,,,
42,2019-11-20,121:165,103:203,bus,,,,,,,,,,,,,11.0,,,,,,,
42,2019-11-20,121:165,121:165,bus,,,,,,,,,12.0,,,30.0,,,,,,,,
42,2019-11-20,121:165,121:165,private_transport,,,,,,,,,18.0,,,19.0,,,,,,,,
42,2019-11-20,121:165,137:149,bus,,,,,,,,,,,,,10.0,,,,,,,
42,2019-11-20,121:165,160:110,bus,,,,,15.0,,,,,,,,,,,,,,,
42,2019-11-20,121:165,160:110,private_transport,,,,,15.0,,,,,,,,,,,,,,,
42,2019-11-20,121:165,84:107,bus,,,,,,,,,17.0,,,17.0,,,,,,,,
42,2019-11-20,121:165,84:107,private_transport,,,,,,,,,19.0,,,11.0,,,,,,,,
42,2019-11-20,121:165,86:105,bus,,,,,,,,,,,,22.0,,,,,,,,
42,2019-11-20,121:165,86:105,private_transport,,,,,,,,,,,,11.0,,,,,,,,
42,2019-11-20,122:164,121:165,bus,,,,,,,,15.0,,,,,,,,,,,,
42,2019-11-20,122:164,121:165,private_transport,,,,,,,,13.0,,,,,,,,,,,,
42,2019-11-20,122:164,84:107,bus,,,,,,,,13.0,,,,,,,,,,,,
42,2019-11-20,123:163,94:113,bus,,,,,,,,,,,,,,,,,,17.0,,
42,2019-11-20,124:162,110:168,bus,,,,,,,,,,,,,,,,22.0,,,,
42,2019-11-20,124:162,110:168,private_transport,,,,,,,,,,,,,,,,24.0,,,,
42,2019-11-20,124:162,83:108,bus,,,,,,13.0,,,,,,,,,,,,,,
42,2019-11-20,124:162,144:126,private_transport,,,,,,,,,,,,,10.0,,,,,,,
42,2019-11-20,124:162,149:121,private_transport,,,,,,,,,,,,,,,,10.0,,,,
42,2019-11-20,124:162,143:143,private_transport,,,,,,11.0,,,,,,,,,,,,,,
42,2019-11-20,124:162,126:160,bus,,,,,,,,,,,,,,12.0,,,,,,
42,2019-11-20,124:162,126:160,private_transport,,,,,,,,,,,,,,14.0,,,,,,
42,2019-11-20,124:162,128:142,private_transport,,,,,,14.0,,,,,,,,,,,,,,
42,2019-11-20,124:162,121:165,bus,,,,,,,,,,,,,,,,,10.0,,,
42,2019-11-20,124:162,137:149,bus,,,,,,,,,,12.0,,,,,,,,,,
42,2019-11-20,124:162,137:149,private_transport,,,,,,,,,,13.0,,,,,,,,,,
42,2019-11-20,124:162,84:107,private_transport,,,,,,,,,,,,,,,,,10.0,,,
42,2019-11-20,124:162,51:308,bus,,,,,,,,,,,,,,,,,11.0,,,
42,2019-11-20,124:162,51:308,private_transport,,,,,,,,,,,,,,,,,36.0,,,
42,2019-11-20,124:162,98:217,private_transport,,,,,,15.0,,,,,,,,,,,,,,
42,2019-11-20,125:161,83:108,private_transport,,,,,,11.0,,,,,,,,,,,,,,
42,2019-11-20,125:161,109:169,private_transport,,,,,,10.0,,,,,,,,,,,,,,
42,2019-11-20,125:161,126:160,bus,,,,,,,,,,,,,,11.0,,,,,,
42,2019-11-20,125:161,137:149,bus,,,,,,,,,,10.0,,,,,,,,,,
42,2019-11-20,125:161,51:308,bus,,,,,,,,,,,,,,,,,13.0,,,
42,2019-11-20,126:160,159:127,bus,,,,,,42.0,,,,,,,,,,,,,,
42,2019-11-20,126:160,144:126,bus,,,,,10.0,,,,,,,,,,,,,,,
42,2019-11-20,126:160,87:104,bus,,,,,,,,,,,,,38.0,,,,,,,
42,2019-11-20,126:160,87:104,private_transport,,,,,,,,,,,,,30.0,,,,,,,
42,2019-11-20,126:160,127:159,bus,,,,,,,,,,,,,,,,,11.0,,,
42,2019-11-20,126:160,156:130,bus,,,,,,,,,22.0,,,,,,,,,,,
42,2019-11-20,126:160,92:115,bus,,,,,,,,,,,,,16.0,,,,,,,
42,2019-11-20,126:160,92:115,private_transport,,,,,,,,,,,,,11.0,,,,,,,
42,2019-11-20,126:160,90:117,bus,,,,,,,43.0,,,,,,,,,,,,,
42,2019-11-20,126:160,90:117,private_transport,,,,,,,33.0,,,,,,,,,,,,,
42,2019-11-20,126:160,121:165,bus,,,,,36.0,,,,,,,,,,,,,,,
42,2019-11-20,126:160,121:165,private_transport,,,,,12.0,,,,,,,,,,,,,,,
42,2019-11-20,126:160,84:107,bus,,,,,12.0,,,,,,,,,,,,,,,
