ProjectID,Date,Origin,Destination,Modo,0100_0159,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
41,2020-03-11,100:206,107:207,private_transport,,10.0,,,,,,,,,,,,,,,,,
41,2020-03-11,100:206,83:108,bus,,12.0,,,,,,,,,,,,,,,,,
41,2020-03-11,101:205,83:108,bus,,,,,,16.0,,,,,,,,,,,,,
41,2020-03-11,101:205,102:204,bus,,,,,,,,,,,,13.0,,,,,,,
41,2020-03-11,101:205,109:169,bus,,,,,,10.0,,,,,,,,,,,,,
41,2020-03-11,101:205,126:160,bus,,,,,,,,,,,,,13.0,,,,,,
41,2020-03-11,101:205,128:142,bus,,,,,,,,,,,,,,12.0,,,,,
41,2020-03-11,101:205,128:142,private_transport,,,,,,,,,,,,,,14.0,,,,,
41,2020-03-11,101:205,146:124,bus,,,,,,,,,,,,16.0,,,,,,,
41,2020-03-11,101:205,146:124,private_transport,,,,,,,,,,,,12.0,,,,,,,
41,2020-03-11,101:205,64:306,private_transport,,,,,,,,,,,,,,,,,,,27.0
41,2020-03-11,101:205,75:313,private_transport,,,,,,,,,,,,,,,,30.0,,,
41,2020-03-11,101:205,97:102,bus,,,,,,,,,,,,,32.0,,,,,,
41,2020-03-11,101:205,97:102,private_transport,,,,,,,,,,,,,11.0,,,,,,
41,2020-03-11,101:205,9:509,private_transport,,,,,,,,,,11.0,,,,,,,,,
41,2020-03-11,102:204,83:108,bus,,,,,,,,,,,,,,10.0,,,,,
41,2020-03-11,102:204,128:142,private_transport,,,,,,,,,,,,,,10.0,,,,,
41,2020-03-11,102:204,75:313,private_transport,,,,,,,,,,,,,,,,19.0,,,
41,2020-03-11,102:204,61:413,bus,,,,,,,,,,13.0,,,,,,,,,
41,2020-03-11,102:204,96:111,bus,,,,,10.0,,,,,,,,,,,,,,
41,2020-03-11,103:203,103:203,bus,,,,,,37.0,,,,,,,,,,,,,
41,2020-03-11,103:203,122:164,bus,,,,,,,,,,,,,13.0,,,,,,
41,2020-03-11,103:203,127:159,bus,,,,,,,,,,,,,12.0,,,,,,
41,2020-03-11,103:203,131:139,bus,,,,,,26.0,,,,,,,,,,,,,
41,2020-03-11,103:203,131:139,private_transport,,,,,,13.0,,,,,,,,,,,,,
41,2020-03-11,103:203,58:303,bus,,,,,,15.0,,,,,,,,,,,,,
41,2020-03-11,103:203,93:114,bus,,,,,,,,,,,,,13.0,,,,,,
41,2020-03-11,105:201,108:170,bus,,,,18.0,,,,,,,,,,,,,,,
41,2020-03-11,105:201,151:119,bus,,,,17.0,,,,,,,,,,,,,,,
41,2020-03-11,105:201,152:134,bus,,,,13.0,,,,,,,,,,,,,,,
41,2020-03-11,106:208,108:170,bus,,,,13.0,,,,,,,,,,,,,,,
41,2020-03-11,106:208,151:119,bus,,,,12.0,,,,,,,,,,,,,,,
41,2020-03-11,106:208,152:134,bus,,,,13.0,,,,,,,,,,,,,,,
41,2020-03-11,107:207,107:207,bus,,11.0,,,,,,,,,,,,,,,,,
41,2020-03-11,107:207,76:314,bus,,10.0,,,,,,,,,,,,,,,,,
41,2020-03-11,108:170,109:169,bus,,,,,,,,,,,,,,,,18.0,,,
41,2020-03-11,108:170,126:160,bus,,,,,12.0,,,,,,,,,,,,,,
41,2020-03-11,108:170,97:102,bus,,,,,17.0,,,,,,,,,,,,,,
41,2020-03-11,108:170,97:102,private_transport,,,,,14.0,,,,,,,,,,,,,,
41,2020-03-11,108:170,9:509,private_transport,,,,,,,,,,54.0,,,,,,,,,
41,2020-03-11,108:170,96:111,bus,,,,,19.0,,,,,,,,,,,,,,
41,2020-03-11,108:170,122:164,private_transport,,,,,10.0,,,,,,,,,,,,,,
41,2020-03-11,108:170,110:168,bus,,,,,,,,,,,,,,,11.0,,,,
41,2020-03-11,108:170,111:167,bus,,,,,,,,,,,,,,,11.0,,,,
41,2020-03-11,108:170,148:122,bus,,,,,,,,,,,,,,,18.0,,,,
41,2020-03-11,108:170,149:121,bus,,,,,,,,,,,,,,,23.0,,,,
41,2020-03-11,108:170,149:121,private_transport,,,,,,,,,,,,,,,20.0,,,,
41,2020-03-11,108:170,150:120,bus,,,,,35.0,,,,,,,,,,,,,,
41,2020-03-11,108:170,150:120,private_transport,,,,,15.0,,,,,,,,,,,,,,
41,2020-03-11,108:170,160:110,bus,,,,,14.0,,,,,,,,,,,,,,
41,2020-03-11,108:170,160:110,private_transport,,,,,16.0,,,,,,,,,,,,,,
41,2020-03-11,108:170,98:217,private_transport,,,,,,,,,,,,,,,,10.0,,,
41,2020-03-11,109:169,83:108,bus,,15.0,,,,,,12.0,,23.0,,,,14.0,17.0,,,,
41,2020-03-11,109:169,83:108,private_transport,,,,,,,,13.0,,,,,,,,,,,
41,2020-03-11,109:169,109:169,bus,,,,,,,,,,,,,,,20.0,,,,
41,2020-03-11,109:169,109:169,private_transport,,10.0,,,,,,,,,,,,,,,,,
41,2020-03-11,109:169,128:142,bus,,,,,,,,,,,,,,,13.0,,,,
41,2020-03-11,109:169,128:142,private_transport,,,,,,,,,,,,,,,12.0,,,,
41,2020-03-11,109:169,98:217,bus,,,,,,,,,,,,,,11.0,16.0,,,,
41,2020-03-11,109:169,129:141,bus,,,,,,,,,,,13.0,,,,,,,,
41,2020-03-11,109:169,130:140,bus,,,,,,,,,,,10.0,,,,,,,,
41,2020-03-11,109:169,154:132,bus,,,,,,,,,20.0,,,,,,,,,,
41,2020-03-11,110:168,109:169,bus,,,,,,,,,,,,,,,12.0,,,,
41,2020-03-11,110:168,110:168,bus,,,,,,,,,,,,,,,,,13.0,,
