ProjectID,Date,Origin,Destination,Modo,0200_0259,0400_0459,0600_0659,0700_0759,0800_0859,0900_0959,1100_1159,1200_1259,1300_1359,1400_1459,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
41,2019-11-20,101:205,126:160,bus,,,,12.0,,,,,,,,,,,,,
41,2019-11-20,101:205,126:160,private_transport,,,,10.0,,,,,,,,,,,,,
41,2019-11-20,101:205,129:141,bus,,,,,,,,,,,,11.0,,,,,
41,2019-11-20,101:205,130:140,bus,,,,,,,,,,,,12.0,,,,,
41,2019-11-20,101:205,83:108,private_transport,,20.0,,,,,,,,,,,,,,,
41,2019-11-20,108:170,83:108,bus,,,,,,,,,,,10.0,,,,,,
41,2019-11-20,108:170,108:170,bus,,,,,,,,,,,28.0,,,,,,
41,2019-11-20,108:170,148:122,bus,,,,,,,,13.0,,,,,,,,,
41,2019-11-20,108:170,149:121,bus,,,,,,,,30.0,,,,,,,,,
41,2019-11-20,108:170,149:121,private_transport,,,,,,,,22.0,,,,,,,,,
41,2019-11-20,108:170,151:119,bus,,,,,,,,,,,19.0,,,,,,
41,2019-11-20,108:170,152:134,bus,,,,,,,,,11.0,,,,,,,,
41,2019-11-20,108:170,154:132,bus,,,,,,,,,23.0,,12.0,,,,,,
41,2019-11-20,108:170,154:132,private_transport,,,,,,,10.0,,24.0,,17.0,,,,,,
41,2019-11-20,108:170,56:416,private_transport,,,,,,81.0,,,,,,,,,,,
41,2019-11-20,108:170,89:118,bus,,,,,,,,,19.0,,,,,,,,
41,2019-11-20,109:169,129:141,bus,,,,,,,,,15.0,,,,,,,,
41,2019-11-20,109:169,83:108,bus,,,,,,,,,,,,,,12.0,,,
41,2019-11-20,109:169,89:118,private_transport,,,,,,,,,10.0,,,,,,,,
41,2019-11-20,109:169,98:217,bus,,,,,,11.0,,,,,,,,,,,
41,2019-11-20,110:168,126:160,bus,,,14.0,,,,,,,,,,,,,,
41,2019-11-20,110:168,129:141,bus,,,,,,,,,,,,,29.0,,,,
41,2019-11-20,110:168,130:140,bus,,,,,,,,,,,,,44.0,,,,
41,2019-11-20,110:168,83:108,bus,,,,,,,,,,,,,34.0,,,,
41,2019-11-20,110:168,151:119,private_transport,,,,,,,,,,,,,11.0,,,,
41,2019-11-20,110:168,152:134,bus,,,,,,,,,,,,,11.0,,,,
41,2019-11-20,110:168,154:132,bus,,,,,,,,,,,,,29.0,,,,
41,2019-11-20,110:168,154:132,private_transport,,,,,,,,,,,,,22.0,,,,
41,2019-11-20,110:168,89:118,bus,,,,,,,,,,,,,26.0,,,,
41,2019-11-20,110:168,89:118,private_transport,,,,,,,,,,,,,17.0,,,,
41,2019-11-20,110:168,127:159,bus,,,40.0,,,,,,,,,,,,,,
41,2019-11-20,110:168,127:159,private_transport,,,31.0,,,,,,,,,,,,,,
41,2019-11-20,111:167,129:141,bus,,,,,,,,,,,,79.0,,,,,
41,2019-11-20,111:167,129:141,private_transport,,,,,,,,,,,,12.0,,,,,
41,2019-11-20,111:167,101:205,bus,,,,,,,,,,,,30.0,,,,,
41,2019-11-20,116:154,109:169,bus,,,,,,,,,,,,,,,10.0,,
41,2019-11-20,116:154,117:153,bus,,,10.0,,,,,,,,,,,,,,
41,2019-11-20,116:154,118:152,bus,,,12.0,,,,,,,,,,,,,,
41,2019-11-20,116:154,139:147,bus,,,,,,,,,,,,,12.0,,,,
41,2019-11-20,116:154,139:147,private_transport,,,10.0,,,,,,,,,,,,,,
41,2019-11-20,116:154,143:143,bus,,,,,,,,,,,,,,,12.0,,
41,2019-11-20,117:153,118:152,bus,,,10.0,,,,,,,,,,,,,,
41,2019-11-20,118:152,83:108,bus,,,,,,,,,,14.0,,,,,,,
41,2019-11-20,118:152,83:108,private_transport,,,,,,,,,,12.0,,,,,,,
41,2019-11-20,118:152,117:153,bus,,,10.0,,,,,,,,,,,,,,
41,2019-11-20,118:152,118:152,bus,,,10.0,,,,,,,,,,,,,,
41,2019-11-20,118:152,118:152,private_transport,,,12.0,,,,,,,,,,,,,,
41,2019-11-20,118:152,139:147,bus,,,11.0,,,,,,,,,,,,,,
41,2019-11-20,118:152,139:147,private_transport,,,,,,,,,,,,,10.0,,,,
41,2019-11-20,119:151,130:140,bus,,,,,,,,,,12.0,,,,,,,
41,2019-11-20,119:151,83:108,bus,,,,,,,,,,16.0,,,,,,,
41,2019-11-20,119:151,83:108,private_transport,,,,,,,,,,12.0,,,,,,,
41,2019-11-20,123:163,109:169,bus,,,,,,14.0,,,,,,,,,,,
41,2019-11-20,126:160,129:141,private_transport,,,,,,,,,,,,,,10.0,,,
41,2019-11-20,126:160,108:170,bus,,,,,,,,,,19.0,,,,,,,
41,2019-11-20,126:160,108:170,private_transport,,,,,,,,,,17.0,,,,,,,
41,2019-11-20,126:160,154:132,bus,,,,,,,,,,,,,,13.0,,,
41,2019-11-20,126:160,154:132,private_transport,,,,,,,,,,,,,,10.0,,,
41,2019-11-20,126:160,76:314,private_transport,,,,11.0,,,,,,,,,,,,,
41,2019-11-20,127:159,108:170,bus,,,,,,,,,,26.0,,,,,,,
41,2019-11-20,127:159,108:170,private_transport,,,,,,,,,,23.0,,,,,,,
41,2019-11-20,127:159,151:119,bus,,,,,,,,,,16.0,,,,,,,
41,2019-11-20,127:159,151:119,private_transport,,,,,,,,,,15.0,,,,,,,
41,2019-11-20,127:159,152:134,bus,,,,,,,,,,13.0,,,,,,,
41,2019-11-20,127:159,152:134,private_transport,,,,,,,,,,12.0,,,,,,,
41,2019-11-20,127:159,98:217,private_transport,10.0,,,,,,,,,,,,,,,,
41,2019-11-20,127:159,109:169,private_transport,12.0,,,,,,,,,,,,,,,,
41,2019-11-20,127:159,76:314,bus,,,,12.0,,,,,,,,,,,,,
41,2019-11-20,129:141,129:141,bus,,,,,,,,,,,,,,,,31.0,
41,2019-11-20,129:141,129:141,private_transport,,,,,,,,,,,,,,,,17.0,
41,2019-11-20,129:141,130:140,bus,,,,,,,,,,,,16.0,,,,38.0,
41,2019-11-20,129:141,130:140,private_transport,,,,,,,,,,,,,,,,22.0,
41,2019-11-20,129:141,83:108,bus,,,,,,,,,,,,,,,,22.0,11.0
41,2019-11-20,129:141,83:108,private_transport,,,,,,,,,,,,16.0,,,,,
41,2019-11-20,129:141,154:132,bus,,,,,,,,,,,,,,,,,21.0
41,2019-11-20,129:141,154:132,private_transport,,,,,,,,,,,,,,,,,12.0
41,2019-11-20,129:141,107:207,private_transport,,,,,,,,,,10.0,,,,,,,
41,2019-11-20,129:141,153:133,bus,,,,,,,,,,,,,,,,,16.0
41,2019-11-20,130:140,129:141,bus,,,,,,,,,,,,12.0,,,,33.0,
41,2019-11-20,130:140,129:141,private_transport,,,,,,,,,,,,,,,,16.0,
