ProjectID,Date,Origin,Destination,Modo,0000_0059,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2200_2259
42,2019-11-13,100:206,107:207,bus,,13.0,,,,,,,,,,,,,,,,
42,2019-11-13,100:206,128:142,bus,,12.0,,,,,,,,,,,,,,,,
42,2019-11-13,100:206,143:143,bus,,10.0,,,,,,,,,,,,,,,,
42,2019-11-13,101:205,143:143,bus,,10.0,,,,,,,,,,,,,,,,
42,2019-11-13,101:205,83:108,bus,,,,,26.0,,,,,,,,,,,,,
42,2019-11-13,101:205,83:108,private_transport,,,,,17.0,,,,,,,,,,,,,
42,2019-11-13,103:203,103:203,bus,,,31.0,,,10.0,,,,,,,,,,,,
42,2019-11-13,103:203,103:203,private_transport,,,39.0,,,33.0,,,,,,,,,,,,
42,2019-11-13,103:203,110:168,bus,,,,,,,,,,,,46.0,,,,,,
42,2019-11-13,103:203,110:168,private_transport,,,,,,,,,,,,52.0,,,,,,
42,2019-11-13,103:203,111:167,bus,,,,,,,,,,24.0,,,,,,,,
42,2019-11-13,103:203,111:167,private_transport,,,,,,,,,,82.0,,,,,,,,
42,2019-11-13,103:203,115:155,private_transport,,,37.0,,,,,,,,,,,,,,,
42,2019-11-13,103:203,124:162,private_transport,,,10.0,,,12.0,,,,,,,,,,,,
42,2019-11-13,103:203,125:161,private_transport,,,12.0,,,,,,,,,,,,,,,
42,2019-11-13,103:203,131:139,bus,,,,,,15.0,,,,,,,,,,,,
42,2019-11-13,103:203,131:139,private_transport,,,,,,19.0,,,,,,,,,,,,
42,2019-11-13,103:203,138:148,bus,,,,,,,,,,10.0,,,,,,,,
42,2019-11-13,103:203,138:148,private_transport,,,,,,,,,,14.0,,,,,,,,
42,2019-11-13,103:203,149:121,bus,,,,,,,,,,,,11.0,,,,,,
42,2019-11-13,103:203,149:121,private_transport,,,,,,,,,,,,12.0,,,,,,
42,2019-11-13,103:203,159:127,private_transport,,,15.0,,,,,,,,,,,,,,,
42,2019-11-13,103:203,25:525,private_transport,,,,85.0,,,,,,,,,,,,,,
42,2019-11-13,103:203,45:319,bus,,,,,,,,,,,,,24.0,,,,,
42,2019-11-13,103:203,45:319,private_transport,,,,,,,,,,,,,74.0,,,,,
42,2019-11-13,103:203,58:303,bus,,,13.0,,,,,,,,,,,,,,,
42,2019-11-13,103:203,58:303,private_transport,,,20.0,,,14.0,,,,,,,,,,,,
42,2019-11-13,103:203,6:506,private_transport,,,,28.0,,,,,,,,,,,,,,
42,2019-11-13,103:203,97:102,private_transport,,11.0,,,,,,,,,,,,,,,,
42,2019-11-13,104:202,140:146,private_transport,,,,22.0,,,,,,,,,,,,,,
42,2019-11-13,104:202,141:145,private_transport,,,,25.0,,,,,,,,,,,,,,
42,2019-11-13,107:207,143:143,bus,,11.0,,,,,,,,,,,,,,,,
42,2019-11-13,107:207,100:206,bus,,12.0,,,,,,,,,,,,,,,,
42,2019-11-13,107:207,76:314,bus,,,,,,,10.0,,,,,,,,,,,
42,2019-11-13,107:207,76:314,private_transport,,,,,,,11.0,,,,,,,,,,,
42,2019-11-13,109:169,76:314,bus,,,,,58.0,,,,,,,,,,,,,
42,2019-11-13,109:169,76:314,private_transport,,,,,21.0,,,,,,,,,,,,,
