ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
42,2019-11-20,100:206,61:413,private_transport,,,,,,,,,,,,,,48.0,,,,,,,,,
42,2019-11-20,101:205,157:129,bus,,,,,,,,,,,,,,,,,,,,,,,10.0
42,2019-11-20,101:205,157:129,private_transport,,,,,,,,,,,,,,,,,,,,,,,10.0
42,2019-11-20,101:205,91:116,bus,,,,,,,,,,,,,,,,,10.0,,,,,,
42,2019-11-20,101:205,97:102,private_transport,,,,,,,,,,,,,,10.0,,,,,,,,,
42,2019-11-20,102:204,97:102,bus,,,,,,,,,,11.0,,,,11.0,,,,,,,,,
42,2019-11-20,102:204,97:102,private_transport,,,,,,,,,,10.0,,,,,,,,,,,,,
42,2019-11-20,102:204,140:146,bus,,,,,,,10.0,,,,,,,,,,,,,,,,
42,2019-11-20,102:204,141:145,bus,,,,,,,11.0,,,,,,,,,,,,,,,,
42,2019-11-20,103:203,91:116,bus,,,,,,,14.0,,,,,,,,,,,,,,,,
42,2019-11-20,103:203,103:203,bus,,,,,,11.0,,,16.0,,,,,,,,,,,,,,
42,2019-11-20,103:203,103:203,private_transport,,,,,,,,,,,,,,,,,10.0,,,,,,
42,2019-11-20,103:203,104:202,bus,,,,,,,,,10.0,,,,,,,,,,,,,,
42,2019-11-20,103:203,111:167,bus,,,,,,,19.0,,,,,,,,,26.0,,,,,,,
42,2019-11-20,103:203,111:167,private_transport,,,,,,,10.0,,,,,,,,,18.0,,,,,,,
42,2019-11-20,103:203,126:160,private_transport,,,,,,,,,,,,,,,,,,13.0,,,,,
42,2019-11-20,103:203,134:136,bus,,,,,,,13.0,,,,,,,,,,,,,,,,
42,2019-11-20,103:203,134:136,private_transport,,,,,,,13.0,,,,,,,,,,,,,,,,
42,2019-11-20,103:203,137:149,bus,,,,,,,,,,,16.0,,,,,,,,,,,,
42,2019-11-20,103:203,137:149,private_transport,,,,,,,,,,,13.0,,,,,,,,,,,,
42,2019-11-20,103:203,138:148,bus,,,,,,28.0,,,27.0,,,,,,,,,,13.0,,12.0,,
