ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
42,2020-03-12,101:205,129:141,bus,,,,,,,,,,,,,,11.0,,,,,,,,,
42,2020-03-12,101:205,146:124,bus,,,,,,,,,32.0,,,,,,,,,,,,,,
42,2020-03-12,101:205,78:302,private_transport,,,,,,,,,,,,17.0,,,,,,,,,,,
42,2020-03-12,101:205,83:108,bus,,,,,,,,,12.0,,,,,,,,,,,,,,
42,2020-03-12,101:205,83:108,private_transport,,,,,,,,,12.0,,,,,,,,,,,,,,
42,2020-03-12,101:205,9:509,private_transport,,,,,,,,,,,,12.0,,,,,,,,,,,
42,2020-03-12,102:204,146:124,bus,,,,,,,,,14.0,,,,,,,,,,,,,,
42,2020-03-12,102:204,113:157,private_transport,,,,,,,,,,10.0,,,,,,,,,,,,,
42,2020-03-12,102:204,50:412,private_transport,,,,,,,,,,,,,15.0,,,,,,,,,,
42,2020-03-12,102:204,58:303,private_transport,,,,,,,,,11.0,,,,,,,,,,,,,,
42,2020-03-12,103:203,137:149,bus,,,,,,,,,,10.0,,,,,,,,,,,,,
42,2020-03-12,103:203,90:117,bus,,,,,,,35.0,,,,,,,,,,,,,,,,
42,2020-03-12,104:202,137:149,bus,,,,,,,,,,30.0,,,,,,,,,,,,,
42,2020-03-12,104:202,137:149,private_transport,,,,,,,,,,29.0,,,,,,,,,,,,,
42,2020-03-12,108:170,78:302,private_transport,,,,,,,,,,,,28.0,,,,,,,,,,,
42,2020-03-12,108:170,9:509,private_transport,,,,,,,,,,,,18.0,,,,,,,,,,,
42,2020-03-12,108:170,104:202,private_transport,,,,,,,,,,,,,,,,,,,,,11.0,,
42,2020-03-12,108:170,105:201,bus,,,,,,,,,,,,,,,,,,,,,12.0,,
42,2020-03-12,108:170,105:201,private_transport,,,,,,,,,,,,,,,,,,,,,29.0,,
42,2020-03-12,108:170,106:208,bus,,,,,,,,,,,,,,,,,,,,,12.0,,
42,2020-03-12,108:170,106:208,private_transport,,,,,,,,,,,,,,,,,,,,,15.0,,
42,2020-03-12,108:170,121:165,bus,,,,,,,,13.0,,,,,,,,,,,,,,,
42,2020-03-12,108:170,140:146,bus,,,,,,,,,,,,,,,,,,,,,10.0,,
42,2020-03-12,108:170,141:145,bus,,,,,,,,,,,,,,,,,,,,,12.0,,
42,2020-03-12,108:170,57:310,private_transport,,,,,,,,,,,,,,,,,,,,,20.0,,
42,2020-03-12,109:169,83:108,bus,,,,,10.0,,,,,,,,,,,,,,,,,,
42,2020-03-12,109:169,57:310,bus,,,,,,11.0,,,,,,,,,,,,,,,,,
42,2020-03-12,109:169,128:142,bus,,,,,13.0,,,,,,,,,,,,,,,,,,
42,2020-03-12,109:169,128:142,private_transport,,,,,12.0,,,,,,,,,,,,,,,,,,
42,2020-03-12,109:169,152:134,bus,,,,,,,,,,,,,,,,,,,,,,17.0,
42,2020-03-12,109:169,154:132,bus,,,,,,,,,,,,,,,,,,32.0,,,,,
42,2020-03-12,109:169,154:132,private_transport,,,,,,,,,,,,,,,,,,24.0,,,,,
42,2020-03-12,109:169,89:118,bus,,,,,,,,,,,,,,,,,,18.0,,,,,
42,2020-03-12,109:169,89:118,private_transport,,,,,,,,,,,,,,,,,,13.0,,,,,
42,2020-03-12,109:169,98:217,bus,,,,,12.0,,,,,,,,,,,,,,,,,,
42,2020-03-12,109:169,98:217,private_transport,,,,,10.0,,,,,,,,,,,,,,,,,,
42,2020-03-12,109:169,99:101,private_transport,,,,,,,,,,,,,,,,,,,10.0,,,,
42,2020-03-12,110:168,140:146,bus,,,,,,,,,21.0,,,,,,,,,,,,,,
42,2020-03-12,110:168,141:145,bus,,,,,,,,,17.0,,,,,,,,,,,,,,
42,2020-03-12,110:168,141:145,private_transport,,,,,,,,,10.0,,,,,,,,,,12.0,,,,
42,2020-03-12,110:168,89:118,bus,,,,,,,,,,,,,,,,,,11.0,,,,,
42,2020-03-12,110:168,99:101,bus,,,,,,,,,,,,,,,,,,,40.0,,,,
42,2020-03-12,110:168,99:101,private_transport,,,,,,,,,,,,,,,,,,,41.0,,,,
42,2020-03-12,110:168,120:166,private_transport,,,,,,,,,,,,,,,,,,,15.0,,,,
42,2020-03-12,110:168,145:125,bus,,,,,,,,,,,,,,,,,,,13.0,,,,
42,2020-03-12,110:168,145:125,private_transport,,,,,,,,,,,,,,,,,,,15.0,,,,
42,2020-03-12,110:168,160:110,bus,,,,,,,,,,,,,,,,,26.0,,,,,,
42,2020-03-12,110:168,160:110,private_transport,,,,,,,,,,,,,,,,,24.0,,,,,,
42,2020-03-12,110:168,96:111,bus,,,,,,,,,,,,,,,,,27.0,,,,,,
42,2020-03-12,110:168,96:111,private_transport,,,,,,,,,,,,,,,,,24.0,,,,,,
42,2020-03-12,111:167,137:149,bus,,,,,,,,,,25.0,,,,,,,,,,,,,
42,2020-03-12,111:167,137:149,private_transport,,,,,,,,,,35.0,,,,,,,,,,,,,
42,2020-03-12,111:167,121:165,private_transport,,,,,,,,,,11.0,,,,,,,,,,,,,
42,2020-03-12,111:167,141:145,private_transport,,,,,,,,,,,13.0,,,,,,,,,,,,
42,2020-03-12,111:167,99:101,private_transport,,,,,,,,,,,13.0,,,,,,,,,,,,
42,2020-03-12,111:167,134:136,bus,,,,,,,,,,,,14.0,,,,,,,,,,,
42,2020-03-12,111:167,134:136,private_transport,,,,,,,,,,,,10.0,,,,,,,,,,,
42,2020-03-12,111:167,138:148,bus,,,,,,,,,,10.0,,,,,,,,,,,,,
42,2020-03-12,111:167,156:130,bus,,,,,,,,,,,,25.0,,,,,,,,,,,
42,2020-03-12,111:167,87:104,bus,,,,,,,,,15.0,,,,,,,,,,,,,,
42,2020-03-12,113:157,141:145,bus,,,,,,,,,,,,,,,13.0,,,,,,,,
42,2020-03-12,113:157,139:147,bus,,,,,,,,,,,,,,,,,,11.0,,,,,
42,2020-03-12,113:157,95:112,bus,,,,,,,,,,,,,,,,,,12.0,,,,,
42,2020-03-12,115:155,115:155,private_transport,,,,,,,,,,,,,,10.0,,,,,,,,,
42,2020-03-12,116:154,141:145,bus,,,,,,,,,,,,,,19.0,,,,,,,,,
42,2020-03-12,116:154,141:145,private_transport,,,,,,,,,,,,,,11.0,,,,,,,,,
42,2020-03-12,116:154,139:147,bus,,,,,,,,10.0,,13.0,,,,14.0,,,,,,,,,
42,2020-03-12,116:154,139:147,private_transport,,,,,,,,,,10.0,,,,,,,,,,,,,
42,2020-03-12,116:154,95:112,bus,,,,,,,,10.0,,10.0,,,,,,,,,,,,,
42,2020-03-12,116:154,95:112,private_transport,,,,,,,,10.0,,,,,,,,,,,,,,,
42,2020-03-12,116:154,115:155,bus,,,,,,,,,,,,,,16.0,,,,,,,,,
42,2020-03-12,116:154,118:152,bus,,,,,,,,,,12.0,,,,,,,,,,,,,
42,2020-03-12,116:154,118:152,private_transport,,,,,,,,,,,,,,12.0,,,,,,,,,
42,2020-03-12,116:154,92:115,bus,,,,,,,,,,,,,,,13.0,,,,,,,,
