ProjectID,Date,Origin,Destination,Modo,0100_0159,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1700_1759,1800_1859,1900_1959,2000_2059
42,2019-11-20,104:202,121:165,bus,,,,,,,14.0,,,,,,,
42,2019-11-20,104:202,121:165,private_transport,,,,,,,10.0,,,,,,,
42,2019-11-20,104:202,84:107,bus,,,,,,,10.0,,,,,,,
42,2019-11-20,104:202,90:117,bus,,,,11.0,,,,,,,,,,
42,2019-11-20,104:202,90:117,private_transport,,,,26.0,,,,,,,,,,
42,2019-11-20,108:170,126:160,bus,,14.0,,,,,,,,,,,,
42,2019-11-20,108:170,97:102,bus,,45.0,,,,,,,,,,,,
42,2019-11-20,108:170,97:102,private_transport,,16.0,,,,,,,,,,,,
42,2019-11-20,110:168,121:165,bus,,,,,,,15.0,,,,,,,
42,2019-11-20,110:168,121:165,private_transport,,,,,,,10.0,,,,,,,
42,2019-11-20,110:168,84:107,bus,,,,,,,15.0,,,,,,,
42,2019-11-20,110:168,84:107,private_transport,,,,,,,13.0,,,,,,,
42,2019-11-20,110:168,90:117,bus,,,,25.0,,,,,,,,,,
42,2019-11-20,110:168,90:117,private_transport,,,,35.0,,,,,,,,,,
42,2019-11-20,110:168,126:160,bus,,,,,,,,,,,41.0,,,
42,2019-11-20,110:168,126:160,private_transport,,,,,,,,,,,47.0,,,
42,2019-11-20,110:168,85:106,bus,,,,15.0,,,,,,,,,,
42,2019-11-20,110:168,85:106,private_transport,,,,23.0,,,,,,,,,,
42,2019-11-20,110:168,87:104,bus,,,,11.0,,,,,,,,,,
42,2019-11-20,110:168,88:103,private_transport,,,,12.0,,,,,,,,,,
42,2019-11-20,111:167,121:165,bus,,,,,,,39.0,,,,,,,
42,2019-11-20,111:167,121:165,private_transport,,,,,,,41.0,,,,,,,
42,2019-11-20,111:167,84:107,bus,,,,,,,11.0,,,,,,,
42,2019-11-20,111:167,84:107,private_transport,,,,,,,12.0,,,,,,,
42,2019-11-20,111:167,90:117,bus,,,,10.0,,,,,,,,,,
42,2019-11-20,111:167,85:106,private_transport,,,,10.0,,,,,,,,,,
42,2019-11-20,111:167,87:104,bus,,,,,,,,,11.0,,,,,
42,2019-11-20,111:167,159:127,bus,,,,,11.0,,,,,,,,,
42,2019-11-20,111:167,86:105,bus,,,,,,,25.0,,,,,,,
42,2019-11-20,111:167,86:105,private_transport,,,,,,,26.0,,,,,,,
42,2019-11-20,111:167,91:116,bus,,,,,,,,,12.0,,,,,
42,2019-11-20,117:153,84:107,bus,,,,,,,,,,,,,,12.0
42,2019-11-20,117:153,152:134,bus,,13.0,,,,,,,,,,,,
42,2019-11-20,121:165,121:165,bus,,,,,,,,,39.0,,,,,
42,2019-11-20,121:165,121:165,private_transport,,,,,,,,,11.0,,,,,
42,2019-11-20,121:165,84:107,bus,,,,,,,,,17.0,,,,,
42,2019-11-20,121:165,84:107,private_transport,,,,,,,,,13.0,,,,,
42,2019-11-20,121:165,126:160,private_transport,,11.0,,,,,,,,,,,,
42,2019-11-20,121:165,85:106,private_transport,,,,38.0,,,,,,,,,,
42,2019-11-20,121:165,87:104,bus,,,,,,,,,10.0,,,,,
42,2019-11-20,121:165,88:103,private_transport,,,,34.0,,,,,,,,,,
42,2019-11-20,121:165,159:127,bus,,,,,37.0,,,,,,,,,
42,2019-11-20,121:165,159:127,private_transport,,,,,20.0,,,,,,,,,
42,2019-11-20,121:165,86:105,bus,,,,,,,,,18.0,,,,,
42,2019-11-20,121:165,86:105,private_transport,,,,,,,,,15.0,,,,,
42,2019-11-20,121:165,91:116,bus,,,,,,,,12.0,17.0,,,,,
42,2019-11-20,121:165,91:116,private_transport,,,,,,,,12.0,,,,,,
42,2019-11-20,121:165,109:169,private_transport,,,,,,,,,10.0,,,,,
42,2019-11-20,121:165,110:168,bus,,,,,,,,,34.0,,,,,
