ProjectID,Date,Origin,Destination,Modo,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
41,2019-11-12,100:206,100:206,bus,,,,,,,,,,,,,,,13.0,,,,,,
41,2019-11-12,100:206,100:206,private_transport,,,,,,,,,,,,,,,20.0,,,,,,
41,2019-11-12,100:206,128:142,bus,,,,,,,,,,,,,,,11.0,,,,,,
41,2019-11-12,100:206,128:142,private_transport,,,,,,,,,,,,,,,13.0,,,,,,
41,2019-11-12,100:206,143:143,bus,,,,,,,,,,,,,,,11.0,,,,,,
41,2019-11-12,100:206,143:143,private_transport,,,,,,,,,,,,,,,16.0,,,,,,
41,2019-11-12,100:206,144:126,bus,,,,,,,,,,,,,,,,,13.0,,,,
41,2019-11-12,100:206,150:120,bus,,,,,,,,,,15.0,,,,,,,,,,,
41,2019-11-12,100:206,159:127,bus,,,,,,,,,,,,,,,,,19.0,,,,
41,2019-11-12,100:206,159:127,private_transport,,,,,,,,,,,,,,,,,15.0,,,,
41,2019-11-12,100:206,45:319,bus,,,,,,,,,,,,,12.0,,,,,,,,
41,2019-11-12,100:206,83:108,bus,,,,,,,,,,,,,,,,13.0,,,,,
41,2019-11-12,100:206,83:108,private_transport,,,,,,,,,,,,,,,11.0,,,,,,
41,2019-11-12,100:206,91:116,bus,,,,,,,,,,,,,,14.0,,,,,,,
41,2019-11-12,100:206,92:115,bus,,,,,,,,,,,,,,10.0,,,,,,,
41,2019-11-12,100:206,98:217,bus,,,,,,,,,,,,,,,,,,17.0,,,
41,2019-11-12,100:206,98:217,private_transport,,,,,,,,,,,,,,,,,,12.0,,,
41,2019-11-12,101:205,128:142,private_transport,,,,,,,,,,,,,,,,11.0,,,,,
41,2019-11-12,101:205,143:143,bus,,,,,,,,,,,,,,,,12.0,,,,,
41,2019-11-12,101:205,159:127,private_transport,,,,,,12.0,,,,,,,,,,,,,,,
41,2019-11-12,101:205,83:108,bus,,,,,,,,,,,,,,,,10.0,,,,,
41,2019-11-12,101:205,83:108,private_transport,,,,,,12.0,,,,,,,,,,,,,,,
41,2019-11-12,101:205,103:203,private_transport,,,,,,,,,,,,,,18.0,,,,,,,
41,2019-11-12,101:205,104:202,bus,,,,,,,,,,,,,,,,,,10.0,,,
41,2019-11-12,101:205,104:202,private_transport,,,,,,,,,,,,,,,,,,10.0,,,
41,2019-11-12,101:205,120:166,bus,,,,,,,,,,,,,,,,,,,,,10.0
41,2019-11-12,101:205,131:139,private_transport,,,,,,,,,,,,,,14.0,,,,,,,
41,2019-11-12,101:205,134:136,bus,,,,,12.0,,,,,,,,,,,,,,,,
41,2019-11-12,101:205,154:132,bus,,,,,,11.0,,,,,,,,,,,,,,,
41,2019-11-12,101:205,61:413,private_transport,,,,,,,12.0,,,,,,,,,,,,,,
41,2019-11-12,101:205,62:307,private_transport,,,,,,,,,,,,31.0,,,,,,,,,
41,2019-11-12,101:205,76:314,private_transport,,,,,,,,,,25.0,,,,,,,,,,,
41,2019-11-12,102:204,116:154,bus,,,,,,,,,,,,10.0,,,,,,,,,
