ProjectID,Date,Origin,Destination,Modo,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2100_2159
41,2020-03-11,100:206,107:207,private_transport,10.0,,,,,,,,,,,,,,,
41,2020-03-11,100:206,126:160,bus,,,22.0,,,,,,,,,,,,,
41,2020-03-11,100:206,83:108,bus,12.0,,,,,,,,,,,,,,,
41,2020-03-11,101:205,83:108,bus,,,,,16.0,,,,,,,,,,,
41,2020-03-11,101:205,101:205,bus,,,,,,,,,,,10.0,,,,,
41,2020-03-11,101:205,128:142,bus,,,,,,,,,,,,,11.0,,,
41,2020-03-11,101:205,128:142,private_transport,,,,,,,,,,,,,13.0,,,
41,2020-03-11,101:205,146:124,bus,,,,,,,,,,,19.0,,,,,
41,2020-03-11,101:205,97:102,bus,,,,,,,,,,,,17.0,,,,
41,2020-03-11,101:205,98:217,bus,,,,,,,,,,,,,11.0,,,
41,2020-03-11,101:205,98:217,private_transport,,,,,,,,,,,,,14.0,,,
41,2020-03-11,102:204,98:217,private_transport,,,,,,,,,,,,,10.0,,,
41,2020-03-11,102:204,100:206,private_transport,,,,,,,,,,,,,,,,10.0
41,2020-03-11,102:204,108:170,bus,,,,10.0,,,,,,,,,,,,
41,2020-03-11,102:204,61:413,bus,,,,,,,,,13.0,,,,,,,
41,2020-03-11,102:204,96:111,bus,,,,10.0,,,,,,,,,,,,
41,2020-03-11,102:204,96:111,private_transport,,,,10.0,,,,,,,,,,,,
41,2020-03-11,103:203,97:102,bus,,,,,,,,,,,,10.0,,,,
41,2020-03-11,103:203,103:203,bus,,,,,33.0,,,,,,,,,,,
41,2020-03-11,103:203,122:164,bus,,,,,,,,,,,,17.0,,,,
41,2020-03-11,103:203,131:139,bus,,,,,16.0,,,,,,,,,,,
41,2020-03-11,103:203,58:303,bus,,,,,15.0,,,,,,,,,,,
41,2020-03-11,107:207,107:207,bus,11.0,,,,,,,,,,,,,,,
41,2020-03-11,107:207,126:160,bus,,,22.0,,,,,,,,,,,,,
41,2020-03-11,107:207,160:110,bus,,,10.0,,,,,,,,,,,,,
