ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
41,2020-03-03,100:206,100:206,bus,,,,,,,,,,13.0,,,,,,12.0,,14.0,,,
41,2020-03-03,100:206,100:206,private_transport,,,,,,,,,,,,,,,,,,10.0,,,
41,2020-03-03,100:206,128:142,bus,,,,,,,13.0,,,,,,10.0,,,,,11.0,,,
41,2020-03-03,100:206,128:142,private_transport,,,,,,,10.0,,,,,,,,,,,10.0,,,
41,2020-03-03,100:206,143:143,bus,,,,,,,,,,11.0,,,,,,12.0,,,,,
41,2020-03-03,100:206,148:122,bus,,,,,,,,,,,,22.0,,,,,,,,,
41,2020-03-03,100:206,157:129,bus,,,,,,,,,,,,11.0,,,,,,,,,
41,2020-03-03,100:206,50:412,private_transport,,,,,,,,,,,,,,43.0,,,,,,,
41,2020-03-03,100:206,76:314,bus,,,,,,,,,,10.0,,,,,,,,11.0,,,
41,2020-03-03,100:206,83:108,bus,,,,,,,12.0,,,,,,,,,13.0,,13.0,,,
41,2020-03-03,100:206,83:108,private_transport,,,,,,,,,,,,,,,,,,11.0,,,
41,2020-03-03,100:206,98:217,bus,,,,,,,16.0,,,,,,,,,,,,,,
41,2020-03-03,100:206,98:217,private_transport,,,,,,,11.0,,,,,,,,,,,,,,
41,2020-03-03,101:205,76:314,private_transport,,,,,36.0,,,,,,,,,,,,,,,,
41,2020-03-03,101:205,101:205,bus,,,,,,,,,,,,,11.0,,,10.0,,,,,
41,2020-03-03,101:205,110:168,bus,,,,,,,,,,,,,,,,,14.0,,,,
41,2020-03-03,101:205,110:168,private_transport,,,,,,,,,,,,,,,,,13.0,,,,
41,2020-03-03,101:205,111:167,bus,,,,21.0,,,,,,,,,,,,,,,,,
41,2020-03-03,101:205,111:167,private_transport,,,,20.0,,,,,,,,,,,,,,,,,
41,2020-03-03,101:205,116:154,bus,,,,,,12.0,,,,,,,,,,,,,,,
41,2020-03-03,101:205,116:154,private_transport,,,,,,11.0,,,,,,,,,,,,,,,
41,2020-03-03,101:205,126:160,bus,,,,,10.0,,,,,,,,,,,,,,,,
41,2020-03-03,101:205,126:160,private_transport,,,,,,,,,,20.0,,,,,,,,,,,
41,2020-03-03,101:205,127:159,bus,,,,,,,,,,14.0,,,,,,,,,,,
41,2020-03-03,101:205,127:159,private_transport,,,,,,,,,,13.0,,,,,,,,,,,
41,2020-03-03,101:205,129:141,bus,,,,,,,,,,,,,22.0,,,,,,,,
41,2020-03-03,101:205,129:141,private_transport,,,,,,,,,,,,,,,,13.0,,11.0,,,
41,2020-03-03,101:205,135:135,private_transport,,,,,,,,,,,,,,,,12.0,,,,,
41,2020-03-03,101:205,154:132,bus,,,,,,,,,,,,,,,,,,17.0,,,
41,2020-03-03,101:205,57:310,private_transport,,,,,,,,,,,,,,,,,,,,,31.0
41,2020-03-03,101:205,86:105,bus,,,,,,,,,,,,,,,,11.0,,,,,
41,2020-03-03,102:204,127:159,bus,,,,,,,,,,11.0,,,,,,,,,,,
41,2020-03-03,102:204,135:135,bus,,,,,,13.0,,,,,,,,,,10.0,,,,,
41,2020-03-03,102:204,99:101,bus,,,,,,,,,,,,11.0,,,,,,,,,
41,2020-03-03,103:203,83:108,bus,,,,,,,,,,,,,25.0,,,,,,,,
41,2020-03-03,103:203,83:108,private_transport,,,,,,,,,,,,,21.0,,,,,,,,
41,2020-03-03,103:203,158:128,bus,,,,,,27.0,,,,,,,,,,,,,,,
41,2020-03-03,103:203,94:113,bus,,,,,,,,,,,,,10.0,,,,,,,,
41,2020-03-03,103:203,97:102,bus,,,,,,11.0,,,,,,,,,,,,,,,
41,2020-03-03,104:202,110:168,bus,,,,,,30.0,,,,,,,,,,,,,,,
41,2020-03-03,106:208,154:132,bus,,,,,,,,,,,,,14.0,,,,,,,,
41,2020-03-03,106:208,130:140,bus,,,,,,,,,,,,,11.0,,,,,,,,
41,2020-03-03,107:207,143:143,bus,,,,,,,,,,,,,,,,15.0,,,,,
41,2020-03-03,107:207,143:143,private_transport,,,,,,,,,,,,,,,,10.0,,,,,
41,2020-03-03,107:207,148:122,bus,,,,,,,,,,,,16.0,,,,,,,,,
41,2020-03-03,107:207,148:122,private_transport,,,,,,,,,,,,10.0,,,,,,,,,
41,2020-03-03,107:207,157:129,bus,,,,,,,,,,,,12.0,,,,,,,,,
41,2020-03-03,107:207,50:412,private_transport,,,,,,,,,,,,,,42.0,,,,,,,
41,2020-03-03,107:207,83:108,private_transport,,,,,,,,,,,,,11.0,,,,,,,,
41,2020-03-03,107:207,154:132,bus,,,,,,,,,,,,,28.0,,,,,,,,
41,2020-03-03,107:207,154:132,private_transport,,,,,,,,,,,,,11.0,,,,,,,,
41,2020-03-03,107:207,130:140,private_transport,,,,,,,,,,,,,12.0,,,,,,,,
41,2020-03-03,107:207,107:207,bus,,,,,,,,,,11.0,,,,,,,,,,,
41,2020-03-03,107:207,139:147,bus,,,,,,,,,,,,12.0,,,,,,,,,
41,2020-03-03,107:207,140:146,bus,,,,,,,,,,,,11.0,,,,,,,,,
41,2020-03-03,108:170,100:206,bus,,,,,,,,,,,,,,,,,,,21.0,,
41,2020-03-03,108:170,100:206,private_transport,,,,,,,,,,,,,,,,,,,14.0,,
41,2020-03-03,108:170,143:143,bus,,,,,,,,,,,,,,,,,,,18.0,,
41,2020-03-03,108:170,143:143,private_transport,,,,,,,,,,,,,,,,,,,12.0,,
41,2020-03-03,108:170,83:108,bus,,,,,,,,,,,,,,,60.0,,,,,,
41,2020-03-03,108:170,83:108,private_transport,,,,,,,,,,,,,,,16.0,,,,,,
41,2020-03-03,108:170,116:154,private_transport,,,,,,,,,,,,,,,,10.0,,,,,
41,2020-03-03,108:170,135:135,private_transport,,,,,,,,,,,,,,,,19.0,,,,,
41,2020-03-03,108:170,86:105,private_transport,,,,,,,,,,,,10.0,,,,,,,,,
41,2020-03-03,108:170,139:147,bus,,,,,,,,,,,,,,,,10.0,,,,,
41,2020-03-03,108:170,108:170,bus,,,,,,,10.0,,,,,,,,,,,,,,
41,2020-03-03,108:170,118:152,bus,,,,,,,,,,,,,,,,,,,,,10.0
41,2020-03-03,108:170,144:126,private_transport,,,,,,,,,,,,11.0,,,,,,,,,
41,2020-03-03,108:170,160:110,bus,,,,,,,19.0,,,,,,,,,,,,,,
41,2020-03-03,108:170,84:107,bus,,,,,,,,,,,,,12.0,,,,,,,,
41,2020-03-03,108:170,87:104,bus,,,,,,,,,,,,25.0,,,,,,,,,
41,2020-03-03,108:170,87:104,private_transport,,,,,,,,,,,,21.0,,,,,,,,,
41,2020-03-03,108:170,91:116,private_transport,,,,,,,,,,,,18.0,,,,,,,,,
41,2020-03-03,108:170,96:111,bus,,,,,,,16.0,,,,,,,,,,,,,,
41,2020-03-03,109:169,128:142,bus,,,,,,,10.0,,,,,13.0,,,,,,,,,
41,2020-03-03,109:169,143:143,bus,,,,,,,,,,,,,,14.0,,,,,,,
41,2020-03-03,109:169,157:129,bus,,,,,,16.0,,,,,,,,,,,,,,,
41,2020-03-03,109:169,157:129,private_transport,,,,,,11.0,,,,,,,,,,,,,,,
41,2020-03-03,109:169,76:314,bus,,,,,12.0,,,,,,,,,,,,,,,,
41,2020-03-03,109:169,76:314,private_transport,,,,,24.0,,,,,,,,,,,,,,,,
41,2020-03-03,109:169,83:108,bus,,,,,,,23.0,,,22.0,11.0,,16.0,,,,,,,,
41,2020-03-03,109:169,83:108,private_transport,,,,,,,,15.0,,14.0,,,,,,,,,,,
41,2020-03-03,109:169,98:217,bus,,,,,,,10.0,,,,,10.0,,,,,,,,,
41,2020-03-03,109:169,126:160,bus,,,,,10.0,21.0,12.0,,,,,,,,,,,,,,
41,2020-03-03,109:169,126:160,private_transport,,,,,,,11.0,,,,,,,,,,,,,,
41,2020-03-03,109:169,135:135,bus,20.0,,,,,,,,,,,,,,,,,,,,
41,2020-03-03,109:169,94:113,private_transport,,,,,,,,,,,,,,,,,,,,11.0,
41,2020-03-03,109:169,97:102,bus,,,,,,20.0,,,,,,,,,,,,,,25.0,
41,2020-03-03,109:169,97:102,private_transport,24.0,,,,,17.0,,,,,,,,,,,,,,14.0,
41,2020-03-03,109:169,107:207,bus,,,,,,,,,,,,,,28.0,,,,,,,
41,2020-03-03,109:169,107:207,private_transport,,,,,,,,,,,,,,18.0,,,,,,,
41,2020-03-03,109:169,91:116,bus,,,,,,13.0,,,,,,10.0,,,,,,,,,
41,2020-03-03,109:169,103:203,private_transport,,,,,,15.0,,,,,,,,,,,,,,,
41,2020-03-03,109:169,109:169,bus,,,,,,,10.0,,,11.0,,,,,,,,,,,
41,2020-03-03,109:169,109:169,private_transport,,,,,,,10.0,,,,,,,,,,,,,,
41,2020-03-03,109:169,112:158,bus,,,,,,,,,,,,,,19.0,,,,,,,
41,2020-03-03,109:169,134:136,private_transport,,,,,,,,,,,,11.0,,,,,,,,,
41,2020-03-03,109:169,156:130,bus,,,,,,19.0,,,,,,,,,,,,,,,
41,2020-03-03,109:169,25:525,private_transport,,,,,,,,27.0,,,,,,,,,,,,,
41,2020-03-03,109:169,32:532,private_transport,,,,,,,,13.0,,,,,,,,,,,,,
41,2020-03-03,109:169,45:319,private_transport,,,,,,,,,,,,,,,15.0,,,,,,
41,2020-03-03,109:169,64:306,private_transport,,,,,,,,,26.0,,,,,,,,,,,,
41,2020-03-03,109:169,90:117,bus,,,,,,,15.0,,,,,,,,,,,,,,
41,2020-03-03,110:168,148:122,bus,,,,,,,,,,,,,,,,,,,63.0,,
41,2020-03-03,110:168,148:122,private_transport,,,,,,,,,,,,,,,,,,,31.0,,
41,2020-03-03,110:168,110:168,bus,,,,,,32.0,,,,,,,,,,,,,,,
41,2020-03-03,110:168,110:168,private_transport,,,,,,11.0,,,,,,,,,,,,,,,
41,2020-03-03,110:168,111:167,bus,,,,,,,,,,,,,,,,,,,21.0,,
41,2020-03-03,110:168,111:167,private_transport,,,,,,,,,,,,,,,,,,,10.0,,
41,2020-03-03,110:168,104:202,bus,,,,,,26.0,,,,,,,,,,,,,,,
41,2020-03-03,110:168,147:123,bus,,,,,,16.0,,,,,,,,,,,,,,,
41,2020-03-03,111:167,110:168,bus,,,,,,12.0,,,,,,,,,,,,,,,
41,2020-03-03,111:167,110:168,private_transport,,,,,,11.0,,,,,,,,,,,,,,,
41,2020-03-03,111:167,111:167,bus,,,,,,,,,,,,,,,,88.0,,,,,
41,2020-03-03,111:167,111:167,private_transport,,,,,,,,,,,,,,,,49.0,,,,,
41,2020-03-03,111:167,158:128,bus,,,,,,,,,,,,,,,,,,19.0,,,
41,2020-03-03,111:167,158:128,private_transport,,,,,,,,,,,,,,,,,,14.0,,,
41,2020-03-03,111:167,97:102,bus,,,,,,,,,,,,,,,,,,30.0,,,
41,2020-03-03,111:167,87:104,bus,,,,12.0,,,,,,,,,,,,,,,,,
41,2020-03-03,111:167,122:164,bus,,,,,,,,,,,,,,,,,,15.0,,,
41,2020-03-03,111:167,150:120,bus,,,,,,,,,,,,,,,,,,54.0,,,
41,2020-03-03,111:167,150:120,private_transport,,,,,,,,,,,,,,,,,,37.0,,,
41,2020-03-03,112:158,83:108,bus,,,,,,,,,,,,,12.0,,,,,,,,
41,2020-03-03,112:158,154:132,bus,,,,,,,,,,,,,19.0,,,,,,,,
