ProjectID,Date,Origin,Destination,Modo,0600_0659,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2200_2259,2300_2359
42,2020-03-12,102:204,148:122,private_transport,,,,,,,,,,,13.0,,,,
42,2020-03-12,109:169,45:319,bus,,,,,,,,13.0,,,,,,,
42,2020-03-12,109:169,45:319,private_transport,,,,,,,,12.0,,,,,,,
42,2020-03-12,109:169,83:108,bus,,,,,,16.0,,,,,,,,,
42,2020-03-12,109:169,83:108,private_transport,,,,,,13.0,,,,,,,,,
42,2020-03-12,110:168,108:170,bus,,,,,,,,,14.0,,,,,,
42,2020-03-12,110:168,108:170,private_transport,,,,,,,,,13.0,,,,,,
42,2020-03-12,110:168,96:111,bus,,,,,,,,,17.0,,,,,,
42,2020-03-12,110:168,96:111,private_transport,,,,,,,,,15.0,,,,,,
42,2020-03-12,111:167,140:146,private_transport,,,,,,,,,,13.0,,,,,
42,2020-03-12,111:167,141:145,bus,,,,,,,,,,14.0,,,,,
42,2020-03-12,113:157,95:112,private_transport,,,,,,,,,,11.0,,,,,
42,2020-03-12,120:166,148:122,private_transport,,,,,,,,,,,22.0,,,,
42,2020-03-12,120:166,83:108,bus,,,,,,,12.0,,,,,,,,
42,2020-03-12,120:166,83:108,private_transport,,,,,,,10.0,,,,,,,,
42,2020-03-12,120:166,108:170,bus,,,28.0,,,,,,,,,,,,
42,2020-03-12,120:166,108:170,private_transport,,,11.0,,,,,,,,,,,,
42,2020-03-12,120:166,96:111,bus,,,,,,,,,,12.0,,,,,
42,2020-03-12,120:166,141:145,bus,,,,,,,,,,,,,,,14.0
42,2020-03-12,120:166,141:145,private_transport,,,,,,,,,,,,,,,15.0
42,2020-03-12,120:166,104:202,private_transport,,,,,,,,30.0,,,,,,,
42,2020-03-12,120:166,106:208,private_transport,,,,,,,,10.0,,,,,,,
42,2020-03-12,120:166,109:169,bus,,,,,,,11.0,,,,,,,,
