ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
41,2020-03-04,100:206,100:206,bus,,,,,,,,,,,18.0,,,,,,,,,,,,
41,2020-03-04,100:206,100:206,private_transport,,,,,,,,,,,13.0,,,,,,,,,,,,
41,2020-03-04,100:206,152:134,bus,,,,,,,,10.0,,,,,,,,,,,,,,,
41,2020-03-04,100:206,152:134,private_transport,,,,,,,,10.0,,,,,,,,,,,,,,,
41,2020-03-04,100:206,154:132,bus,,,,,,,,20.0,,,,,,,,,,,,,,,
41,2020-03-04,100:206,154:132,private_transport,,,,,,,,21.0,,,,,,,,,,,,,,,
41,2020-03-04,100:206,37:537,private_transport,,,,,,46.0,,,,,,,,,,,,,,,,,
41,2020-03-04,100:206,45:319,private_transport,,,,,,,,,,,,,34.0,,,,,,,,,,
41,2020-03-04,100:206,62:307,private_transport,,,,,,,,,,,37.0,,,,,,,,,,,,
41,2020-03-04,100:206,89:118,bus,,,,,,,,14.0,,,,,,,,,,,,,,,
41,2020-03-04,100:206,89:118,private_transport,,,,,,,,14.0,,,,,,,,,,,,,,,
41,2020-03-04,101:205,152:134,bus,,,,,,,,10.0,,,,,,,11.0,,,,,,,,
41,2020-03-04,101:205,152:134,private_transport,,,,,,,,,,,,,,,10.0,,,,,,,,
41,2020-03-04,101:205,154:132,bus,,,,,,,,11.0,10.0,,,,,,,,15.0,,,,,,
41,2020-03-04,101:205,154:132,private_transport,,,,,,,,11.0,,,,,,,,,15.0,,,,,,
41,2020-03-04,101:205,37:537,private_transport,,,,,,13.0,,,,,,,,,,,,,,,,,
41,2020-03-04,101:205,45:319,private_transport,,,,,,32.0,,,,,,,,,,,,,,,,,
41,2020-03-04,101:205,89:118,bus,,,,,,,,,,,,,,,,,12.0,10.0,,,,,
41,2020-03-04,101:205,89:118,private_transport,,,,,,,,,,,,,,,,,,11.0,,,,,
41,2020-03-04,101:205,126:160,bus,,,,,,,13.0,,,,,,,,,,,,,,,,
41,2020-03-04,101:205,127:159,bus,,,,,,,12.0,,,,,,,,,,,,,,,,
41,2020-03-04,101:205,127:159,private_transport,,,,,,,10.0,,,,,,,,,,,,,,,,
41,2020-03-04,101:205,129:141,bus,,,,,,,,,,,,,,,,,,12.0,16.0,,,,
41,2020-03-04,101:205,129:141,private_transport,,,,,,,,,,,,,,,,,,15.0,,,,,
41,2020-03-04,101:205,146:124,bus,,,,,,,,,,,,,,,,,,25.0,,,,,
41,2020-03-04,101:205,146:124,private_transport,,,,,,,,,,,,,,,,,,18.0,,,,,
41,2020-03-04,101:205,151:119,bus,,,,,,,,,,,,,,,,,,10.0,,,,,
41,2020-03-04,101:205,76:314,bus,,,,,,,,,24.0,,,,,,,,,,,,,,
41,2020-03-04,101:205,76:314,private_transport,,,,,,,,,12.0,,,,,,,,,,,,,,
41,2020-03-04,101:205,96:111,private_transport,,,,,,,,,,,,,10.0,,,,,,,,,,
41,2020-03-04,102:204,146:124,bus,,,,,,,,,,,,,,,,,,12.0,,,,,
41,2020-03-04,103:203,109:169,bus,,,,,,,,,11.0,,,,,,,,,,,,,,
41,2020-03-04,103:203,48:301,bus,,,,,,,,,,,,,10.0,,,,,,,,,,
41,2020-03-04,103:203,48:301,private_transport,,,,,,,,,,,,,27.0,,,,,,,,,,
41,2020-03-04,103:203,77:312,private_transport,,,,,,,,,,,,,26.0,,,,,,,,,,
41,2020-03-04,103:203,83:108,bus,,,,,,,,,,,49.0,,,,,,,,,,,,
41,2020-03-04,103:203,83:108,private_transport,,,,,,,,,,,36.0,,,,,,,,,,,,
41,2020-03-04,107:207,100:206,bus,,,,,,,,,,,15.0,,,,,,,,,,,,
41,2020-03-04,107:207,100:206,private_transport,,,,,,,,,,,11.0,,,,,,,,,,,,
41,2020-03-04,107:207,154:132,bus,,,,,,,,12.0,,,,,,,,,,,,,,,
41,2020-03-04,107:207,37:537,private_transport,,,,,,36.0,,,,,,,,,,,,,,,,,
41,2020-03-04,107:207,45:319,bus,,,,,,,,,,,,,16.0,,,,,,,,,,
41,2020-03-04,107:207,45:319,private_transport,,,,,,,,,,,,,21.0,,,,,,,,,,
41,2020-03-04,107:207,62:307,private_transport,,,,,,,,,,,23.0,,,,,,,,,,,,
41,2020-03-04,107:207,89:118,private_transport,,,,,,,,10.0,,,,,,,,,,,,,,,
41,2020-03-04,107:207,129:141,private_transport,,,,,,,,10.0,,,,,,,,,,,,,,,
41,2020-03-04,107:207,77:312,private_transport,,,,,,,,,,,,,11.0,,,,,,,,,,
41,2020-03-04,107:207,107:207,bus,,,,,,,,,,,14.0,,,,,,,,,,,,
41,2020-03-04,107:207,107:207,private_transport,,,,,,,,,,,11.0,,,,,,,,,,,,
41,2020-03-04,108:170,152:134,bus,,,,,,,,27.0,,,,,,,,,15.0,,,,,,
41,2020-03-04,108:170,152:134,private_transport,,,,,,,,15.0,14.0,,,,,,,,13.0,,,,,,
41,2020-03-04,108:170,154:132,bus,,,,,,,,14.0,,,,,,,,,,,,,,,
41,2020-03-04,108:170,154:132,private_transport,,,,,,,,,,,,,,,,,11.0,,,,,,
41,2020-03-04,108:170,127:159,bus,,,,,,,,12.0,,,,,,,,,17.0,,,,,,
41,2020-03-04,108:170,76:314,bus,,,,,,,,,,,,15.0,,,,,,,,,,,
41,2020-03-04,108:170,76:314,private_transport,,,,,,,,,11.0,,,22.0,,,18.0,,,,,,,,
41,2020-03-04,108:170,96:111,bus,,,,,,,,,,,,,,,,,14.0,,,,,,
41,2020-03-04,108:170,96:111,private_transport,,,,,,,,,,,,,,,,,15.0,,,,,,
41,2020-03-04,108:170,143:143,bus,,,,,,,12.0,,,,,,,,,,,,,,,,
41,2020-03-04,108:170,153:133,private_transport,,,,,,,,15.0,,,,,,,,,10.0,,,,,,
41,2020-03-04,108:170,160:110,bus,,,,,,,,,,,,,,,,,14.0,,,,,,
41,2020-03-04,108:170,47:320,private_transport,,,,,,,,,,,,,,,46.0,,,,,,,,
41,2020-03-04,108:170,84:107,bus,,,,,,,,,,,,,,,,,18.0,,,,,,
41,2020-03-04,108:170,85:106,bus,,,,,,,,,,,,,,,,,12.0,,,,,,
41,2020-03-04,109:169,152:134,bus,,,,,,,11.0,,,,,,,,,,,,,,,,
