ProjectID,Date,Origin,Destination,Modo,0000_0059,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159
41,2019-11-20,100:206,100:206,bus,,,,,,,,,,,,,,,10.0,,,,
41,2019-11-20,100:206,110:168,bus,,,,,,,,,,30.0,,,,,,,,,
41,2019-11-20,100:206,151:119,bus,,,,,17.0,,,,,,,,,,,,,,
41,2019-11-20,100:206,159:127,bus,,,,,,,,,26.0,,,,,,,,,,
41,2019-11-20,100:206,98:217,bus,,,,,,,,14.0,,,,,,,,,,,
41,2019-11-20,101:205,159:127,bus,,23.0,,20.0,,,,,,,,,,,,,,,
41,2019-11-20,101:205,159:127,private_transport,,14.0,,,,,,,,,,,,,,,,,
41,2019-11-20,101:205,98:217,bus,,,,,,,10.0,,,,,,,,,,,,
41,2019-11-20,101:205,108:170,private_transport,,,10.0,,,,,,,,,,,,,,,,
41,2019-11-20,101:205,109:169,bus,,,,,,,,,,,,,,10.0,,,,,
41,2019-11-20,101:205,129:141,bus,,,,,,,,,,,,,,,17.0,,,,
41,2019-11-20,101:205,137:149,bus,,,,11.0,,,,,,,,,,,,,,,
41,2019-11-20,101:205,144:126,bus,,13.0,,,,,,,,,,,,,,,,,
41,2019-11-20,101:205,144:126,private_transport,,,,10.0,,,,,,,,,,,,,,,
41,2019-11-20,101:205,146:124,bus,,,,,,,,,,,,,14.0,,,,,,
41,2019-11-20,101:205,160:110,bus,,,10.0,,10.0,,,,,,,,,,,,,,
41,2019-11-20,101:205,83:108,bus,,,,,,,,,,,,,,10.0,14.0,,,,
41,2019-11-20,104:202,110:168,bus,,,,,,,13.0,,,,,,,,,,,,
41,2019-11-20,104:202,104:202,bus,,,,,,,,,,,,,,21.0,,,,,
41,2019-11-20,104:202,104:202,private_transport,,,,,,,11.0,,,,,,,12.0,,,,,
41,2019-11-20,104:202,111:167,bus,,,,,,,,,,,,,,26.0,,,,,
41,2019-11-20,104:202,111:167,private_transport,,,,,,,,,,,,,,12.0,,,,,
41,2019-11-20,104:202,95:112,bus,,,,,,,,,,,,,,,,,,,21.0
41,2019-11-20,107:207,110:168,bus,,,,,,,,,,23.0,,,,,,,,,
41,2019-11-20,107:207,151:119,bus,,,,,19.0,,,,,,,,,,,,,,
41,2019-11-20,107:207,159:127,bus,,,,,,,,,22.0,,,,,,,,,,
41,2019-11-20,107:207,109:169,private_transport,,,,,,,,10.0,,,,,,,,,,,
41,2019-11-20,107:207,143:143,bus,,,,,,,,,,,,,,,10.0,,,,
41,2019-11-20,108:170,151:119,bus,,,,,,11.0,13.0,,,,,,,,12.0,,21.0,,
41,2019-11-20,108:170,108:170,bus,,,,,,10.0,12.0,,,10.0,,,,,35.0,,21.0,,
41,2019-11-20,108:170,108:170,private_transport,,,,,,,16.0,,,,,,,,,,,,
41,2019-11-20,108:170,160:110,bus,,,,,,,,,,16.0,,,,,,,,,
41,2019-11-20,108:170,83:108,bus,,,,,,,12.0,,,33.0,,,,,,,,,
41,2019-11-20,108:170,83:108,private_transport,,,,,,,,,,19.0,,,,,,,,,
41,2019-11-20,108:170,101:205,bus,,,,,10.0,,,,,13.0,,,,,,,,,
41,2019-11-20,108:170,122:164,bus,,,,,,,17.0,,,,,,,,,,,,
41,2019-11-20,108:170,126:160,bus,,,,,10.0,,,,,,,,,,,,,,
41,2019-11-20,108:170,149:121,bus,,,,,,,26.0,,,,,,,,,,,,
41,2019-11-20,108:170,152:134,bus,,,,,,12.0,,,,,,,,,17.0,19.0,11.0,,
41,2019-11-20,108:170,152:134,private_transport,,,,,,,,,,,,,,,,14.0,,,
41,2019-11-20,108:170,153:133,bus,,,,,,,,,,,,,,,,17.0,,,
41,2019-11-20,108:170,154:132,bus,,,,,,12.0,13.0,,,,33.0,,,,11.0,12.0,,,
41,2019-11-20,108:170,154:132,private_transport,,,,,,,,,,,14.0,,,,,,11.0,,
41,2019-11-20,108:170,89:118,bus,,,,,,,,,,,19.0,,,,,,,,
41,2019-11-20,108:170,89:118,private_transport,,,,,,,,,,,17.0,,,,,,,,
41,2019-11-20,108:170,94:113,bus,,,,,,,,,,,,,,,,11.0,,,
41,2019-11-20,108:170,96:111,bus,,,14.0,,15.0,,,,,,,,,,11.0,,10.0,,
41,2019-11-20,108:170,96:111,private_transport,,,,,11.0,,,,,13.0,,,,,,,,,
41,2019-11-20,109:169,100:206,bus,,,,,,,,,,,,,,,,10.0,,,
41,2019-11-20,109:169,110:168,bus,,,,,,,,,,10.0,,,,,,,,,
41,2019-11-20,109:169,151:119,bus,,,,,10.0,,,,,,,,,,,,,,
41,2019-11-20,109:169,159:127,bus,,,,,52.0,,,,,,,,,,,,26.0,,
41,2019-11-20,109:169,98:217,bus,,,,,,,10.0,,,,,,,,,,,,
41,2019-11-20,109:169,109:169,bus,,,,,,,13.0,,,,,,,,,,,,
41,2019-11-20,109:169,144:126,bus,,,,,16.0,,,,,,,,,,,,12.0,,
41,2019-11-20,109:169,83:108,bus,,,,25.0,,,,,,,,,,38.0,,13.0,,,
41,2019-11-20,109:169,83:108,private_transport,,,,,,,,,,,,,,28.0,,,,,
41,2019-11-20,109:169,104:202,bus,,,,,,,,,,16.0,,,,,,,,,
41,2019-11-20,109:169,95:112,bus,,,,,,,,,13.0,,,,,,,,,,
41,2019-11-20,109:169,101:205,bus,,,,,,,,,,,,,,10.0,,,,,
41,2019-11-20,109:169,118:152,bus,,,,,,,,,10.0,,,,,,,,,,
41,2019-11-20,109:169,128:142,private_transport,,,,,,,,,,,,,,10.0,,,,,
41,2019-11-20,109:169,130:140,bus,,,,,,,,,,,,,10.0,,,,,,
41,2019-11-20,109:169,130:140,private_transport,,,,,,,,,,,,,,,11.0,10.0,,,
41,2019-11-20,109:169,139:147,bus,,,,,,,,,16.0,,,,,,,,,,
41,2019-11-20,109:169,276:144,bus,,,,,,,,,,,,,,,11.0,,,,
41,2019-11-20,109:169,276:144,private_transport,,,,,,,,,,,,,,,12.0,,,,
41,2019-11-20,109:169,97:102,bus,,,,11.0,,20.0,,,,,,,,,,,,,
41,2019-11-20,109:169,97:102,private_transport,,,,,,13.0,,,,,,,,,,,,,
41,2019-11-20,110:168,110:168,bus,,,,,,,24.0,,,,,,,,,,,,
41,2019-11-20,110:168,110:168,private_transport,,,,,,,11.0,,,,,,,,,,,,
41,2019-11-20,110:168,98:217,private_transport,,,,,,,,,,,,,,,13.0,,,,
41,2019-11-20,110:168,108:170,bus,,,,,,,,,,,,,14.0,,,,,,
41,2019-11-20,110:168,109:169,private_transport,,,,,,,,,,,,,,,16.0,,,,
41,2019-11-20,110:168,129:141,bus,,,,,,,,,13.0,,,,,,,21.0,,,
41,2019-11-20,110:168,146:124,bus,,,,,,,,,,,,,,,35.0,,,,
41,2019-11-20,110:168,146:124,private_transport,,,,,,,,,,,,,,,30.0,,,,
41,2019-11-20,110:168,160:110,bus,,,,,,,,,,,,,18.0,,,,,,
41,2019-11-20,110:168,160:110,private_transport,,,,,,,,,,,,,23.0,,,,,,
41,2019-11-20,110:168,83:108,bus,,,,,,,,,,,,,,,15.0,32.0,,,
41,2019-11-20,110:168,83:108,private_transport,,,,,,,,,,,,,,,21.0,,,,
41,2019-11-20,110:168,104:202,bus,,,,,,,,,,,,,,37.0,,,,,
41,2019-11-20,110:168,104:202,private_transport,,,,,,,18.0,,,,,,,,,,,,
41,2019-11-20,110:168,111:167,bus,,,,,,,,,,,,,,36.0,,,,,
41,2019-11-20,110:168,95:112,bus,,,,,,,,,,,,,,,,,,,20.0
41,2019-11-20,110:168,95:112,private_transport,,,,,,,,,,,,,,,,,,,11.0
41,2019-11-20,110:168,101:205,bus,,,,,,,,,,,,,,,21.0,,,,
41,2019-11-20,110:168,126:160,bus,,,,17.0,,,,,,,,,13.0,,,,,,
41,2019-11-20,110:168,126:160,private_transport,,,,14.0,,,,,,,,,,,,,,,
41,2019-11-20,110:168,152:134,private_transport,,,,11.0,,,,,,,,,19.0,,,,,,
41,2019-11-20,110:168,153:133,private_transport,,,,,,,,,,,,,14.0,,,,,,
41,2019-11-20,110:168,154:132,bus,,,,,,,,,21.0,,,,,,,,,,
41,2019-11-20,110:168,154:132,private_transport,,,,,,,,,28.0,,,,,,,,,,
41,2019-11-20,110:168,89:118,bus,,,,,,,,,23.0,,,,,,,,,,
41,2019-11-20,110:168,89:118,private_transport,,,,,,,,,13.0,,,,,,,,,,
41,2019-11-20,110:168,94:113,bus,,,,,,,,,,,,,,,23.0,,,,
41,2019-11-20,110:168,94:113,private_transport,,,,,,,,,,,,,,,12.0,,,,
41,2019-11-20,110:168,96:111,bus,,,,,,,,,,,,,30.0,,,,,,
41,2019-11-20,110:168,96:111,private_transport,,,,,,,,,,,,,19.0,,,,,,
