ProjectID,Date,Origin,Destination,Modo,0000_0059,0200_0259,0300_0359,0400_0459,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
42,2019-11-13,100:206,83:108,bus,,,,,,,,,,,,,,,43.0,,,,,,
42,2019-11-13,100:206,83:108,private_transport,,,,,,,,,,,,,,,28.0,,,,,,
42,2019-11-13,101:205,83:108,bus,,,,,,,32.0,,,17.0,,,,,14.0,,,,,,
42,2019-11-13,101:205,83:108,private_transport,,,,,,,19.0,,,12.0,,,,,10.0,,,,,,
42,2019-11-13,101:205,128:142,bus,,,,,,,,,,10.0,,,,,,,,,,,
42,2019-11-13,101:205,145:125,bus,,,,,,,,,,,,,,12.0,,,,,,,
42,2019-11-13,101:205,146:124,private_transport,,,,,,,,,,,,,,11.0,,,,,,,
42,2019-11-13,101:205,160:110,bus,,,,,,,,,,,,,,12.0,,,,,,,
42,2019-11-13,101:205,96:111,bus,,,,,,,,,,,,,,14.0,,,,,,,
42,2019-11-13,101:205,98:217,bus,,,,,,,,,,17.0,,,,,,,,,,,
42,2019-11-13,102:204,160:110,bus,,,,,,,,,,,,,,10.0,,,,,,,
42,2019-11-13,102:204,120:166,bus,,,,,,,,,,,,,,,,,,11.0,,,
42,2019-11-13,102:204,120:166,private_transport,,,,,,,,,,,,,,,,,,10.0,,,
42,2019-11-13,102:204,156:130,bus,,,,,,,,,,,,,,11.0,,,,,,,
42,2019-11-13,104:202,116:154,bus,,,,,,,,,13.0,,,,,,,,,,,,
42,2019-11-13,104:202,118:152,bus,,,,,,,,,14.0,,,,,,,,,,,,
42,2019-11-13,107:207,83:108,bus,,,,,,,,,,,,,,,22.0,,,,,,
42,2019-11-13,107:207,83:108,private_transport,,,,,,,,,,,,,,,20.0,,,,,,
42,2019-11-13,108:170,128:142,bus,,,,,17.0,,,,,,,,,,,,,,,,
42,2019-11-13,108:170,128:142,private_transport,,,,,12.0,,,,,,,,,,,,,,,,
42,2019-11-13,108:170,96:111,bus,,,,,,,,,,,,12.0,,,,,,,,,
42,2019-11-13,108:170,98:217,bus,,,,,23.0,,,,,,,,,,,,,,,,
42,2019-11-13,108:170,98:217,private_transport,,,,,15.0,,,,,,,,,,,,,,,,
42,2019-11-13,108:170,116:154,bus,,,,,,,,,,,15.0,,,,,,,,,,
42,2019-11-13,108:170,116:154,private_transport,,,,,,,,,,,10.0,,,,,,,,,,
42,2019-11-13,108:170,101:205,private_transport,,,,,,,,10.0,,,,,,,,,,,,,
42,2019-11-13,108:170,108:170,bus,,,,,,,,,,24.0,,,,,,,,,,,
42,2019-11-13,108:170,108:170,private_transport,,,,,,,,50.0,,,,,,,,,,,,,
42,2019-11-13,108:170,109:169,bus,,,,,21.0,,,,,,,,,,,,,,,,
42,2019-11-13,108:170,109:169,private_transport,,,,,14.0,,,,,,,,,,,,,,,,
42,2019-11-13,108:170,129:141,private_transport,,,,,,,,,,,,,,,,,,,,42.0,
42,2019-11-13,108:170,130:140,bus,,,,,,,,,,,,,,,,,12.0,,,,
42,2019-11-13,108:170,133:137,private_transport,,,,,,,,,,,10.0,,,,,,,,,,
42,2019-11-13,108:170,134:136,private_transport,,,,,,,,,,,14.0,,,,,,,,,,
42,2019-11-13,108:170,135:135,bus,,,,,,,,,,,13.0,,,,,,,,,,
42,2019-11-13,108:170,135:135,private_transport,,,,,,,,,,,23.0,,,,,,,,,,
42,2019-11-13,108:170,151:119,private_transport,,,,,,,,13.0,,,,,,,,,,,,,
42,2019-11-13,108:170,152:134,bus,,,,,,,,,,11.0,,,,,,,,,,,
42,2019-11-13,108:170,152:134,private_transport,,,,,,,,23.0,,12.0,,,,,,,,,,,
42,2019-11-13,108:170,154:132,private_transport,,,,,,,,21.0,,,,,,,,,,,,,
42,2019-11-13,108:170,76:314,bus,,,,,58.0,,,,,,,,,,,,,,,,
42,2019-11-13,108:170,76:314,private_transport,,,,,28.0,,,,,,,,,,,,,,,,
42,2019-11-13,108:170,89:118,private_transport,,,,,,,,,,,,,,,,,,,,18.0,
42,2019-11-13,109:169,83:108,bus,,,,,,,,,,,,,,,20.0,,,,,,
42,2019-11-13,109:169,83:108,private_transport,,,,,,,,,,,,,,,20.0,,,,,,
