ProjectID,Date,Origin,Destination,Modo,0600_0659,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1500_1559,1600_1659,1700_1759,1800_1859,2200_2259
40,2020-03-05,100:206,100:206,private_transport,,,,,,,10.0,,,,,
40,2020-03-05,100:206,143:143,private_transport,,,,,,,12.0,,,,,
40,2020-03-05,100:206,83:108,private_transport,,,,,,,10.0,,,,,
40,2020-03-05,101:205,83:108,bus,,,,,,21.0,,,,,,
40,2020-03-05,101:205,83:108,private_transport,,,,,,42.0,,,,,,
40,2020-03-05,107:207,143:143,private_transport,,,,,,,12.0,,,,,
40,2020-03-05,109:169,143:143,bus,,,,,,,,,,12.0,,
40,2020-03-05,109:169,143:143,private_transport,,,,,,,,,,10.0,,
40,2020-03-05,109:169,83:108,bus,,,,20.0,,,,,,,,
40,2020-03-05,109:169,83:108,private_transport,,,,30.0,,,,,,,,
40,2020-03-05,109:169,101:205,bus,,,,,,,,,,,,10.0
40,2020-03-05,109:169,108:170,private_transport,,,,,,,,,10.0,,,11.0
40,2020-03-05,109:169,109:169,bus,,,,,,,,,,15.0,,
40,2020-03-05,109:169,109:169,private_transport,,,,,,,,,,12.0,,
40,2020-03-05,109:169,118:152,bus,16.0,,,,,,,,,,,
40,2020-03-05,109:169,139:147,private_transport,10.0,,,,,,,,,,,
40,2020-03-05,109:169,98:217,bus,,,,,,,,,,15.0,,
40,2020-03-05,109:169,98:217,private_transport,,,,,,,,,,12.0,,
40,2020-03-05,110:168,109:169,private_transport,,,,,,,,,10.0,,,
40,2020-03-05,110:168,98:217,private_transport,,,,,,,,,11.0,,,
40,2020-03-05,110:168,110:168,private_transport,,,,,,,12.0,,,,,
40,2020-03-05,110:168,111:167,private_transport,,,,,,,10.0,,,,,
40,2020-03-05,110:168,148:122,private_transport,,,,,,,10.0,,,,,
40,2020-03-05,110:168,149:121,private_transport,,,,,,,26.0,,,,,
40,2020-03-05,111:167,100:206,bus,,,,,,,,,,,18.0,
40,2020-03-05,111:167,100:206,private_transport,,,,,,,,,,,29.0,
40,2020-03-05,111:167,143:143,bus,,,,,,,,,,,12.0,
40,2020-03-05,111:167,143:143,private_transport,,,,,,,,,,,21.0,
