ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
40,2019-11-12,100:206,45:319,bus,,,,,,,,,,,,,,,12.0,,,,,,,,
40,2019-11-12,101:205,159:127,bus,,,,,,,,,,,,,,,,11.0,,,,,,,
40,2019-11-12,103:203,103:203,bus,,,,,,,,,30.0,,,,,,,,,,,,,,
40,2019-11-12,103:203,103:203,private_transport,,,,,,,,,19.0,,,,,,,,,,,,,,
40,2019-11-12,103:203,104:202,private_transport,,,,,,,,,13.0,,,,,,,,,,,,,,
40,2019-11-12,103:203,105:201,private_transport,,,,,,,13.0,,,,,,,,,,,,,,,,
40,2019-11-12,103:203,106:208,private_transport,,,,,,,10.0,,,,,,,,,,,,,,,,
40,2019-11-12,103:203,109:169,bus,,,,,,,,,,,15.0,,,,,,,,,,,,
40,2019-11-12,103:203,109:169,private_transport,,,,,,,,,,,11.0,,,,12.0,,,16.0,,,,,
40,2019-11-12,103:203,110:168,bus,,,,,,,,,13.0,,60.0,,,,10.0,,,,,,,,
40,2019-11-12,103:203,110:168,private_transport,,,,,,,,,23.0,,44.0,,,,,,,,,,,,
40,2019-11-12,103:203,111:167,bus,,,,,,,,,13.0,,,,,,,,,,,,,,
40,2019-11-12,103:203,111:167,private_transport,,,,,,,,,15.0,12.0,,,,,,,,,,,,,
40,2019-11-12,103:203,121:165,private_transport,,,,,,,,,,,,,11.0,,,,,,,,,,
40,2019-11-12,103:203,131:139,bus,,,,,,,,,21.0,,,,,,,,,,,,,,
40,2019-11-12,103:203,131:139,private_transport,,,,,,,,,19.0,,,,,,,,,,,,,,
40,2019-11-12,103:203,138:148,bus,,,,,,,,,24.0,,,,,,,,,,,,,,
40,2019-11-12,103:203,138:148,private_transport,,,,,,,,,13.0,,,,,,,,,,,,,,
40,2019-11-12,103:203,144:126,bus,,,,,,,,,,,,,,,,,,,,,10.0,,
40,2019-11-12,103:203,144:126,private_transport,,,,,,,,,,,,,,,,,,,,,10.0,,
40,2019-11-12,103:203,148:122,bus,,,,,,,,,29.0,,,,,,,,,,,,,,
40,2019-11-12,103:203,148:122,private_transport,,,,,,,,,11.0,,,,,,,,,,,,,,
40,2019-11-12,103:203,149:121,bus,,,,,,,,,,,12.0,,,,,,,,,,,,
40,2019-11-12,103:203,150:120,private_transport,,,,,,,,,11.0,,,,,,,,,,,,,,
40,2019-11-12,103:203,157:129,bus,,,,,,,,,,10.0,,,,,,,,,,,,,
40,2019-11-12,103:203,157:129,private_transport,,,,,,,,,,28.0,,,,10.0,,,,,,,,,
40,2019-11-12,103:203,158:128,private_transport,,,,,,,,,,10.0,,,,,,,,,,,,,
40,2019-11-12,103:203,25:525,private_transport,,,,,,,,,,43.0,10.0,,,,,,,,,,,,
40,2019-11-12,103:203,276:144,private_transport,,,,,,,,,,,,,,,23.0,,,,,,,,
40,2019-11-12,103:203,29:529,private_transport,,,,,,,106.0,,,,,,,,,,,,,,,,
40,2019-11-12,103:203,32:532,private_transport,,,,,,,,,,18.0,,,,,,,,,,,,12.0,
40,2019-11-12,103:203,46:420,private_transport,,,,,,12.0,,,,,,,,,,,,,,,,,
40,2019-11-12,103:203,47:320,private_transport,,,,21.0,,,,,,,,,,,,,,,,,,,
40,2019-11-12,103:203,57:310,private_transport,,,,,,,12.0,,,,,,,,,,,,,,,,
40,2019-11-12,103:203,58:303,bus,,,,,,,,,18.0,,,,,,,,,,,,,,
40,2019-11-12,103:203,76:314,private_transport,,,,14.0,,,,,,,,,,,,,,,,,,,
40,2019-11-12,103:203,87:104,bus,,,,,,,,,,,,,,,,,,,,,13.0,,
40,2019-11-12,103:203,87:104,private_transport,,,,,,,,,,,,,,,,,14.0,,,,13.0,,
40,2019-11-12,103:203,91:116,private_transport,,,,,,,,,,,,,,,,,10.0,,,,,,
40,2019-11-12,103:203,98:217,private_transport,,,,,,,,,,,,,,,47.0,,,15.0,,,,,
40,2019-11-12,103:203,9:509,private_transport,,,,,,,15.0,,49.0,,,,,,21.0,106.0,,120.0,,,,44.0,
40,2019-11-12,104:202,45:319,private_transport,,,,,11.0,,,,,,,,,,,,,11.0,,,,,
40,2019-11-12,104:202,103:203,private_transport,,,,,,,,,,10.0,,,,,,,,,,,,,
40,2019-11-12,104:202,104:202,bus,,,,,,,,,,,17.0,,26.0,11.0,,,,12.0,,,,,
40,2019-11-12,104:202,104:202,private_transport,28.0,,,,,,16.0,15.0,13.0,,57.0,12.0,10.0,,12.0,,18.0,22.0,,,,,
40,2019-11-12,104:202,109:169,bus,,,,,,,,,,,16.0,,,,,,,,,,,,
40,2019-11-12,104:202,109:169,private_transport,,,,,,,,,,,11.0,,,,,,,,,,,,
40,2019-11-12,104:202,110:168,bus,,,,,,,,16.0,,,,,,40.0,,,,,,15.0,,,
40,2019-11-12,104:202,110:168,private_transport,29.0,,,,,,27.0,22.0,25.0,,53.0,10.0,,36.0,,,12.0,,,,,,34.0
40,2019-11-12,104:202,111:167,bus,,,,,,,,,,,22.0,,15.0,26.0,,,,,,,,,
40,2019-11-12,104:202,111:167,private_transport,13.0,,,,,,12.0,,,,19.0,,18.0,11.0,,,,16.0,,,,,
40,2019-11-12,104:202,121:165,bus,,,,,,,,,,25.0,,,,,,,,,,,,,
40,2019-11-12,104:202,138:148,bus,,,,,,,,,,,11.0,,,,,,,,,,,,
40,2019-11-12,104:202,149:121,private_transport,,,,,,,,,,,,,,11.0,,,,,,,,,12.0
40,2019-11-12,104:202,157:129,private_transport,,,,,,,,,,,,,,,,,24.0,12.0,,,,,
40,2019-11-12,104:202,158:128,private_transport,,,,,,,,,,,,,,,,,13.0,,,,,,
40,2019-11-12,104:202,25:525,private_transport,,,,,,33.0,,,,67.0,24.0,,,,,,43.0,21.0,,,,,
40,2019-11-12,104:202,58:303,private_transport,,,,,,,,,,,,,,,,38.0,,,,,,,
40,2019-11-12,104:202,91:116,bus,,,,,,,,,12.0,,,,,,,,,,,,,,
40,2019-11-12,104:202,91:116,private_transport,,,,,,,,,10.0,,,,,,,,,,,,,,
40,2019-11-12,104:202,98:217,private_transport,,,,,,,,,,,,,,,,,,10.0,,,,,
40,2019-11-12,104:202,9:509,private_transport,,,68.0,,,11.0,,,,,,,,,,,16.0,15.0,,,,,
40,2019-11-12,104:202,101:205,bus,,,,,,,,,,,,,,,,10.0,,,,,,,
40,2019-11-12,104:202,108:170,private_transport,,,,,,,,,,,,,,,,10.0,,,,,,,
40,2019-11-12,104:202,114:156,private_transport,,,,,,,,,,,,,,,18.0,,,,,,,,
40,2019-11-12,104:202,116:154,bus,,,,,,,,,,,,,,,,12.0,14.0,,,,,,
40,2019-11-12,104:202,128:142,bus,,,,,,,,,,,15.0,,,,,,,,,,,,
40,2019-11-12,104:202,135:135,bus,,,,,,,,,,,,,,,,14.0,28.0,,,,,,
40,2019-11-12,104:202,135:135,private_transport,,,,,,,,,,,,,,,,19.0,,,,,,,
40,2019-11-12,104:202,147:123,bus,,,,,,,,,,,,,,,,,13.0,,,,,,
40,2019-11-12,104:202,147:123,private_transport,14.0,,,,,,12.0,,,,,,,,10.0,,,,,,,,
40,2019-11-12,104:202,155:131,private_transport,,,,,,,,,13.0,,,,,,,,,,,,,,
40,2019-11-12,104:202,156:130,bus,,,,,,,,,23.0,,,,,,,,,,,,,,
40,2019-11-12,104:202,156:130,private_transport,,,,,,,,,21.0,,,,,,,,,,,,,,
40,2019-11-12,104:202,160:110,bus,,,,,,,,,,,,,,,,,18.0,,,,,,
40,2019-11-12,104:202,160:110,private_transport,,,,,,,,,,,,,,,,,16.0,,,,,,
40,2019-11-12,104:202,19:519,private_transport,,,,,,,,,,,,59.0,,,,,,,,,,,
40,2019-11-12,104:202,48:301,private_transport,,,,,,,,,,,,,,,,,,26.0,,,,,
40,2019-11-12,104:202,52:325,private_transport,,,,,10.0,,,,,,,,,,,,,,,,,,
40,2019-11-12,104:202,54:419,private_transport,,,,,,,,,,50.0,,,,,,,,,,,,,
40,2019-11-12,104:202,56:416,bus,,,,,,,,,,,,,,,,,,,15.0,,,,
40,2019-11-12,104:202,59:324,private_transport,,,,,52.0,,,,,,,,,,,,,,,,,,
40,2019-11-12,104:202,61:413,bus,,,,,,,,35.0,,,,,,,,,,,,,,,
40,2019-11-12,104:202,61:413,private_transport,,,,,,,,26.0,,,,,69.0,,,,,,,,,,
