ProjectID,Date,Origin,Destination,Modo,0500_0559,0700_0759,0800_0859,1000_1059,1100_1159,1300_1359,1400_1459,1500_1559,1600_1659,1800_1859,1900_1959,2000_2059
40,2020-03-12,100:206,107:207,private_transport,,,,,,,,,,,,18.0
40,2020-03-12,100:206,121:165,bus,,,,,,,34.0,,,,,
40,2020-03-12,100:206,121:165,private_transport,,,,,,,13.0,,,,,
40,2020-03-12,100:206,83:108,bus,,11.0,,14.0,,,,,,,,
40,2020-03-12,100:206,83:108,private_transport,,14.0,,11.0,,,,,,,,14.0
40,2020-03-12,100:206,84:107,bus,,,,,,,17.0,,,,,
40,2020-03-12,100:206,86:105,bus,,,,,,,16.0,,,,,
40,2020-03-12,100:206,98:217,bus,,13.0,,16.0,,,,,,,,
40,2020-03-12,100:206,98:217,private_transport,,16.0,,13.0,,,,,,,,
40,2020-03-12,101:205,143:143,private_transport,,,10.0,,,,,,,,,
40,2020-03-12,106:208,109:169,bus,,,,,,,,10.0,,,,
40,2020-03-12,107:207,121:165,bus,,,,,,,22.0,,,,,
40,2020-03-12,107:207,83:108,private_transport,,,11.0,,,,,10.0,,,,
40,2020-03-12,107:207,86:105,bus,,,,,,,12.0,,,,,
40,2020-03-12,107:207,143:143,bus,,,,,12.0,,,10.0,,,,
40,2020-03-12,107:207,143:143,private_transport,,,15.0,,11.0,,,,,,,10.0
40,2020-03-12,107:207,100:206,private_transport,,,12.0,,,,,,,,,
40,2020-03-12,107:207,128:142,bus,,10.0,11.0,12.0,,,,,,,,
40,2020-03-12,107:207,128:142,private_transport,,11.0,,10.0,,,,,,,,
40,2020-03-12,109:169,83:108,bus,,,,,,,,,,12.0,,
40,2020-03-12,109:169,98:217,bus,,,,,,,,,,14.0,,
40,2020-03-12,109:169,98:217,private_transport,,,,,,,,,,12.0,,
40,2020-03-12,109:169,143:143,bus,,,,,,,,,,12.0,,
40,2020-03-12,109:169,143:143,private_transport,,,,,,,,,,11.0,13.0,
40,2020-03-12,109:169,100:206,private_transport,,,,,,,,,,,13.0,
40,2020-03-12,109:169,45:319,bus,,,,,,,19.0,,,,,
40,2020-03-12,109:169,45:319,private_transport,,,,,,,14.0,,,,,
40,2020-03-12,109:169,61:413,bus,40.0,,11.0,,,,,,,,,
40,2020-03-12,109:169,61:413,private_transport,17.0,,25.0,,,,,,,,,
40,2020-03-12,111:167,107:207,bus,,,,,,,,,,,11.0,
40,2020-03-12,111:167,100:206,private_transport,,,,,,,,,,,11.0,
40,2020-03-12,111:167,111:167,bus,,,79.0,,,,,,,,,
40,2020-03-12,111:167,111:167,private_transport,,,81.0,,,,,,,,,
40,2020-03-12,111:167,138:148,private_transport,,,14.0,,,,,,,,,
40,2020-03-12,114:156,83:108,bus,,,,,,,,14.0,,,,
40,2020-03-12,114:156,109:169,bus,,,,,,,,15.0,,,,
40,2020-03-12,116:154,140:146,bus,,,,,,14.0,,,,,,
40,2020-03-12,116:154,141:145,bus,,,,,,15.0,,,,,,
40,2020-03-12,117:153,140:146,bus,,,,,,10.0,,,,,,
40,2020-03-12,117:153,141:145,bus,,,,,,13.0,,,,,,
40,2020-03-12,118:152,141:145,bus,,,,,,14.0,,,,,,
40,2020-03-12,126:160,98:217,bus,,,,,,,10.0,,,,,
40,2020-03-12,128:142,107:207,bus,,,,,,,,,,,10.0,
40,2020-03-12,128:142,107:207,private_transport,,,,,,,,,,,12.0,
40,2020-03-12,128:142,121:165,bus,,,,,,,10.0,,,,,
40,2020-03-12,128:142,83:108,bus,,,,11.0,,,,,,,,
40,2020-03-12,128:142,83:108,private_transport,,11.0,,,,,,,,,,
40,2020-03-12,128:142,98:217,bus,,10.0,,,,,,,,,,
40,2020-03-12,128:142,109:169,bus,,,,,,,,,,11.0,,
40,2020-03-12,128:142,109:169,private_transport,,,,,,,,,,10.0,,
40,2020-03-12,128:142,61:413,bus,17.0,,20.0,,,,,,,,,
40,2020-03-12,128:142,61:413,private_transport,,,12.0,,,,,,,,,
40,2020-03-12,129:141,83:108,bus,,,,,,,,,,,,12.0
40,2020-03-12,130:140,130:140,private_transport,,,,,,,,,,,,10.0
40,2020-03-12,137:149,109:169,bus,,,,,,,,10.0,,,,
40,2020-03-12,137:149,109:169,private_transport,,,,,,,,10.0,,,,
40,2020-03-12,137:149,123:163,private_transport,,,,,,,,30.0,,,,
40,2020-03-12,137:149,93:114,bus,,,,,,,,17.0,,,,
40,2020-03-12,137:149,93:114,private_transport,,,,,,,,52.0,,,,
40,2020-03-12,137:149,94:113,private_transport,,,,,,,,46.0,,,,
40,2020-03-12,138:148,111:167,private_transport,,,12.0,,,,,,,,,
40,2020-03-12,139:147,140:146,private_transport,,,,,,10.0,,,,,,
40,2020-03-12,139:147,141:145,private_transport,,,,,,10.0,,,,,,
40,2020-03-12,143:143,107:207,bus,,,12.0,,10.0,,,,,,,
40,2020-03-12,143:143,107:207,private_transport,,,15.0,,,,,,,,,
40,2020-03-12,143:143,121:165,bus,,,,,,,15.0,,,,,
40,2020-03-12,143:143,83:108,private_transport,,,14.0,,,,,,,11.0,,
40,2020-03-12,143:143,86:105,bus,,,,,,,12.0,,,,,
40,2020-03-12,143:143,143:143,bus,,,,,12.0,,,,,11.0,,
40,2020-03-12,143:143,143:143,private_transport,,,12.0,,11.0,,,,,,,16.0
40,2020-03-12,143:143,109:169,private_transport,,,,12.0,,,,,,,,
40,2020-03-12,143:143,100:206,bus,,,13.0,,,,,,,,,
40,2020-03-12,143:143,128:142,bus,,,,,,,,,,10.0,,
40,2020-03-12,143:143,128:142,private_transport,,,,,,,,,,,10.0,10.0
40,2020-03-12,143:143,61:413,bus,25.0,,,,,,,,,,,
40,2020-03-12,143:143,61:413,private_transport,11.0,,,,,,,,,,,
40,2020-03-12,144:126,83:108,bus,,,,,,,,13.0,,,,
40,2020-03-12,144:126,100:206,bus,,,,,,,,17.0,,,,
40,2020-03-12,144:126,93:114,private_transport,,,,,,,,17.0,,,,
40,2020-03-12,144:126,101:205,bus,,,,,,,,10.0,,,,
40,2020-03-12,147:123,98:217,bus,,,,,,,,15.0,,,,
40,2020-03-12,147:123,143:143,private_transport,,,,,,,,10.0,,,,
40,2020-03-12,148:122,107:207,private_transport,,,,,,,,,,,10.0,
40,2020-03-12,148:122,83:108,private_transport,,,,,,,,,,,10.0,
40,2020-03-12,148:122,128:142,bus,,,,,,,,,,,10.0,
40,2020-03-12,149:121,107:207,private_transport,,,,,,,,,,,18.0,
