ProjectID,Date,Origin,Destination,Modo,0600_0659,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1400_1459,1500_1559,1800_1859,2200_2259
40,2020-03-04,101:205,101:205,bus,,,,,,,,16.0,,
40,2020-03-04,101:205,101:205,private_transport,,,,,,,,10.0,,
40,2020-03-04,101:205,123:163,bus,,,,,,12.0,,,,
40,2020-03-04,101:205,146:124,bus,,,,,,,,33.0,12.0,
40,2020-03-04,101:205,146:124,private_transport,,,,,,,,16.0,,
40,2020-03-04,101:205,151:119,bus,,,,,,,,11.0,,
40,2020-03-04,101:205,151:119,private_transport,,,,,,,,10.0,,
40,2020-03-04,101:205,155:131,bus,,11.0,,,,,,,,
40,2020-03-04,101:205,32:532,private_transport,,,,,,43.0,12.0,,,
40,2020-03-04,101:205,76:314,bus,,,,,,,,,,37.0
40,2020-03-04,101:205,93:114,bus,,,,,,15.0,,,,
40,2020-03-04,101:205,9:509,private_transport,,,,,,,49.0,,,
40,2020-03-04,102:204,146:124,bus,,,,,,,,18.0,12.0,
40,2020-03-04,102:204,146:124,private_transport,,,,,,,,,10.0,
40,2020-03-04,102:204,32:532,private_transport,,,,,,10.0,10.0,,,
40,2020-03-04,102:204,76:314,bus,,,,,,,,,,18.0
40,2020-03-04,102:204,9:509,private_transport,,,,,,,11.0,,,
40,2020-03-04,108:170,155:131,bus,,18.0,,,,,,,,
40,2020-03-04,109:169,101:205,bus,,,,,,,,,,20.0
40,2020-03-04,109:169,101:205,private_transport,,,,,,,,,,16.0
40,2020-03-04,109:169,146:124,bus,,,,,,,,,,35.0
40,2020-03-04,109:169,146:124,private_transport,,,,,,,,,,24.0
40,2020-03-04,109:169,151:119,bus,,,,,,,,,,10.0
40,2020-03-04,109:169,102:204,bus,,,,,,,,,,10.0
40,2020-03-04,115:155,76:314,private_transport,,,12.0,,,,,,,
40,2020-03-04,116:154,76:314,bus,,,12.0,,,,,,,
40,2020-03-04,116:154,76:314,private_transport,,,18.0,,,,,,,
40,2020-03-04,126:160,151:119,bus,,,,,,,19.0,,,
40,2020-03-04,126:160,108:170,bus,,,,,,,28.0,,,
40,2020-03-04,126:160,50:412,bus,82.0,,,,,,,,,
40,2020-03-04,126:160,50:412,private_transport,28.0,,,,,,,,,
40,2020-03-04,127:159,146:124,bus,,,,16.0,,,,,,
40,2020-03-04,127:159,146:124,private_transport,,,,10.0,,,,,,
40,2020-03-04,127:159,151:119,bus,,,,,,,10.0,,,
