ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0300_0359,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,2000_2059
40,2019-11-12,103:203,103:203,bus,,,,,,,,,,,,,,,22.0,
40,2019-11-12,103:203,103:203,private_transport,,,,,,,,,,,,,,,14.0,
40,2019-11-12,103:203,131:139,bus,,,,,,,,,,,,,,,14.0,
40,2019-11-12,103:203,131:139,private_transport,,,,,,,,,,,,,,,11.0,
40,2019-11-12,103:203,85:106,bus,,,,,,,,19.0,,,,,,,,
40,2019-11-12,103:203,85:106,private_transport,,,,,,,,12.0,,,,,,,,
40,2019-11-12,103:203,90:117,bus,,,,,,,,18.0,,,,,,,,
40,2019-11-12,108:170,82:418,private_transport,,,,,,,,,,96.0,,,,,,
40,2019-11-12,109:169,91:116,bus,,,,10.0,,,,,,,,,,,,
40,2019-11-12,111:167,111:167,private_transport,,14.0,,,,,,,,,,,,,,
40,2019-11-12,111:167,148:122,private_transport,,17.0,,,,,,,,,,,,,,
40,2019-11-12,111:167,84:107,private_transport,,,,,,,,,,,,10.0,,,,
40,2019-11-12,117:153,95:112,bus,,,,,,,,,,,11.0,,,,,
40,2019-11-12,121:165,90:117,bus,,,,,,,,,,45.0,,,,,,
40,2019-11-12,121:165,90:117,private_transport,,,,,,,,,,33.0,,,,,,
40,2019-11-12,121:165,121:165,bus,,,,,,,,,,,,13.0,,,,
40,2019-11-12,121:165,121:165,private_transport,,,,,,,,,,,,14.0,,,,
40,2019-11-12,121:165,126:160,bus,,,,,,15.0,,,,,,,,,,
40,2019-11-12,121:165,127:159,bus,,,,,,10.0,,,,,,,,,,
40,2019-11-12,121:165,97:102,bus,,,,,,64.0,,,,,,,,,,
40,2019-11-12,121:165,97:102,private_transport,,,,,,27.0,,,,,,,,,,
40,2019-11-12,126:160,90:117,bus,,,,,,,,,,,,,,,,22.0
40,2019-11-12,126:160,90:117,private_transport,,,,,,,,,,,,,,,,14.0
40,2019-11-12,126:160,126:160,bus,,,,,,,,,,,,,,,,41.0
40,2019-11-12,126:160,126:160,private_transport,,,,,,,,,,,,,,,,19.0
40,2019-11-12,126:160,139:147,bus,,,,,,,,,12.0,,,,,,,
40,2019-11-12,126:160,140:146,private_transport,,,,,,,,,11.0,,,,,,,
40,2019-11-12,126:160,141:145,bus,,,,,,,,,10.0,,,,,,,
40,2019-11-12,127:159,85:106,private_transport,,,,,,11.0,,,,,,,,,,
40,2019-11-12,127:159,90:117,bus,,,,,,10.0,,,,,,,,,,
40,2019-11-12,128:142,91:116,bus,,,,11.0,,,,,,,,,,,,
40,2019-11-12,128:142,87:104,bus,,,,17.0,,,,,,,,,,,,
40,2019-11-12,129:141,90:117,bus,,,,,,,,,,,,,14.0,,,
40,2019-11-12,130:140,90:117,bus,,,,,,,,,,,,,20.0,,,
40,2019-11-12,131:139,103:203,bus,,,,,,,,,,,,,,,19.0,
40,2019-11-12,131:139,95:112,bus,,,,,,,,,,,13.0,,,,,
40,2019-11-12,131:139,95:112,private_transport,,,,,,,,,,,10.0,,,,,
