ProjectID,Date,Origin,Destination,Modo,0000_0059,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1600_1659,1700_1759,1900_1959,2000_2059,2200_2259
40,2020-03-05,100:206,109:169,bus,,,,,,,,,,,12.0,,,,,,,
40,2020-03-05,100:206,143:143,bus,,,,,,,,,,,11.0,,,,,,,
40,2020-03-05,100:206,83:108,bus,,,,,,,,,,,10.0,,,,,,,
40,2020-03-05,100:206,98:217,bus,,,,,,,,,,,13.0,,,,,,,
40,2020-03-05,103:203,103:203,bus,,,,,,,,,,26.0,,,,,,,,
40,2020-03-05,103:203,103:203,private_transport,,,,,,,,,,35.0,,,,,,,,
40,2020-03-05,103:203,113:157,bus,,,,,,,,,,10.0,,,,,,,,
40,2020-03-05,103:203,113:157,private_transport,,,,,,,,,,11.0,,,,,,,,
40,2020-03-05,103:203,115:155,bus,,10.0,,,,,,,,,,,,,,,,
40,2020-03-05,103:203,131:139,bus,,,,,,,,,,20.0,,,,,,,,
40,2020-03-05,103:203,131:139,private_transport,,,,,,,,,,24.0,,,,,,,,
40,2020-03-05,103:203,58:303,bus,,,,,,,,,,17.0,,,,,,,,
40,2020-03-05,103:203,58:303,private_transport,,,,,,,,,,21.0,,,,,,,,
40,2020-03-05,107:207,83:108,bus,,,,,,,,,,,14.0,,,,,,,
40,2020-03-05,107:207,83:108,private_transport,,,,,,,,,,,10.0,,,,,,,
40,2020-03-05,107:207,98:217,bus,,,,,,,,,,,17.0,,,,,,,
40,2020-03-05,108:170,127:159,bus,,,,,,,20.0,,,,,,,,,,,
40,2020-03-05,108:170,152:134,bus,,,,,,,16.0,,,,,,,,,,,
40,2020-03-05,108:170,153:133,bus,,,,,,,12.0,,,,,,,,,,,
40,2020-03-05,108:170,153:133,private_transport,,,,,,,13.0,,,,,,,,,,,
40,2020-03-05,108:170,94:113,bus,,,,,,,12.0,,,,,,,,,,,
40,2020-03-05,109:169,117:153,bus,,,,,,,,,,,,,10.0,,,,,
40,2020-03-05,109:169,117:153,private_transport,,,,,,,,,,,,,10.0,,,,,
40,2020-03-05,109:169,136:150,private_transport,,,,,,,,,,,,,,13.0,,,,
40,2020-03-05,110:168,136:150,private_transport,,,,,,,,,,,,,,107.0,,,,
40,2020-03-05,110:168,45:319,private_transport,,,,,,,,,,,,,,13.0,,,,
40,2020-03-05,115:155,83:108,private_transport,10.0,,,,,,,,,,,,,,,,,
40,2020-03-05,115:155,98:217,bus,,,,10.0,,,,,,,,,,,,,,
40,2020-03-05,115:155,98:217,private_transport,,,,,,,,,,,,,,,,10.0,,
40,2020-03-05,115:155,118:152,private_transport,10.0,,,,,,,,,,,,,,,,,
40,2020-03-05,115:155,276:144,bus,,,,,,,,,,,,,,,,10.0,,
40,2020-03-05,116:154,109:169,private_transport,,,,11.0,,,,,,,,,,,,,,
40,2020-03-05,116:154,128:142,private_transport,,,,12.0,,,,,,,,,,,,,,
40,2020-03-05,116:154,129:141,bus,,,,,,,,,,,,,12.0,,,,,
40,2020-03-05,116:154,148:122,bus,,,,,,,,,,11.0,,,,,,,,
40,2020-03-05,116:154,148:122,private_transport,,,,,,,,,,15.0,,,,,,,,
40,2020-03-05,116:154,154:132,bus,,,,,,,12.0,,,,,,,,,,,
40,2020-03-05,116:154,154:132,private_transport,,,,,,,15.0,,,,,,,,,,,
40,2020-03-05,116:154,64:306,private_transport,,,,,,,,,,,,,,,10.0,,,
40,2020-03-05,116:154,78:302,private_transport,,,,,,,,,,,,,,,16.0,,,
40,2020-03-05,116:154,89:118,bus,,,,,,,13.0,,,,,,,,,,,
40,2020-03-05,116:154,95:112,bus,,,,,,,,,,,,15.0,,,,,,
40,2020-03-05,116:154,95:112,private_transport,,,,,,,,,,,,22.0,,,,,,
40,2020-03-05,117:153,143:143,private_transport,11.0,,,,,,,,,,,,,,,,,
40,2020-03-05,117:153,83:108,private_transport,14.0,,,,,,,,,,,,,,,,,
40,2020-03-05,117:153,113:157,bus,,,,,,,,,,,,11.0,,,,,,
40,2020-03-05,117:153,148:122,private_transport,,,,,,,,,,11.0,,,,,,,,
40,2020-03-05,117:153,154:132,bus,,,,,,,10.0,,,,,,,,,,,
40,2020-03-05,117:153,95:112,bus,,,,,,,,,,,,11.0,,,,,,
40,2020-03-05,117:153,111:167,private_transport,,,,,,,,,,10.0,,,,,,,,
40,2020-03-05,118:152,109:169,private_transport,12.0,,,,,,,,,,,,,,,11.0,,
40,2020-03-05,118:152,143:143,bus,,,,11.0,,,,,,,,,,,,,,
40,2020-03-05,118:152,83:108,bus,,,,21.0,,,,,,,,,,,,,,
40,2020-03-05,118:152,83:108,private_transport,28.0,,,,,,,,,,,,,,,,,
40,2020-03-05,118:152,98:217,bus,,,,,,,,,,,,,,,,12.0,,
40,2020-03-05,118:152,98:217,private_transport,24.0,,,16.0,,,,,,,,,,,,10.0,,
40,2020-03-05,118:152,58:303,private_transport,,,,,,,,,,,,,,,11.0,,,
40,2020-03-05,118:152,94:113,bus,,,,,,,,,,,,,,,,11.0,,
40,2020-03-05,118:152,118:152,private_transport,24.0,,,,,,,,,,,,,,,,,
40,2020-03-05,118:152,276:144,bus,,,,,,,,,,,,,,,,19.0,,
40,2020-03-05,118:152,128:142,bus,,,,15.0,,,,,,,,,,,,,,
40,2020-03-05,118:152,129:141,bus,,,,,,,,,,,,,17.0,,,,,
40,2020-03-05,118:152,129:141,private_transport,,,,,,,,,,,,,17.0,,,,,
40,2020-03-05,118:152,148:122,bus,,,,,,,,,,17.0,,,,,,,,
40,2020-03-05,118:152,148:122,private_transport,,,,,,,,,,25.0,,,,,,,,
40,2020-03-05,118:152,154:132,bus,,,,,,,26.0,,,,,,,,,,,
