ProjectID,Date,Origin,Destination,Modo,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059
40,2020-03-04,104:202,87:104,bus,,,,,,,,,,,,,,21.0,,
40,2020-03-04,108:170,127:159,private_transport,,,,12.0,,,,,,,,,,,,
40,2020-03-04,108:170,152:134,bus,,,,27.0,,,,,,,,,,,,
40,2020-03-04,108:170,153:133,private_transport,,,,14.0,,,,,,,,,,,,
40,2020-03-04,109:169,109:169,private_transport,,,,,,,,,,,,,10.0,,,
40,2020-03-04,109:169,110:168,bus,,,,,,,,,,,,,18.0,,,
40,2020-03-04,109:169,110:168,private_transport,,,,,,,,,,,,,37.0,,,
40,2020-03-04,109:169,83:108,bus,,,,11.0,,,,,,,,,,,,
40,2020-03-04,110:168,87:104,bus,,,,,,,,,,,,,,23.0,,
40,2020-03-04,110:168,87:104,private_transport,,,,,,,,,,,,,,16.0,,
40,2020-03-04,110:168,110:168,private_transport,,,,,,,,,,,,,18.0,,,
40,2020-03-04,110:168,91:116,bus,,,,,,,,,,,,,,17.0,,
40,2020-03-04,111:167,150:120,bus,,,,,,10.0,,,,,,,,,,
40,2020-03-04,111:167,150:120,private_transport,,,,,,10.0,,,,,,,,,,
40,2020-03-04,111:167,85:106,bus,,,,,,,,,,,,,,,,13.0
40,2020-03-04,111:167,85:106,private_transport,,,,,,,,,,,,,,,,11.0
40,2020-03-04,111:167,90:117,bus,,,17.0,,,,,,,,,,,,,
40,2020-03-04,116:154,118:152,bus,,,,,,,,,,,,,,10.0,,
40,2020-03-04,116:154,95:112,bus,,,,,,,,,,,,,,14.0,,
40,2020-03-04,117:153,118:152,bus,,,,,,,,,,,,,,10.0,,
40,2020-03-04,118:152,118:152,private_transport,,,,,,,,,,,,,,,10.0,
40,2020-03-04,118:152,116:154,private_transport,,,,,,,,,,,,,,11.0,,
40,2020-03-04,118:152,122:164,bus,,,,12.0,,,,,,,,,,,,
40,2020-03-04,118:152,139:147,bus,,,,,,,,,,,,,,11.0,,
40,2020-03-04,118:152,139:147,private_transport,,,,,,,,,,,,,,12.0,,
40,2020-03-04,118:152,97:102,bus,,,,10.0,,,,,,,,,,,,
40,2020-03-04,119:151,150:120,bus,,,,30.0,,,,,,,,,,,,
40,2020-03-04,119:151,150:120,private_transport,,,,16.0,,,,,,,,,,,,
40,2020-03-04,119:151,118:152,bus,,,,,,,,,,,,,,,13.0,
40,2020-03-04,119:151,118:152,private_transport,,,,,,,,,,,,,,,10.0,
40,2020-03-04,119:151,95:112,private_transport,,,,,,,,,,,,,,,10.0,
40,2020-03-04,119:151,116:154,private_transport,,,,,,,,,,,,,,,10.0,
40,2020-03-04,119:151,122:164,bus,,,,11.0,,,,,,,,,,,,
40,2020-03-04,119:151,97:102,bus,,,,14.0,,,,,,,,,,,,
40,2020-03-04,121:165,97:102,bus,,,,66.0,,,,,,,,,,,,
40,2020-03-04,121:165,97:102,private_transport,,,,34.0,,,,,,,,,,,,
40,2020-03-04,121:165,56:416,private_transport,,115.0,,,,,,,,,,,,,,
40,2020-03-04,122:164,91:116,bus,,,,,,,,,,,11.0,,,,,
40,2020-03-04,122:164,92:115,private_transport,,,,,,,,,,,11.0,,,,,
40,2020-03-04,126:160,85:106,bus,,,,,,,,10.0,,,,,,,,
40,2020-03-04,126:160,90:117,bus,,,,,,20.0,,,,,,,,,,
40,2020-03-04,126:160,118:152,bus,,,,,,,,,,,11.0,,,,,
40,2020-03-04,126:160,56:416,private_transport,,,,,,,,95.0,,,,,,,,
40,2020-03-04,126:160,126:160,bus,,,,,,61.0,,,,,,,,,,
40,2020-03-04,126:160,126:160,private_transport,,,,,,30.0,,,,,,,,,,
40,2020-03-04,126:160,134:136,private_transport,,,,,,,,,,,10.0,,,,,
40,2020-03-04,126:160,140:146,bus,,,,,,,,,,,25.0,,,,,
40,2020-03-04,126:160,141:145,bus,,,,,,,,,,,36.0,,,,,
40,2020-03-04,126:160,141:145,private_transport,,,,,,,,,,,15.0,,,,,
40,2020-03-04,126:160,156:130,bus,,,,,,13.0,,,,,,,,,,
40,2020-03-04,126:160,156:130,private_transport,,,,,,13.0,,,,,,,,,,
40,2020-03-04,126:160,47:320,bus,,,,,,,15.0,,,,,,,,,
40,2020-03-04,126:160,47:320,private_transport,,,,,,,89.0,,,,,,,,,
40,2020-03-04,126:160,76:314,private_transport,,,,,,,50.0,,,,,,,,,
40,2020-03-04,127:159,61:413,private_transport,,,,,,,33.0,,,,,,,,,
40,2020-03-04,129:141,152:134,bus,13.0,,,,,,,,,,,,,,,
40,2020-03-04,134:136,141:145,bus,,,,,,,,,,,,10.0,,,,
40,2020-03-04,136:150,150:120,bus,,,,17.0,,,,,,,,,,,,
40,2020-03-04,136:150,95:112,bus,,,,,,,,,,,,,,,12.0,
40,2020-03-04,136:150,116:154,bus,,,,,,,,,,,,,,,11.0,
