ProjectID,Date,Origin,Destination,Modo,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1100_1159,1300_1359,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059
40,2020-03-03,103:203,103:203,bus,,,,,,,,,,,,,21.0,
40,2020-03-03,103:203,103:203,private_transport,,,,,,,,,,,,,27.0,
40,2020-03-03,103:203,124:162,private_transport,,,,,,,,,,,,,10.0,
40,2020-03-03,103:203,131:139,bus,,,,,,,,,,,,,15.0,
40,2020-03-03,103:203,131:139,private_transport,,,,,,,,,,,,,20.0,
40,2020-03-03,103:203,156:130,bus,,,,,,,,,,,,19.0,,
40,2020-03-03,103:203,156:130,private_transport,,,,,,,,,,,,12.0,,
40,2020-03-03,103:203,58:303,bus,,,,,,,,,,,,,15.0,
40,2020-03-03,108:170,132:138,bus,10.0,,,,,,,,,,,,,
40,2020-03-03,108:170,95:112,bus,16.0,,,,,,,,,,,,,
40,2020-03-03,108:170,95:112,private_transport,22.0,,,,,,,,,,,,,
40,2020-03-03,109:169,107:207,bus,,,,,,,,,16.0,,,,,
40,2020-03-03,109:169,112:158,bus,,,,,,,,,12.0,,,,,
40,2020-03-03,109:169,143:143,bus,,,,,12.0,,,,,,,,,
40,2020-03-03,109:169,143:143,private_transport,,,,,11.0,,,,,,,,,
40,2020-03-03,109:169,83:108,bus,,,,,11.0,,,15.0,,,,,,
40,2020-03-03,109:169,83:108,private_transport,,,,,10.0,,,,,,,,,
40,2020-03-03,109:169,98:217,bus,,,,,14.0,,,15.0,,,,,,
40,2020-03-03,109:169,98:217,private_transport,,,,,12.0,,,10.0,,,,,,
40,2020-03-03,111:167,103:203,bus,,,14.0,,,18.0,,,,,,,,
40,2020-03-03,111:167,103:203,private_transport,,,10.0,,,17.0,,,,,,,,
40,2020-03-03,111:167,131:139,private_transport,,,10.0,,,,,,,,,,,
40,2020-03-03,111:167,58:303,bus,,,,,,11.0,,,,,,,,
40,2020-03-03,111:167,58:303,private_transport,,,,,,11.0,,,,,,,,
40,2020-03-03,113:157,103:203,private_transport,,,,,,,,,,,,,11.0,
40,2020-03-03,113:157,126:160,bus,,,,19.0,,,,,,,,,,
40,2020-03-03,113:157,126:160,private_transport,,,,10.0,,,,,,,,,,
40,2020-03-03,113:157,45:319,bus,,,,,,,,29.0,,,,,,
40,2020-03-03,113:157,45:319,private_transport,,,,,,,,16.0,,,,,,
40,2020-03-03,113:157,90:117,bus,,,,15.0,,,,,,,,,,
40,2020-03-03,113:157,90:117,private_transport,,,,12.0,,,,,,,,,,
40,2020-03-03,115:155,126:160,bus,,11.0,,,,,,,,,,,,
40,2020-03-03,115:155,45:319,private_transport,,10.0,,,,,,,,,,,,
40,2020-03-03,116:154,95:112,bus,,,,,,,,22.0,,,,,,
40,2020-03-03,116:154,126:160,bus,,17.0,,,,,,,,,,,,
40,2020-03-03,116:154,113:157,bus,,,,,,,,12.0,,,,,,
40,2020-03-03,116:154,113:157,private_transport,,,,,,,,10.0,,,,,,
40,2020-03-03,116:154,115:155,bus,,,10.0,,,,,,,,,,,
40,2020-03-03,116:154,135:135,bus,,,12.0,,,,,,,,,,,
40,2020-03-03,117:153,95:112,bus,,,,,,,,11.0,,,,,,
40,2020-03-03,117:153,126:160,bus,,,,14.0,,,,,,,,,,
40,2020-03-03,117:153,90:117,bus,,,,10.0,,,,,,,,,,
40,2020-03-03,118:152,95:112,bus,,,,,,,,20.0,,,,,,
40,2020-03-03,118:152,95:112,private_transport,,,,,,,,14.0,,,,,,
40,2020-03-03,118:152,113:157,bus,,,,,,,,16.0,,,,,,
40,2020-03-03,118:152,135:135,bus,,,17.0,,,,,,,,,,,
40,2020-03-03,118:152,110:168,private_transport,,,11.0,,,,,,,,,,,
40,2020-03-03,118:152,116:154,private_transport,,,10.0,,,,,,,,,,,
40,2020-03-03,118:152,117:153,bus,,,,,,,,12.0,,,,,,
40,2020-03-03,118:152,119:151,bus,,,,,,,15.0,,,,,,,
40,2020-03-03,118:152,134:136,bus,,,12.0,,,,,,,,,,,
40,2020-03-03,118:152,136:150,private_transport,,,,,,,10.0,,,,,,,
40,2020-03-03,119:151,119:151,private_transport,,,,,,,16.0,,,,,,,
40,2020-03-03,119:151,118:152,bus,,,,,,,12.0,,,,,,,
40,2020-03-03,120:166,145:125,bus,,,,,,,,,,,,10.0,,
40,2020-03-03,121:165,131:139,bus,,,,,,16.0,,,,,,,,
40,2020-03-03,121:165,131:139,private_transport,,,,,,15.0,,,,,,,,
40,2020-03-03,121:165,58:303,bus,,,,,,15.0,,,,,,,,
40,2020-03-03,121:165,58:303,private_transport,,,,,,14.0,,,,,,,,
