ProjectID,Date,Origin,Destination,Modo,0000_0059,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,2000_2059,2200_2259
40,2019-11-19,103:203,157:129,bus,,,,,,,,,,,,,14.0,,,
40,2019-11-19,103:203,157:129,private_transport,,,,,,,,,,,,,12.0,,,
40,2019-11-19,108:170,159:127,bus,,,,,,,,,25.0,,,,,,,
40,2019-11-19,108:170,159:127,private_transport,,,,,,,,,20.0,,,,,,,
40,2019-11-19,109:169,109:169,bus,,,,,,,,,10.0,,,,,,,
40,2019-11-19,109:169,110:168,private_transport,,,,,,,,,14.0,,,,,,,
40,2019-11-19,109:169,45:319,bus,,21.0,,,,,,,,,,,,,,
40,2019-11-19,109:169,45:319,private_transport,,28.0,,,,,,,,,,,,,,
40,2019-11-19,110:168,109:169,private_transport,,,,,,,,,16.0,,,,,,,
40,2019-11-19,110:168,110:168,bus,,,,,,,,,55.0,,,,,,,
40,2019-11-19,110:168,110:168,private_transport,,,,,,,,,46.0,,,,,,,
40,2019-11-19,111:167,159:127,bus,,,,,,,,,,,,,,51.0,,
40,2019-11-19,111:167,159:127,private_transport,,,,,,,,,,,,,,60.0,,
40,2019-11-19,111:167,121:165,bus,,,,,,,,,,,,17.0,,,,
40,2019-11-19,111:167,121:165,private_transport,,,,,,,,,,,,23.0,,,,
40,2019-11-19,111:167,137:149,bus,,,,,,,,,,,,,,12.0,,
40,2019-11-19,111:167,137:149,private_transport,,,,,,,,,,,,,,13.0,,
40,2019-11-19,113:157,110:168,bus,,,27.0,,,,,,,,,,,,,
40,2019-11-19,113:157,110:168,private_transport,,,21.0,,,,,,,,,,,,,
40,2019-11-19,113:157,113:157,bus,,,,,,,,,12.0,,,,,,,
40,2019-11-19,113:157,131:139,private_transport,,,,,,,,,10.0,,,,,,,
40,2019-11-19,113:157,95:112,private_transport,,,,,,,,,20.0,,,,,,,
40,2019-11-19,115:155,76:314,private_transport,,,,,,,11.0,,,,,,,,,
40,2019-11-19,116:154,118:152,bus,,,,,,,,,,,14.0,,,,,
