ProjectID,Date,Origin,Destination,Modo,0600_0659,0700_0759,0800_0859,0900_0959,1100_1159,1200_1259,1300_1359,1500_1559,1700_1759,1800_1859,1900_1959,2100_2159,2200_2259
40,2020-03-04,100:206,83:108,bus,,,,,,,28.0,,37.0,,,,
40,2020-03-04,100:206,83:108,private_transport,,,,,,,31.0,,13.0,,,,16.0
40,2020-03-04,103:203,83:108,bus,,,,10.0,,,,,,,,,
40,2020-03-04,103:203,109:169,bus,,,,10.0,,,,,,,,,
40,2020-03-04,103:203,128:142,bus,,,,10.0,,,,,,,,,
40,2020-03-04,106:208,98:217,private_transport,,,,,,,,,10.0,,,,
40,2020-03-04,107:207,83:108,bus,,,,,,,22.0,,13.0,,,,
40,2020-03-04,107:207,83:108,private_transport,,,,,,,24.0,,10.0,,,,14.0
40,2020-03-04,107:207,98:217,private_transport,,,,,,,,,12.0,,,,14.0
40,2020-03-04,109:169,83:108,bus,,,,,10.0,,,,15.0,,,,
40,2020-03-04,109:169,83:108,private_transport,,,,,,,,,,,,15.0,
40,2020-03-04,109:169,109:169,bus,,,,,,,,,,12.0,,,
40,2020-03-04,109:169,109:169,private_transport,,,,,16.0,,,,,10.0,,,
40,2020-03-04,109:169,128:142,bus,,,14.0,,,,,,,,,,
40,2020-03-04,109:169,98:217,private_transport,,,,,14.0,,,,,,,,
40,2020-03-04,109:169,107:207,bus,,,,,15.0,,,,,,,,
40,2020-03-04,109:169,110:168,bus,11.0,,,,,,,,,,,,
40,2020-03-04,109:169,110:168,private_transport,16.0,,,,,,,,,,,,
40,2020-03-04,109:169,143:143,bus,,,13.0,,,,,,,,,,
40,2020-03-04,109:169,45:319,bus,,,,,,,,,,,,,12.0
40,2020-03-04,109:169,45:319,private_transport,,,,,,,,,,,,,21.0
40,2020-03-04,110:168,83:108,bus,,,,,,,,,61.0,,,,
40,2020-03-04,110:168,83:108,private_transport,,,,,,,,,57.0,,,,
40,2020-03-04,110:168,110:168,bus,,,,,,10.0,,,,,,,
