ProjectID,Date,Origin,Destination,Modo,0100_0159,0400_0459,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,2000_2059
40,2019-11-21,100:206,83:108,bus,,,,,,,,,,,,,,,12.0
40,2019-11-21,100:206,83:108,private_transport,,,,,,,,,,,,,,,12.0
40,2019-11-21,100:206,98:217,bus,,,,,,,,,,,,,,,15.0
40,2019-11-21,100:206,98:217,private_transport,,,,,,,,,,,,,,,14.0
40,2019-11-21,102:204,76:314,private_transport,,,10.0,,,,,,,,,,,,
40,2019-11-21,107:207,128:142,bus,,,,,,,,,,,,,,,11.0
40,2019-11-21,107:207,128:142,private_transport,,,,,,,,,,,,,,,11.0
40,2019-11-21,109:169,83:108,bus,,,,,,,,,10.0,,,,,,
40,2019-11-21,109:169,83:108,private_transport,,,,,,,,,14.0,,,,,,
40,2019-11-21,109:169,118:152,bus,,,,,,,,,16.0,,,,,,
40,2019-11-21,109:169,129:141,bus,,,,,,,,,12.0,,,,,,
40,2019-11-21,109:169,129:141,private_transport,,,,,,,,,12.0,,,,,,
40,2019-11-21,109:169,139:147,bus,,,,,,,,,13.0,,,,,,
40,2019-11-21,109:169,143:143,bus,,,,,,,,,10.0,,,,,,
40,2019-11-21,110:168,98:217,bus,,,,,,,,,11.0,,,,,,
40,2019-11-21,110:168,110:168,private_transport,,,,,,,,,10.0,,,,,,
40,2019-11-21,110:168,114:156,bus,,,,,,,,,17.0,,,,,,
40,2019-11-21,110:168,25:525,bus,,,,,,,10.0,,,,,,,,
40,2019-11-21,110:168,57:310,bus,,,,,,,87.0,,,,,,,,
40,2019-11-21,110:168,57:310,private_transport,,,,,,,77.0,,,,,,,,
40,2019-11-21,114:156,110:168,private_transport,,,,,,,,,11.0,,,,,,
40,2019-11-21,114:156,114:156,bus,,,,,,,,,16.0,,,,,,
40,2019-11-21,115:155,76:314,bus,,,,,10.0,,,,,,,,,,
40,2019-11-21,115:155,57:310,private_transport,,,,,,,,,,,11.0,,,,
40,2019-11-21,120:166,76:314,bus,,,,,,,,,,,,10.0,,,
40,2019-11-21,120:166,143:143,bus,,,,,,,,,,,,18.0,,,
40,2019-11-21,120:166,100:206,bus,,,,,,,,,,,,25.0,,,
40,2019-11-21,120:166,100:206,private_transport,,,,,,,,,,,,16.0,,,
40,2019-11-21,120:166,107:207,bus,,,,,,,,,,,,13.0,,,
40,2019-11-21,128:142,83:108,bus,,,,,,,,,,,,,,,11.0
40,2019-11-21,128:142,98:217,private_transport,,,,,,,,,,,,,,,11.0
40,2019-11-21,128:142,100:206,private_transport,,,,,,,,,11.0,,,,,,
40,2019-11-21,137:149,76:314,bus,,,,,12.0,,,,,,,,,,
40,2019-11-21,137:149,76:314,private_transport,,,,,12.0,,,,,,,,,,
40,2019-11-21,137:149,57:310,private_transport,,,,,,,,,,,15.0,,,,
40,2019-11-21,140:146,100:206,bus,,,,,,,,,,,,10.0,,,
40,2019-11-21,141:145,83:108,bus,,,,,,,,,,,,10.0,,,
40,2019-11-21,141:145,76:314,bus,,,13.0,,,,,,,,,,,,
40,2019-11-21,141:145,76:314,private_transport,,,16.0,,,,,,,,,,,,
40,2019-11-21,143:143,83:108,bus,,,,,,,,,10.0,,,,,,
40,2019-11-21,143:143,143:143,bus,,,,,,,,,10.0,,,,,,
40,2019-11-21,143:143,100:206,private_transport,,,,,,,,,,15.0,,,,,
40,2019-11-21,143:143,116:154,bus,,,,,,,,,11.0,,,,,,
40,2019-11-21,144:126,57:310,private_transport,,,,,,,,,,,21.0,,,,
40,2019-11-21,144:126,159:127,bus,,,,,,,,17.0,,,,,,,
40,2019-11-21,145:125,76:314,bus,,,13.0,,,,,,,,,,,,
40,2019-11-21,145:125,76:314,private_transport,,,16.0,,,,,,,,,,,,
40,2019-11-21,147:123,98:217,private_transport,,,,,,,,,10.0,,,,,,
40,2019-11-21,147:123,114:156,bus,,,,,,,,,17.0,,,,,,
40,2019-11-21,147:123,147:123,bus,,,,,,,,,16.0,,,,,,
40,2019-11-21,159:127,76:314,bus,,,,,80.0,,,,,,,,,,
40,2019-11-21,159:127,76:314,private_transport,,,,,33.0,,,,,,,,,,
40,2019-11-21,159:127,57:310,private_transport,,,,,,,,,,,116.0,,,,
40,2019-11-21,159:127,159:127,bus,,,,,,,,94.0,,,,,,,
40,2019-11-21,159:127,159:127,private_transport,,,,,,,,15.0,,,,,,,
40,2019-11-21,159:127,137:149,bus,,,,,,,,18.0,,,,,,,
40,2019-11-21,159:127,144:126,bus,,,,,,,,17.0,,,,,,,
40,2019-11-21,25:525,121:165,private_transport,,,,,,,24.0,,,,,,,,
40,2019-11-21,25:525,157:129,private_transport,,,,,,,23.0,,,,,,,,
40,2019-11-21,48:301,62:307,bus,,,,,,,87.0,,,,,,,,
40,2019-11-21,48:301,62:307,private_transport,,,,,,,102.0,,,,,,,,
40,2019-11-21,62:307,98:217,private_transport,,,,,,,,,,,,,,44.0,
40,2019-11-21,62:307,110:168,private_transport,,,,,,,,,,,,,,16.0,
40,2019-11-21,62:307,144:126,bus,,,,,,,,27.0,,,,,,,
40,2019-11-21,62:307,62:307,private_transport,,,,,,,,,,,148.0,,,,
40,2019-11-21,62:307,109:169,private_transport,,,,,,,,,,,,,,61.0,
40,2019-11-21,62:307,126:160,private_transport,,,,88.0,,,,,,,,,,,
40,2019-11-21,62:307,276:144,private_transport,,,,,,,,,,,,,,16.0,
40,2019-11-21,62:307,87:104,bus,,,,,,,,93.0,,,,,,,
40,2019-11-21,62:307,87:104,private_transport,,,,,,,,13.0,,,,,,,
40,2019-11-21,62:307,90:117,private_transport,,,,41.0,,,,,,,,,,,
