ProjectID,Date,Origin,Destination,Modo,0000_0059,0600_0659,0700_0759,0800_0859,0900_0959,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159
40,2020-03-11,101:205,45:319,bus,,,33.0,,,,,,,,,,,,,
40,2020-03-11,101:205,45:319,private_transport,,,23.0,,,,,,,,,,,,,
40,2020-03-11,103:203,103:203,bus,,,,,,,,,,,33.0,,,,,
40,2020-03-11,103:203,131:139,bus,,,,,,,,,,,19.0,,,,,
40,2020-03-11,103:203,131:139,private_transport,,,,,,,,,,,11.0,,,,,
40,2020-03-11,104:202,104:202,bus,,,11.0,,,,,,,,,,,,,
40,2020-03-11,104:202,104:202,private_transport,23.0,,12.0,,,,,,,,,,,,,
40,2020-03-11,104:202,110:168,bus,,,22.0,,,,,,,,,,,,,
40,2020-03-11,104:202,110:168,private_transport,37.0,,22.0,,,,,,,,,,,,,
40,2020-03-11,104:202,111:167,bus,,,12.0,,,,,,,,,,,,,
40,2020-03-11,104:202,111:167,private_transport,17.0,,12.0,,,,,,,,,,,,,
40,2020-03-11,104:202,78:302,private_transport,,,44.0,,,,,,,,,,,,,
40,2020-03-11,109:169,159:127,bus,,11.0,,,,,,,,,,,,,,
40,2020-03-11,109:169,85:106,bus,,15.0,,,,,,,,,,,,,,
40,2020-03-11,109:169,90:117,bus,,11.0,,,,,,,,,,,,,,
40,2020-03-11,109:169,92:115,bus,,,,,,,,12.0,,,,,,,,
40,2020-03-11,110:168,104:202,bus,,,13.0,,,,,,,,,,,,,
40,2020-03-11,110:168,104:202,private_transport,39.0,,27.0,,,,,,,,,,,,,
40,2020-03-11,110:168,110:168,bus,,,17.0,,,,,,,,,,,,,
40,2020-03-11,110:168,110:168,private_transport,51.0,,35.0,,,,,,,,,,,,,
40,2020-03-11,110:168,111:167,private_transport,15.0,,,,,,,,,,,,,,,
40,2020-03-11,110:168,78:302,private_transport,,,56.0,,,,,,,,,,,,,
40,2020-03-11,110:168,147:123,private_transport,13.0,,13.0,,,,,,,,,,,,,
40,2020-03-11,110:168,64:306,private_transport,,,30.0,,,,,,,,,,,,,
40,2020-03-11,111:167,103:203,bus,,,32.0,,,,,,,,,,,,,
40,2020-03-11,111:167,103:203,private_transport,,,22.0,,,,,,,,,,,,,
40,2020-03-11,111:167,104:202,bus,,,16.0,,,,,,,,,,,,,
40,2020-03-11,111:167,104:202,private_transport,,,12.0,,,,,,,,,,,,,
40,2020-03-11,111:167,110:168,private_transport,15.0,,15.0,,,,,,,,,,,,,
40,2020-03-11,111:167,111:167,bus,,,10.0,,,,,,,,,,,,,
40,2020-03-11,111:167,92:115,bus,,,,,,,,,,,,13.0,,,,
