ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159
40,2019-11-12,103:203,105:201,private_transport,,,,,25.0,,,,,,,,,,,,,,,
40,2019-11-12,103:203,106:208,private_transport,,,,,17.0,,,,,,,,,,,,,,,
40,2019-11-12,103:203,75:313,bus,,,,,,,,,,,,,,,,,,10.0,,
40,2019-11-12,103:203,75:313,private_transport,,,10.0,,,,,,,,,,,,,,,10.0,,
40,2019-11-12,103:203,9:509,private_transport,,,,,,,,,,,,,36.0,87.0,,,,,,
40,2019-11-12,104:202,75:313,private_transport,,,,,,,,,,,,,,,,,,,,59.0
40,2019-11-12,104:202,157:129,bus,,,,,,,,,,,,,,,,10.0,,,,
40,2019-11-12,104:202,157:129,private_transport,,,,,,,,,,,,,,,,11.0,,,,
40,2019-11-12,104:202,52:325,private_transport,,,11.0,,,,,,,,,,,,,,,,,
40,2019-11-12,104:202,56:416,private_transport,,,,,,,,,,,,,,,,,14.0,,,
40,2019-11-12,104:202,59:324,private_transport,,,42.0,,,,,,,,,,,,,,,,,
40,2019-11-12,104:202,73:311,private_transport,,,,,,,,,,,,,,,,,,,11.0,
40,2019-11-12,104:202,98:217,private_transport,,,,,,,,,,,,,,,,,,18.0,,
40,2019-11-12,105:201,105:201,bus,,,,,,,,,,,,,,,,,,,,12.0
40,2019-11-12,105:201,105:201,private_transport,,,,,,,,,,,,,,,,,19.0,,,
40,2019-11-12,105:201,106:208,private_transport,,,,,,,,,,,,,,,,,12.0,,,
40,2019-11-12,105:201,75:313,private_transport,,,,,,,,,11.0,,,,59.0,,,,,,,
40,2019-11-12,105:201,157:129,private_transport,,,,,,,,,,,,,,,,23.0,,,,
40,2019-11-12,105:201,56:416,bus,,,,,,,,,,,,,,,,,34.0,,,
40,2019-11-12,105:201,56:416,private_transport,,,,,,,,,,,,,,,,,32.0,,,
40,2019-11-12,105:201,59:324,private_transport,,,11.0,,,,,,,,,,,,,,,,,
40,2019-11-12,105:201,98:217,private_transport,,,,,,,,,,,,,,,,,,21.0,,
40,2019-11-12,105:201,103:203,bus,,,11.0,,,,,,,,,,,,,,,,,
40,2019-11-12,105:201,104:202,private_transport,,,,,,,,,,,,,,,,,11.0,,,
40,2019-11-12,105:201,108:170,bus,,,,,,,,,,,,29.0,,,,,,,,
40,2019-11-12,105:201,111:167,bus,,,,,,,,,,,,,,,,13.0,,,,
40,2019-11-12,105:201,111:167,private_transport,,,,,,,,,,,,,,,,14.0,,,,
40,2019-11-12,105:201,151:119,bus,,,,,,,,,,,,19.0,,,,,,,,
40,2019-11-12,105:201,152:134,bus,,,,,,,,,,,,10.0,,,,,,,,
40,2019-11-12,105:201,276:144,private_transport,,,,,,,,,,,,,,,,,,16.0,,
40,2019-11-12,105:201,45:319,bus,,,57.0,,,,,,,,,,,,,,,,,
40,2019-11-12,105:201,45:319,private_transport,13.0,,20.0,,,,,,,,,,,,,,,,,
40,2019-11-12,105:201,48:301,private_transport,22.0,,,,,,,,,,,,,,,,,,,
40,2019-11-12,105:201,51:308,private_transport,,,,,,,,,,,,,14.0,,,,,,,
40,2019-11-12,105:201,57:310,bus,,,,,,,,,,,,,,,,,,,,18.0
40,2019-11-12,105:201,77:312,private_transport,18.0,,,,,,,,,,,,,,,,,,,
40,2019-11-12,106:208,105:201,bus,,,,,,,,,,,,,,,,,,,,13.0
40,2019-11-12,106:208,105:201,private_transport,,,,,,,,,,,,,,,,,10.0,,,
40,2019-11-12,106:208,106:208,private_transport,,,,,,,,,,,,,,,,,15.0,,,
40,2019-11-12,106:208,75:313,private_transport,,,,,,,,,14.0,,,,39.0,,,,,,,
40,2019-11-12,106:208,73:311,private_transport,,,,,,,,,,,,,,,,,,,16.0,
40,2019-11-12,106:208,151:119,bus,,,,,,,,,,,,12.0,,,,,,,,
40,2019-11-12,106:208,152:134,bus,,,,,,,,,,,,11.0,,,,,,,,
40,2019-11-12,106:208,45:319,bus,,,28.0,,,,,,,,,,,,,,,,,
40,2019-11-12,106:208,45:319,private_transport,15.0,,,,,,,,,,,,,,,,,,,
40,2019-11-12,106:208,51:308,private_transport,,,,,,,,,,,,,12.0,,,,11.0,,,
40,2019-11-12,106:208,57:310,bus,,,,,,,,,,,,,,,,,,,,10.0
40,2019-11-12,106:208,77:312,private_transport,21.0,,,,,,,,,,,,,,,,,,,
40,2019-11-12,106:208,114:156,private_transport,,,,,,,,,,,,,,,,,,,11.0,
40,2019-11-12,106:208,37:537,private_transport,,,,,,,,,,,,,,,,,19.0,,,
40,2019-11-12,107:207,75:313,private_transport,,,,,,,,,36.0,,,,,,,,,,,
40,2019-11-12,107:207,73:311,private_transport,,,,,,,,,,,,,,,,,,,12.0,
40,2019-11-12,107:207,114:156,private_transport,,,,,,,,,,,,,,,,,,,13.0,
40,2019-11-12,107:207,37:537,private_transport,,,,,,,,,,,,,,,,,53.0,,,
40,2019-11-12,109:169,37:537,private_transport,,,,,20.0,,,,,,,,,,,,,,,
40,2019-11-12,109:169,39:402,private_transport,,,,,,,,19.0,,,,,,,,,,,,
40,2019-11-12,109:169,60:304,private_transport,,,,,,,,,,,11.0,,,,,,,,,
40,2019-11-12,109:169,66:316,private_transport,,,,,,,,,,,,,,,,,,,,62.0
40,2019-11-12,110:168,75:313,private_transport,,,,,,,,,,,,,,,,,,,,89.0
40,2019-11-12,110:168,52:325,private_transport,,,18.0,,,,,,,,,,,,,,,,,
40,2019-11-12,110:168,59:324,private_transport,,,83.0,,,,,,,,,,,,,,,,,
40,2019-11-12,110:168,37:537,private_transport,,,17.0,,,,,,,,,,,,,,,,,
40,2019-11-12,110:168,60:304,private_transport,,,,,,,,,,,87.0,,,,,,,,,
40,2019-11-12,110:168,66:316,bus,,,,74.0,,,,,,,,,,,,,,,,
40,2019-11-12,110:168,66:316,private_transport,,,,56.0,,,,,,,,,,,,,,,,12.0
40,2019-11-12,110:168,71:326,private_transport,,,14.0,,,,,,,,,,,,,,,,,
40,2019-11-12,111:167,75:313,private_transport,,,,,,122.0,,,,,,,,,,,,,,26.0
40,2019-11-12,111:167,73:311,private_transport,,,14.0,,,,,,,,,,,,,,16.0,,,
40,2019-11-12,111:167,66:316,private_transport,,,,,,,,,,,,,,,32.0,,,,,
40,2019-11-12,111:167,55:409,private_transport,,,,,,,,,,,,,,,,,,,,14.0
40,2019-11-12,111:167,81:323,private_transport,,,,,25.0,,,,,,,,,,,,,,,
40,2019-11-12,112:158,75:313,private_transport,,,,,,,,,36.0,,,,,,,,,,,
40,2019-11-12,112:158,157:129,private_transport,,,,,11.0,,,,,,,,,,,,,,,
40,2019-11-12,112:158,73:311,private_transport,,,,,,,,,,,,,,,,,,,11.0,
40,2019-11-12,112:158,51:308,private_transport,,,,,,,,,10.0,,,,,,,,,,,
40,2019-11-12,112:158,37:537,private_transport,,,,,,,,,,,,,,,,,44.0,,,
40,2019-11-12,113:157,75:313,private_transport,,,,,,37.0,,,,,,,,,,,,,,
40,2019-11-12,113:157,9:509,private_transport,,,,,,,,,,,,,,10.0,,,,,,
40,2019-11-12,113:157,70:318,private_transport,,,43.0,,,,,,,,,,,,,,,,,
40,2019-11-12,114:156,157:129,bus,,,,,14.0,,,,,,,,,,,,,,,
40,2019-11-12,114:156,157:129,private_transport,,,,,13.0,,,,,,,,14.0,,,,,,,
40,2019-11-12,114:156,73:311,private_transport,,,,,,,,,,,,,,,,,,,56.0,
40,2019-11-12,114:156,111:167,private_transport,,,,,,,,,,,,,16.0,,,,,,,
40,2019-11-12,114:156,114:156,private_transport,,,,,,,,,,,,,,,,,,,17.0,
40,2019-11-12,114:156,107:207,private_transport,,,,,,,,,,,,,,,,,,,13.0,
