ProjectID,Date,Origin,Destination,Modo,0700_0759,0900_0959,1000_1059,1100_1159,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159
40,2020-03-05,101:205,101:205,bus,,14.0,,,,,,,,10.0,
40,2020-03-05,101:205,101:205,private_transport,,10.0,,,,,,,,,
40,2020-03-05,101:205,110:168,bus,21.0,,,,,,,,,,
40,2020-03-05,101:205,110:168,private_transport,12.0,19.0,,,,,,,,,
40,2020-03-05,101:205,111:167,private_transport,,11.0,,,,,,,,,
40,2020-03-05,101:205,126:160,bus,,,,,16.0,,,,,,
40,2020-03-05,101:205,126:160,private_transport,,,,,16.0,,,,,,
40,2020-03-05,101:205,146:124,bus,,,,,,16.0,,,,27.0,
40,2020-03-05,101:205,151:119,private_transport,,13.0,,,,,,,,,
40,2020-03-05,101:205,62:307,private_transport,,,,,53.0,,,,,,
40,2020-03-05,101:205,89:118,bus,,11.0,,,,,,,,,
40,2020-03-05,101:205,90:117,bus,,,,,15.0,,,,,,
40,2020-03-05,101:205,90:117,private_transport,,,,,11.0,,,,,,
40,2020-03-05,102:204,110:168,bus,17.0,10.0,,,,,,,,,
40,2020-03-05,102:204,110:168,private_transport,,10.0,,,,,,,,,
40,2020-03-05,102:204,126:160,bus,,,,,12.0,,,,,,
40,2020-03-05,102:204,126:160,private_transport,,,,,15.0,,,,,,
40,2020-03-05,102:204,146:124,bus,,,,,,13.0,,,,17.0,
40,2020-03-05,102:204,62:307,private_transport,,,,,27.0,,,,,,
40,2020-03-05,102:204,90:117,bus,,,,,11.0,,,,,,
40,2020-03-05,102:204,104:202,private_transport,,13.0,,,,,,,,,
40,2020-03-05,109:169,146:124,bus,,,,,,,,,10.0,,
40,2020-03-05,109:169,146:124,private_transport,,,,,,,,,16.0,,
40,2020-03-05,120:166,120:166,bus,34.0,,,,,,,,,,
40,2020-03-05,120:166,120:166,private_transport,15.0,,,,,,,,,,
40,2020-03-05,120:166,136:150,bus,16.0,,,,,,,,,,
40,2020-03-05,120:166,141:145,bus,24.0,,,,,,,,,,
40,2020-03-05,122:164,122:164,bus,,,14.0,,,,,,,,
40,2020-03-05,122:164,127:159,bus,,,11.0,,,,,,,,
40,2020-03-05,126:160,146:124,bus,,,,,,,13.0,,,,
40,2020-03-05,128:142,146:124,private_transport,,,,,,,,,17.0,,
40,2020-03-05,129:141,101:205,bus,,,,,,,14.0,,,,
40,2020-03-05,129:141,101:205,private_transport,,,,,,,11.0,,,,
40,2020-03-05,129:141,146:124,bus,,,,,,,50.0,,,,
40,2020-03-05,129:141,146:124,private_transport,,,,,,,32.0,,,,
40,2020-03-05,129:141,102:204,private_transport,,,,,,,12.0,,,,
40,2020-03-05,134:136,146:124,private_transport,,,,,,,,10.0,,,
40,2020-03-05,136:150,120:166,bus,17.0,,,,,,,,,,
40,2020-03-05,141:145,146:124,bus,,,,,,,,10.0,,,
40,2020-03-05,141:145,120:166,bus,21.0,,,,,,,,,,
40,2020-03-05,141:145,136:150,bus,10.0,,,,,,,,,,
40,2020-03-05,144:126,101:205,private_transport,,,,,,,,,,,10.0
40,2020-03-05,144:126,146:124,bus,,,,,,,,,,,28.0
40,2020-03-05,144:126,146:124,private_transport,,,,,,,,,,,34.0
40,2020-03-05,145:125,101:205,bus,,,,,,,,22.0,,,
40,2020-03-05,145:125,101:205,private_transport,,,,,,,,17.0,,,
40,2020-03-05,145:125,146:124,bus,,,,,,,,47.0,,,
40,2020-03-05,145:125,146:124,private_transport,,,,,,,,28.0,,,
40,2020-03-05,145:125,151:119,bus,,,,,,,,13.0,,,
