ProjectID,Date,Origin,Destination,Modo,0600_0659,0800_0859,0900_0959,1000_1059,1100_1159,1300_1359,1400_1459,1500_1559,1600_1659,1800_1859
40,2020-03-12,101:205,101:205,bus,,18.0,14.0,,12.0,,,,,
40,2020-03-12,101:205,102:204,bus,,,12.0,,,,,,,
40,2020-03-12,101:205,102:204,private_transport,,,10.0,,,,,,,
40,2020-03-12,101:205,129:141,bus,,,,,,,,,17.0,
40,2020-03-12,101:205,129:141,private_transport,,,,,,,,,17.0,
40,2020-03-12,101:205,146:124,bus,,29.0,14.0,,14.0,,,28.0,,
40,2020-03-12,101:205,146:124,private_transport,,11.0,,,,,,,,
40,2020-03-12,101:205,61:413,private_transport,,,,60.0,,,,,,
40,2020-03-12,101:205,76:314,private_transport,,,57.0,,,,,,,
40,2020-03-12,101:205,92:115,bus,11.0,,,,,,,,,
40,2020-03-12,101:205,92:115,private_transport,11.0,,,,,,,,,
40,2020-03-12,102:204,146:124,bus,,,,,,,,15.0,,
40,2020-03-12,102:204,61:413,private_transport,,,,13.0,,,,,,
40,2020-03-12,102:204,76:314,private_transport,,,21.0,,,,,,,
40,2020-03-12,126:160,96:111,bus,,,11.0,,,,,,,
40,2020-03-12,129:141,154:132,bus,,,,,,,,12.0,,
40,2020-03-12,146:124,101:205,bus,,16.0,16.0,,18.0,,,28.0,,
40,2020-03-12,146:124,102:204,bus,,14.0,14.0,,16.0,,,11.0,,
40,2020-03-12,146:124,129:141,bus,,,,,,,,,30.0,
40,2020-03-12,146:124,129:141,private_transport,,,,,,,,,31.0,
40,2020-03-12,146:124,146:124,bus,,49.0,40.0,,49.0,,,75.0,,
40,2020-03-12,146:124,146:124,private_transport,,10.0,,,25.0,,,,,
40,2020-03-12,146:124,61:413,private_transport,,,,141.0,,,,,,
40,2020-03-12,146:124,76:314,private_transport,,,128.0,,,,,,,
40,2020-03-12,146:124,92:115,bus,26.0,,,,,,,,,
40,2020-03-12,146:124,92:115,private_transport,26.0,,,,,,,,,
40,2020-03-12,146:124,151:119,bus,,14.0,,,,,,10.0,,
40,2020-03-12,146:124,151:119,private_transport,,,11.0,,10.0,,,,,
40,2020-03-12,146:124,87:104,bus,37.0,,,,,,,,,
40,2020-03-12,146:124,87:104,private_transport,36.0,,,,,,,,,
40,2020-03-12,146:124,89:118,bus,,,,,,,,,14.0,
40,2020-03-12,146:124,89:118,private_transport,,,,,,,,,14.0,
40,2020-03-12,151:119,101:205,bus,,,,,,,,10.0,,
40,2020-03-12,151:119,61:413,private_transport,,,,15.0,,,,,,
40,2020-03-12,151:119,89:118,bus,,,,,,,,10.0,,
40,2020-03-12,152:134,89:118,private_transport,,,,,,,,10.0,,
40,2020-03-12,154:132,129:141,bus,,,,,,,,10.0,,
40,2020-03-12,154:132,154:132,bus,,,,,,,,21.0,,
40,2020-03-12,154:132,154:132,private_transport,,,,,,,,11.0,,
40,2020-03-12,154:132,151:119,bus,,,,,,,,13.0,,
40,2020-03-12,154:132,89:118,bus,,,,,,,,23.0,,
40,2020-03-12,154:132,89:118,private_transport,,,,,,,,13.0,,
40,2020-03-12,160:110,101:205,bus,,,13.0,,,,,,,
40,2020-03-12,160:110,101:205,private_transport,,,,,,,20.0,,,
40,2020-03-12,160:110,102:204,bus,,,,,,,13.0,,,
40,2020-03-12,160:110,146:124,bus,,,17.0,,,,27.0,,,
40,2020-03-12,160:110,146:124,private_transport,,,,,,,30.0,,,
40,2020-03-12,160:110,151:119,private_transport,,,,,,,11.0,,,
40,2020-03-12,160:110,160:110,bus,,,12.0,,,,,,,
40,2020-03-12,83:108,129:141,bus,,,,,,29.0,,,,
40,2020-03-12,83:108,129:141,private_transport,,,,,,10.0,,,,
40,2020-03-12,83:108,130:140,bus,,,,,,40.0,,,,
40,2020-03-12,83:108,130:140,private_transport,,,,,,11.0,,,,
40,2020-03-12,83:108,83:108,bus,,,,,,27.0,,,,
40,2020-03-12,83:108,83:108,private_transport,,,,,,10.0,,,,
40,2020-03-12,85:106,96:111,bus,,,,,,,,,,10.0
40,2020-03-12,85:106,160:110,bus,,,,,,,,,,25.0
40,2020-03-12,86:105,146:124,bus,,,,,,,,,,11.0
40,2020-03-12,87:104,101:205,bus,,,,,,,,,,14.0
40,2020-03-12,87:104,102:204,bus,,,,,,,,,,10.0
40,2020-03-12,87:104,146:124,bus,,,,,,,,,,15.0
40,2020-03-12,87:104,146:124,private_transport,,,,,,,,,,42.0
40,2020-03-12,88:103,160:110,bus,,,,,,,,,,12.0
40,2020-03-12,89:118,154:132,bus,,,,,,,,17.0,,
40,2020-03-12,89:118,154:132,private_transport,,,,,,,,13.0,,
40,2020-03-12,89:118,89:118,bus,,,,,,,,11.0,,
40,2020-03-12,90:117,96:111,bus,,,,,,,,,,22.0
40,2020-03-12,90:117,160:110,bus,,,,,,,,,,27.0
40,2020-03-12,90:117,126:160,bus,,,,,,,,,,13.0
40,2020-03-12,90:117,145:125,bus,,,,,,,,,,10.0
40,2020-03-12,90:117,156:130,bus,,,,,,,,,,19.0
40,2020-03-12,91:116,101:205,private_transport,,,,,,,,,,10.0
40,2020-03-12,91:116,146:124,bus,,,,,,,,,,16.0
40,2020-03-12,92:115,101:205,bus,,,21.0,,,,,,,
40,2020-03-12,92:115,102:204,bus,,,15.0,,,,,,,
40,2020-03-12,92:115,102:204,private_transport,,,10.0,,,,,,,
40,2020-03-12,92:115,146:124,bus,,,40.0,,,,11.0,,,
40,2020-03-12,92:115,146:124,private_transport,,,12.0,,,,,,,
40,2020-03-12,96:111,101:205,bus,,,,,,,10.0,,,
40,2020-03-12,96:111,146:124,private_transport,,,,,,,15.0,,,
40,2020-03-12,96:111,160:110,private_transport,,,10.0,,,,,,,
40,2020-03-12,9:509,101:205,private_transport,,24.0,,,,,,,,
40,2020-03-12,9:509,102:204,private_transport,,10.0,,,,,,,,
40,2020-03-12,9:509,146:124,private_transport,,74.0,,,,,,,,
40,2020-03-12,9:509,151:119,private_transport,,11.0,,,,,,,,
