ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
40,2020-03-04,100:206,61:413,private_transport,,,,,,,,,,,,,,49.0,,,,,,,
40,2020-03-04,101:205,61:413,private_transport,,,,,,,,,,,,,,12.0,,,,,,,
40,2020-03-04,101:205,110:168,private_transport,,,,,,10.0,,,,,,,,,,,,,,,
40,2020-03-04,101:205,149:121,bus,,,,,20.0,,,,,,,,,,,,,,,,
40,2020-03-04,101:205,149:121,private_transport,,,,,11.0,,,,,,,,,,,,,,,,
40,2020-03-04,101:205,160:110,bus,,,,,,,,,,,,,,,,11.0,,,,,
40,2020-03-04,101:205,160:110,private_transport,,,,,,,,,,,,,,,,11.0,,,,,
40,2020-03-04,101:205,37:537,private_transport,,,,,,14.0,,,,,,,,,,,,,,,
40,2020-03-04,103:203,45:319,bus,,,,,10.0,,,,,,,,,,,,,,,,
40,2020-03-04,103:203,96:111,private_transport,,,,,,,,,,,,,,,,,,,,11.0,
40,2020-03-04,103:203,9:509,private_transport,,,,,,,,,11.0,,,,,,,10.0,,,,,
40,2020-03-04,104:202,110:168,bus,,,,,,33.0,,,,,,,,,,,,,,,
40,2020-03-04,104:202,110:168,private_transport,,,,,,46.0,,,,,,,,,,,,,,,
40,2020-03-04,104:202,104:202,bus,,,,,,25.0,,,,,,,,,,,,,,,
40,2020-03-04,104:202,104:202,private_transport,,,,,,27.0,,,,,,,,,,,,,,,
40,2020-03-04,104:202,111:167,bus,,,,,,15.0,,,,,,,,,,,,,,,
40,2020-03-04,104:202,111:167,private_transport,,,,,,15.0,,,,,,,,,,,,,,,
40,2020-03-04,104:202,116:154,bus,,,,,,14.0,,,,,,,,,,,,,,,
40,2020-03-04,104:202,116:154,private_transport,,,,,,12.0,,,,,,,,,,,,,,,
40,2020-03-04,104:202,135:135,bus,,,,,,20.0,,,,,,,,,,,,,,,
40,2020-03-04,104:202,135:135,private_transport,,,,,,18.0,,,,,,,,,,,,,,,
40,2020-03-04,104:202,147:123,bus,,,,,,11.0,,,,,,,,,,,,,,,
40,2020-03-04,104:202,147:123,private_transport,,,,,,14.0,,,,,,,,,,,,,,,
40,2020-03-04,105:201,158:128,bus,,,,,,28.0,,,,,,,,,,,,,,,
40,2020-03-04,105:201,158:128,private_transport,,,,,,27.0,,,,,,,,,,,,,,,
40,2020-03-04,105:201,88:103,bus,,,,,,14.0,,,,,,,,,,,,,,,
40,2020-03-04,105:201,88:103,private_transport,,,,,,10.0,,,,,,,,,,,,,,,
40,2020-03-04,105:201,97:102,private_transport,,,,,,11.0,,,,,,,,,,,,,,,
40,2020-03-04,106:208,158:128,bus,,,,,,20.0,,,,,,,,,,,,,,,
40,2020-03-04,106:208,158:128,private_transport,,,,,,11.0,,,,,,,,,,,,,,,
40,2020-03-04,106:208,88:103,private_transport,,,,,,11.0,,,,,,,,,,,,,,,
40,2020-03-04,106:208,107:207,bus,,,,,,,,,,,,,,,,,,14.0,,,
40,2020-03-04,106:208,112:158,bus,,,,,,,,,,,,,,,,,,10.0,,,
40,2020-03-04,107:207,61:413,bus,,,,,,,,,,,,,,,,,,,,,10.0
40,2020-03-04,107:207,61:413,private_transport,,,,,,,,,,,,,,34.0,,,,,,,13.0
40,2020-03-04,107:207,107:207,bus,,,,,,,,,,,,,,,,,,24.0,,,
40,2020-03-04,107:207,107:207,private_transport,,,,,,,,,,,,,,,,,,18.0,,,
40,2020-03-04,107:207,112:158,bus,,,,,,,,,,,,,,,,,,21.0,,,
40,2020-03-04,107:207,106:208,private_transport,,,,,,,,,,,,,,,,,,13.0,,,
40,2020-03-04,108:170,110:168,private_transport,,,,,,14.0,,,,,,,,,,,,,,,
40,2020-03-04,108:170,160:110,bus,,,,,,,,,,,,,,,,15.0,,,,,
40,2020-03-04,108:170,37:537,private_transport,,,,,,44.0,,,,,,,,,,,,,,,
40,2020-03-04,108:170,111:167,bus,,,,,,11.0,,,,,,,,,,,,,,,
40,2020-03-04,108:170,112:158,private_transport,,,,,,21.0,,,,,,,,,,,,,,,
40,2020-03-04,108:170,109:169,bus,,,,,,13.0,,,,,,,,,,,,,,,
40,2020-03-04,108:170,126:160,private_transport,,,,,,,,,,,,,,,,11.0,,,,,
40,2020-03-04,108:170,144:126,private_transport,,,,,,,,10.0,,,,,,,,,,,,,
40,2020-03-04,108:170,156:130,private_transport,,,,,,16.0,,,,,,,,,,,,,,,
40,2020-03-04,108:170,83:108,bus,,,,,,14.0,,,,,,,,,,,,,,,
40,2020-03-04,108:170,83:108,private_transport,,,,,,10.0,,,,,,,,,,,,,,,
40,2020-03-04,108:170,87:104,private_transport,,,,,,,,22.0,,,,,,,,,,,,,
40,2020-03-04,108:170,98:217,bus,,,,,,15.0,,,,,,,,,,,,,,,
40,2020-03-04,109:169,61:413,private_transport,,,,,,,,,,,,,,,41.0,,,,,,
40,2020-03-04,109:169,110:168,bus,,,,,,,,,,,,,,15.0,,,,,,,
40,2020-03-04,109:169,110:168,private_transport,,,,,,,,,,,,,,15.0,,,,,,,
40,2020-03-04,109:169,104:202,bus,,,,,,,,,,,,,,11.0,,,,,,,
40,2020-03-04,109:169,87:104,bus,,,,,12.0,,,,,,,,,,,,,,,,
40,2020-03-04,109:169,141:145,bus,,,,,,,,10.0,,,,,,,,,,,,,
40,2020-03-04,109:169,141:145,private_transport,,,,,,,,10.0,,,,,,,,,,,,,
40,2020-03-04,109:169,145:125,private_transport,,,,,,,,18.0,,,,,,,,,,,,,
40,2020-03-04,110:168,110:168,bus,,,,,,36.0,,,,,,,,64.0,,,,,,,
40,2020-03-04,110:168,110:168,private_transport,,,,,,71.0,,,,,,,,50.0,,,,,,,
40,2020-03-04,110:168,149:121,private_transport,,,,,,14.0,,,13.0,,,,,,,,,,,,
40,2020-03-04,110:168,160:110,bus,,,,,,,,,,,31.0,,,,,,,,,,
40,2020-03-04,110:168,160:110,private_transport,,,,,,,,,,,17.0,,,,,,,,,,
40,2020-03-04,110:168,96:111,bus,,,,,,,,,,,36.0,,,,,,,,,,
40,2020-03-04,110:168,104:202,bus,,,,,,19.0,,,,,,,,40.0,,,,,,,
40,2020-03-04,110:168,104:202,private_transport,,,,,,39.0,,,,,,,,32.0,,,,,,,
40,2020-03-04,110:168,111:167,bus,,,,,,10.0,,,,,,,,,,,,,,,
40,2020-03-04,110:168,111:167,private_transport,,,,,,10.0,,,,,,,,,,,,,,,
40,2020-03-04,110:168,116:154,bus,,,,,,18.0,,,,,,,,,,,,,,,
40,2020-03-04,110:168,135:135,bus,,,,,,24.0,,,,,,,,,,,,,,,
40,2020-03-04,110:168,135:135,private_transport,,,,,,15.0,,,,,,,,,,,,,,,
40,2020-03-04,110:168,109:169,bus,,,,,,,,,12.0,,,,,,,,,,,,
40,2020-03-04,110:168,83:108,private_transport,,,,,,,,,26.0,,,,,,,,,,,,
40,2020-03-04,110:168,98:217,bus,,,,,,,,,16.0,,,,,,,,,,,,
40,2020-03-04,110:168,98:217,private_transport,,,,,,,,,17.0,,,,,,,,,,,,
40,2020-03-04,110:168,108:170,bus,,,,,,,,,,,12.0,,,,,,,,,,
40,2020-03-04,110:168,124:162,bus,,,,,11.0,,,,,,,,,,,,,,,,
40,2020-03-04,110:168,128:142,private_transport,,,,,,,,,18.0,,,,,,,,,,,,
40,2020-03-04,111:167,110:168,bus,,,,,,18.0,,,,,,,,11.0,,,,,,,
40,2020-03-04,111:167,110:168,private_transport,,,,,,13.0,,,,,,,,22.0,,16.0,,,,,
40,2020-03-04,111:167,149:121,bus,,,,,,,,,,,,,14.0,,,,,,,,
40,2020-03-04,111:167,149:121,private_transport,,,,,,12.0,,,,,,,,,,,,,,,
40,2020-03-04,111:167,160:110,bus,,,,,,,12.0,,,,,,,,,,,,,,
40,2020-03-04,111:167,160:110,private_transport,,,,,,,10.0,,,,,,,,,,,,,,
40,2020-03-04,111:167,9:509,bus,,,,,,,,,,,,,,,,,13.0,,,,
40,2020-03-04,111:167,9:509,private_transport,,,,,,,,,,,,,,,,,12.0,,,,
40,2020-03-04,111:167,104:202,bus,,,,,16.0,,,,,,,,,,,,,,,,
40,2020-03-04,111:167,104:202,private_transport,,,,,12.0,,,,,,,,,,,,,,,,
40,2020-03-04,111:167,111:167,bus,,,,,,,,,20.0,10.0,,,,,,17.0,,,,,
40,2020-03-04,111:167,111:167,private_transport,,,,,,,,,35.0,,12.0,,,,,,,,,,
40,2020-03-04,111:167,135:135,bus,,,,,,15.0,,,,,,,,,,,,,,,
40,2020-03-04,111:167,147:123,private_transport,,,,,,,,,,,,,,10.0,,,,,,,
40,2020-03-04,111:167,158:128,bus,,,,,10.0,,,,,,,,,,,,,,,,
40,2020-03-04,111:167,88:103,bus,,,,,,16.0,,,,,,,,,,,,,,,
40,2020-03-04,111:167,88:103,private_transport,,,,,,13.0,,,,,,,,,,,,,,,
40,2020-03-04,111:167,97:102,private_transport,,,,,,15.0,,,12.0,,,,,,,,,,,,
40,2020-03-04,111:167,156:130,bus,,,,,,,,24.0,,,,,,,,,,,,,
40,2020-03-04,111:167,87:104,bus,,,,,,,,,,,15.0,,,,,,,,,,
40,2020-03-04,111:167,141:145,bus,,,,,,,,,,,,,,21.0,,,,,,,
40,2020-03-04,111:167,108:170,bus,,,,,,,11.0,,,,,,,,,,,,,,
40,2020-03-04,111:167,103:203,bus,,,,12.0,,,,,,,,,,,,,,,,,
40,2020-03-04,111:167,121:165,private_transport,,,,,12.0,,,,14.0,28.0,,,,,,,,,,,
40,2020-03-04,111:167,122:164,bus,,,,,,,,,10.0,,,14.0,,,,,,,,,
40,2020-03-04,111:167,122:164,private_transport,,,,,,20.0,,,,,,,,,,,,,,,
40,2020-03-04,111:167,123:163,private_transport,,,,,,,,,,,,,,10.0,,,,,,,
40,2020-03-04,111:167,127:159,bus,,,,,,,,,,,,15.0,,,,,,,,,
40,2020-03-04,111:167,138:148,bus,,,,14.0,,,,,,,,,,,,,,,,,
40,2020-03-04,111:167,148:122,bus,,,,,,,,,34.0,19.0,,,,,,24.0,,,,,
40,2020-03-04,111:167,148:122,private_transport,,,,,,,,,99.0,,,,,,,35.0,,11.0,,,
40,2020-03-04,111:167,150:120,private_transport,,,,,,,,,24.0,,,,,,,,,,,,
40,2020-03-04,111:167,155:131,bus,,,,,,,,14.0,,,,,,,,,,,,,
40,2020-03-04,111:167,157:129,bus,,,,,23.0,,,,30.0,,,,,,,12.0,,,,,
40,2020-03-04,111:167,157:129,private_transport,,,,,,,,,26.0,,,19.0,,,,,,,,,
40,2020-03-04,111:167,159:127,private_transport,,,,,,,,,,,,,,,,25.0,,,,,
40,2020-03-04,111:167,25:525,private_transport,,,,,,,,,,,,,,,,,12.0,,,,
40,2020-03-04,111:167,32:532,private_transport,,,,,,,,,,,,,,,,,18.0,,,,
40,2020-03-04,111:167,85:106,bus,,,,,,15.0,,,,,,,,,,,,,,,
40,2020-03-04,111:167,85:106,private_transport,,,,,,11.0,,,,,,,,,,,,,,,
40,2020-03-04,111:167,93:114,private_transport,,,,,,12.0,,,,,,,,,,,,,,,
40,2020-03-04,111:167,94:113,bus,,,,,,,,,,,,10.0,,,,,,,,,
40,2020-03-04,112:158,107:207,bus,,,,,,,,,,,,,,,,,,25.0,,,
40,2020-03-04,112:158,112:158,bus,,,,,,,,,,,,,,,,,,17.0,,,
40,2020-03-04,112:158,112:158,private_transport,,,,,,,,,,,,,,,,,,15.0,,,
