ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0300_0359,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2200_2259
40,2020-03-11,110:168,90:117,private_transport,,,,10.0,,,,,,,,,,,,,,,
40,2020-03-11,111:167,50:412,bus,,,,10.0,,,,,,,,,,,,,,,
40,2020-03-11,111:167,50:412,private_transport,,152.0,,,,,,,,,,,,,,,,,
40,2020-03-11,111:167,64:306,private_transport,,,,,,,17.0,,,,,,,,,,,,
40,2020-03-11,111:167,148:122,bus,,,,24.0,,,,,,,,,,,,,,,
40,2020-03-11,111:167,148:122,private_transport,,,,,90.0,,,,,,,,,,,,,,
40,2020-03-11,111:167,104:202,bus,,,,,,13.0,,,31.0,47.0,,,,20.0,12.0,,,21.0,
40,2020-03-11,111:167,104:202,private_transport,,,,,,34.0,,,,22.0,16.0,,,28.0,13.0,,,42.0,
40,2020-03-11,111:167,110:168,bus,,,,,,,,,,,,,,20.0,,,,48.0,
40,2020-03-11,111:167,110:168,private_transport,,,,,,26.0,,,,,,,,18.0,,,,52.0,
40,2020-03-11,111:167,111:167,bus,,,,67.0,,10.0,,,29.0,47.0,,,,,94.0,43.0,,13.0,
40,2020-03-11,111:167,111:167,private_transport,,,,,31.0,28.0,,,,24.0,,,,,48.0,108.0,,21.0,
40,2020-03-11,111:167,126:160,private_transport,,,,10.0,,,,,,,,,,,,,,,
40,2020-03-11,111:167,135:135,bus,,,,,,,,,35.0,,,,,,,,,,
40,2020-03-11,111:167,135:135,private_transport,,,,,,,,,19.0,,,,,,,,,,
40,2020-03-11,111:167,138:148,bus,,,,,,,,,,,,,,,10.0,,,,
40,2020-03-11,111:167,138:148,private_transport,,,,,,,,,,,,,,,,12.0,,,
40,2020-03-11,111:167,144:126,private_transport,,,,,,,,,,14.0,,,,,,,,,13.0
40,2020-03-11,111:167,86:105,private_transport,,,,,,,,,,10.0,,,,,,,,,
