ProjectID,Date,Origin,Destination,Modo,0700_0759,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1800_1859,1900_1959,2100_2159
40,2019-11-21,101:205,109:169,bus,,10.0,,,,,,,13.0
40,2019-11-21,101:205,109:169,private_transport,,,,,,,,,11.0
40,2019-11-21,101:205,110:168,bus,,10.0,,,,,,,
40,2019-11-21,101:205,122:164,private_transport,,11.0,,,,,,,
40,2019-11-21,101:205,123:163,bus,,12.0,,,,,,,
40,2019-11-21,101:205,123:163,private_transport,,10.0,,,,,,,
40,2019-11-21,101:205,128:142,bus,,,,,,,,,12.0
40,2019-11-21,101:205,128:142,private_transport,,,,,,,,,10.0
40,2019-11-21,101:205,129:141,bus,,,,,,,,23.0,
40,2019-11-21,101:205,129:141,private_transport,,,,,,,,12.0,
40,2019-11-21,101:205,145:125,private_transport,,,,,14.0,,,,
40,2019-11-21,101:205,146:124,bus,,,,,,,14.0,,
40,2019-11-21,101:205,149:121,bus,,21.0,,,,,,,
40,2019-11-21,101:205,150:120,bus,26.0,12.0,,,,,,,
40,2019-11-21,101:205,150:120,private_transport,,10.0,,,,,,,
40,2019-11-21,101:205,83:108,bus,,,,,,,,,14.0
40,2019-11-21,101:205,83:108,private_transport,,,,,,,,,11.0
40,2019-11-21,101:205,97:102,bus,13.0,,,,,,,,
40,2019-11-21,101:205,98:217,bus,,,,,,,,,13.0
40,2019-11-21,101:205,98:217,private_transport,,,,,,,,,10.0
40,2019-11-21,102:204,123:163,bus,,11.0,,,,,,,
40,2019-11-21,102:204,129:141,bus,,,,,,,,13.0,
40,2019-11-21,102:204,146:124,bus,,,,,,,12.0,,
40,2019-11-21,102:204,150:120,bus,11.0,,,,,,,,
40,2019-11-21,102:204,150:120,private_transport,11.0,,,,,,,,
40,2019-11-21,102:204,98:217,private_transport,,,,,,,,,11.0
40,2019-11-21,102:204,143:143,bus,,,,,,,,,11.0
40,2019-11-21,115:155,145:125,bus,,,,14.0,,,,,
40,2019-11-21,115:155,145:125,private_transport,,,,11.0,,,,,
40,2019-11-21,115:155,126:160,bus,,,,11.0,,,,,
40,2019-11-21,115:155,156:130,private_transport,,,,13.0,,,,,
40,2019-11-21,115:155,160:110,bus,,,,23.0,,,,,
40,2019-11-21,141:145,145:125,bus,,,,,,16.0,,,
40,2019-11-21,141:145,149:121,bus,,,10.0,,,,,,
40,2019-11-21,145:125,122:164,bus,,,15.0,,,,,,
40,2019-11-21,145:125,145:125,bus,,,,,,60.0,,,
40,2019-11-21,145:125,145:125,private_transport,,,,,,34.0,,,
40,2019-11-21,145:125,149:121,bus,,,22.0,,,,,,
40,2019-11-21,145:125,150:120,bus,,,18.0,,,,,,
40,2019-11-21,145:125,156:130,bus,,,,,,11.0,,,
40,2019-11-21,145:125,155:131,bus,,,,,,15.0,,,
40,2019-11-21,145:125,155:131,private_transport,,,,,,12.0,,,
40,2019-11-21,146:124,109:169,bus,,,,,,,,,14.0
40,2019-11-21,146:124,109:169,private_transport,,11.0,,,,,,,
40,2019-11-21,146:124,122:164,bus,10.0,24.0,,,,,,,
40,2019-11-21,146:124,123:163,bus,,13.0,,,,,,,
40,2019-11-21,146:124,128:142,bus,,,,,,,,,10.0
40,2019-11-21,146:124,129:141,bus,,,,,,,,53.0,
40,2019-11-21,146:124,129:141,private_transport,,,,,,,,17.0,
40,2019-11-21,146:124,145:125,bus,,,,,10.0,,,,
40,2019-11-21,146:124,145:125,private_transport,,,,,56.0,,,,
40,2019-11-21,146:124,146:124,bus,,,,,,,40.0,,
40,2019-11-21,146:124,146:124,private_transport,,,,,,,27.0,,
40,2019-11-21,146:124,149:121,bus,,42.0,,,,,,,
40,2019-11-21,146:124,149:121,private_transport,,12.0,,,,,,,
40,2019-11-21,146:124,150:120,bus,51.0,12.0,,,,,,,
40,2019-11-21,146:124,150:120,private_transport,14.0,10.0,,,,,,,
40,2019-11-21,146:124,83:108,bus,,,,,,,,,24.0
40,2019-11-21,146:124,97:102,bus,17.0,,,,,,,,
40,2019-11-21,146:124,98:217,private_transport,,,,,,,,,12.0
40,2019-11-21,146:124,143:143,bus,,,,,,,,,11.0
40,2019-11-21,146:124,155:131,private_transport,,,,,23.0,,,,
40,2019-11-21,146:124,101:205,bus,,,,,,,27.0,14.0,
40,2019-11-21,146:124,101:205,private_transport,,,,,,,,12.0,
40,2019-11-21,146:124,134:136,private_transport,,,,,19.0,,,,
40,2019-11-21,146:124,141:145,private_transport,,,,,12.0,,,,
40,2019-11-21,146:124,158:128,bus,11.0,,,,,,,,
40,2019-11-21,146:124,89:118,bus,,,,,,,,18.0,
40,2019-11-21,146:124,89:118,private_transport,,,,,,,,10.0,
40,2019-11-21,151:119,129:141,private_transport,,,,,,,,11.0,
40,2019-11-21,155:131,145:125,bus,,,,,,27.0,,,
40,2019-11-21,155:131,149:121,bus,,,13.0,,,,,,
40,2019-11-21,155:131,134:136,bus,,,,,,12.0,,,
40,2019-11-21,75:313,76:314,bus,,,,,,,,188.0,
40,2019-11-21,75:313,76:314,private_transport,,,,,,,,39.0,
