ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
40,2020-03-03,100:206,100:206,bus,,,,,,,,,,,,,,15.0,,,,,,
40,2020-03-03,100:206,100:206,private_transport,,,,,,,,,,,,,,12.0,,,,,,
40,2020-03-03,100:206,89:118,private_transport,,,13.0,,,,,,,,,,,,,,,,,
40,2020-03-03,101:205,89:118,bus,,,,19.0,,,,,,,,,,10.0,,,,,,
40,2020-03-03,101:205,101:205,bus,,,,,,,,,,,,,,14.0,,,,,,
40,2020-03-03,101:205,101:205,private_transport,,,,,,,,,,,,,,12.0,,,,,,
40,2020-03-03,101:205,104:202,bus,,,,,,,,,,,,,,,15.0,,,,,
40,2020-03-03,101:205,104:202,private_transport,,,,,,,,,,,,,,,14.0,,,,,
40,2020-03-03,101:205,110:168,bus,,,,10.0,,,,,,,,,,,19.0,,,,,
40,2020-03-03,101:205,110:168,private_transport,,,,10.0,,,,,,,,,,,18.0,,,,,
40,2020-03-03,101:205,111:167,bus,,,,,,,,,,,,,,,11.0,,,,,
40,2020-03-03,101:205,111:167,private_transport,,,,,,,,,,,,,,,11.0,,,,,
40,2020-03-03,101:205,126:160,bus,,,,,,,,13.0,,,,,,,,,,,,
40,2020-03-03,101:205,126:160,private_transport,,,,,,,,16.0,,,,,,,,,,,,
40,2020-03-03,101:205,129:141,bus,,,,,,,,,,,,,,13.0,,,,,,
40,2020-03-03,101:205,129:141,private_transport,19.0,,,,,,,,,,,,,,,,,,,
40,2020-03-03,101:205,135:135,bus,,,,18.0,,,,,,,,,,,,,,,,
40,2020-03-03,101:205,143:143,bus,,,,,,,,,,,,10.0,,,,,,,,
40,2020-03-03,101:205,143:143,private_transport,,,,,,,,,,,,10.0,,,,,,,,
40,2020-03-03,101:205,151:119,bus,,,,,21.0,,,,,,,,,,,,,,,
40,2020-03-03,101:205,151:119,private_transport,,,,,11.0,,,,,,,,,,,,,,,
40,2020-03-03,101:205,152:134,bus,,,,,,,,10.0,,,,,,,,,,,,
40,2020-03-03,101:205,152:134,private_transport,,,,,,,,11.0,,,,,,,,,,,,
40,2020-03-03,101:205,154:132,bus,,,,10.0,,,,,,,,,,,,,,,,
40,2020-03-03,101:205,156:130,bus,,,,,,,,,,,14.0,,,,,,,,,
40,2020-03-03,101:205,83:108,bus,,,,,,,,,,,,12.0,,,,11.0,,,,
40,2020-03-03,101:205,83:108,private_transport,,,,,,,,,,,,15.0,,,,,,,,
40,2020-03-03,102:204,116:154,private_transport,,,,10.0,,,,,,,,,,,,,,,,
40,2020-03-03,102:204,118:152,bus,,,,,,,,,,,,,,,,,,,11.0,
40,2020-03-03,102:204,134:136,bus,,,,11.0,,,,,,,,,,,,,,,,
40,2020-03-03,103:203,104:202,bus,,,,10.0,,,,,,,,,,,,,,,,
40,2020-03-03,103:203,111:167,bus,,,,10.0,,,,,,,,,,,,,,,,
40,2020-03-03,106:208,154:132,bus,,,,,,,,,,,16.0,,,,,,,,,
40,2020-03-03,106:208,154:132,private_transport,,,,,,,,,,,12.0,,,,,,,,,
