ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
40,2020-03-05,100:206,101:205,private_transport,,,,,,,,11.0,,,,,,,,,,,,,,,,
40,2020-03-05,100:206,107:207,bus,,,,,,,,14.0,,,,,,,,,,,,,,,,
40,2020-03-05,100:206,128:142,private_transport,,,,,,,,12.0,,,,,,,,,,,,,,,,
40,2020-03-05,100:206,137:149,bus,,,,,,,,,,,27.0,,,,,,,,,,,,,
40,2020-03-05,100:206,137:149,private_transport,,,,,,,,,,,28.0,,,,,,,,,,,,,
40,2020-03-05,100:206,143:143,bus,,,,,,,,13.0,,,,,,,,,,,,,,,,
40,2020-03-05,100:206,61:413,private_transport,,61.0,,,,,,,,,,,,,,,,,,,,,,
40,2020-03-05,100:206,83:108,private_transport,,,,,,,,11.0,,,,,,,,,,,,,,,,
40,2020-03-05,101:205,61:413,private_transport,,16.0,,,,,,,,,,,,,,,,,,,,,,
40,2020-03-05,101:205,104:202,private_transport,,,,,,,,,,14.0,,,,,,,,,,,,,,
40,2020-03-05,101:205,110:168,bus,,,,,,,,,,14.0,,,,,,,,,,,,,,
40,2020-03-05,101:205,110:168,private_transport,,,,,,,,,,25.0,,,,,,,,,,,,,,
40,2020-03-05,101:205,155:131,private_transport,,,,,,,,,,,,,,,11.0,,,,,,,,,
40,2020-03-05,101:205,158:128,private_transport,13.0,,,,,,,,,,,,,,,,,,,,,,,
40,2020-03-05,101:205,45:319,bus,,,,,,,,10.0,,,,,,,,,,,,,,,,
40,2020-03-05,102:204,110:168,private_transport,,,,,,10.0,,,,16.0,,,,,,,,,,,,,,
40,2020-03-05,103:203,107:207,private_transport,,,,,,,,11.0,,,,,,,,,,,,,,,,
40,2020-03-05,103:203,137:149,bus,,,,,,,,,,,,,,,14.0,,,20.0,,,,,,
40,2020-03-05,103:203,137:149,private_transport,,,,,,,,,,,,,,12.0,13.0,,,25.0,,,,,,
40,2020-03-05,103:203,104:202,bus,,,,,,,,,,,,,,11.0,,,,,,,,,,
40,2020-03-05,103:203,104:202,private_transport,,,10.0,,,,,,,13.0,,,,,,,18.0,,,,,,,
40,2020-03-05,103:203,110:168,bus,,,,,,,,,,,,,,10.0,,,20.0,,,,,,,
40,2020-03-05,103:203,110:168,private_transport,,,14.0,,,,,,,,13.0,,,,,,,,,,,,,
40,2020-03-05,103:203,158:128,bus,,,,,,,,,,,,,,,,11.0,,,,,,,,
40,2020-03-05,103:203,45:319,bus,,,,,,,,,,45.0,,,,,,,,,,,,,,
40,2020-03-05,103:203,45:319,private_transport,,,,,,,,,,57.0,,,,,,,,,,,,,,
40,2020-03-05,103:203,103:203,bus,,,,,,,13.0,,,11.0,,11.0,,,,,,11.0,,,,,15.0,
40,2020-03-05,103:203,103:203,private_transport,,,,,,,,,,40.0,,12.0,,23.0,,,,11.0,45.0,,,,10.0,
40,2020-03-05,103:203,109:169,bus,,,,,,11.0,,,,,,,,,,,,,,,,,,
40,2020-03-05,103:203,111:167,bus,,,,,,,,,,,,18.0,,,,13.0,,,,,,,,
40,2020-03-05,103:203,111:167,private_transport,,,,,,,,,,,,27.0,,,,21.0,,,,,,,,
40,2020-03-05,103:203,116:154,bus,,,,,12.0,,,,,,,,,,,,,,,,,,,
40,2020-03-05,103:203,116:154,private_transport,,,,,10.0,,,,,,,,,,,,,,,,,,,
40,2020-03-05,103:203,121:165,private_transport,,,,,,,,,,11.0,,,,10.0,,20.0,,,,,,,,
