ProjectID,Date,Origin,Destination,Modo,0000_0059,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
40,2019-11-12,103:203,121:165,private_transport,,,,,,,,,,,32.0,,,,,,,,,
40,2019-11-12,103:203,138:148,private_transport,,,,,,,11.0,,,,,,,,,,,,,
40,2019-11-12,103:203,157:129,private_transport,,,,,,,,,,,28.0,,,,,,,,,
40,2019-11-12,103:203,158:128,private_transport,,,,,,,,,,,15.0,,,,,,,,,
40,2019-11-12,103:203,50:412,private_transport,102.0,,,,,,,,,,11.0,,,,,,,,,
40,2019-11-12,103:203,53:309,private_transport,,,,,,,,,,,50.0,,,,,,,,,
40,2019-11-12,103:203,75:313,private_transport,,,,,,,,,,,,,82.0,,,,,,,
40,2019-11-12,103:203,84:107,private_transport,,,,,,,,,,,10.0,,,,,,,,,
40,2019-11-12,104:202,138:148,private_transport,,,,,,,43.0,,,,,,,,,,,,,
40,2019-11-12,104:202,50:412,private_transport,,,,,,,,,,,,,60.0,,,,,,,
40,2019-11-12,104:202,53:309,private_transport,,,,,,,,,,,12.0,,,,,,,,,
40,2019-11-12,104:202,103:203,private_transport,,,,,,,22.0,,,,,,,,,,,,,
40,2019-11-12,105:201,58:303,private_transport,,,,,,,,,,,,10.0,,,,,,,,
40,2019-11-12,106:208,50:412,private_transport,,,,13.0,,,,,,,,,,,22.0,,,,,
40,2019-11-12,106:208,58:303,private_transport,,,,,,,,,,,,20.0,,,,,,,,
40,2019-11-12,107:207,50:412,private_transport,,,,19.0,,,,,,,,,,,57.0,,,,,
40,2019-11-12,107:207,58:303,bus,,,,,,,,,34.0,,,,,,,,,,,
40,2019-11-12,107:207,58:303,private_transport,,,,,,,,,40.0,,,59.0,,,,,,,,
40,2019-11-12,109:169,50:412,private_transport,,,,,18.0,,,,,,,,,,,,,,,
40,2019-11-12,109:169,53:309,private_transport,,,,21.0,,,,,,,,,,,,,,,,
40,2019-11-12,109:169,72:411,private_transport,,,,,,,,,,,,,,,27.0,,,,,
40,2019-11-12,110:168,50:412,private_transport,,,,,127.0,,,,,,,,97.0,,,,,,,
40,2019-11-12,110:168,53:309,private_transport,,,,97.0,,,,,,,,,,,,,,,,
40,2019-11-12,110:168,75:313,private_transport,,,,12.0,,,,,,,,,,,,,,,,
40,2019-11-12,111:167,138:148,private_transport,,,,,,,46.0,,,,,,,,,,,,,
40,2019-11-12,111:167,50:412,private_transport,,,,,,,,,,,,,11.0,,,,,,,
40,2019-11-12,111:167,103:203,private_transport,,,,,,,15.0,,,,,,,,,,,,,
40,2019-11-12,111:167,107:207,private_transport,,,,,11.0,,,,,,,,,,,,,,,
40,2019-11-12,111:167,113:157,private_transport,,,,,,,,,,,,32.0,,,,,,,,
40,2019-11-12,111:167,114:156,private_transport,,,,,13.0,,,,,,,,,,,,,,,
40,2019-11-12,111:167,117:153,private_transport,,,,,,,,,,,,10.0,,,,,,,,
40,2019-11-12,111:167,131:139,private_transport,,,,,,,,,,,,20.0,,,,,,,,
40,2019-11-12,111:167,132:138,private_transport,,,,,,,,,,,,10.0,,,,,,,,
40,2019-11-12,111:167,147:123,private_transport,,,,,13.0,,,,,,,,,,,,,,,
40,2019-11-12,111:167,95:112,private_transport,,,,,,,,,,,,60.0,,,,,,,,
40,2019-11-12,111:167,98:217,private_transport,,,,,10.0,,,,,,,,,,,,,,,
40,2019-11-12,112:158,50:412,private_transport,,,,,,,,,,,,,,,65.0,,,,,
40,2019-11-12,112:158,58:303,bus,,,,,,,,,28.0,,,,,,,,,,,
40,2019-11-12,112:158,58:303,private_transport,,,,,,,,,33.0,,,68.0,,,,,,,,
40,2019-11-12,113:157,121:165,private_transport,,,,,,,,,,,10.0,,,,,,,,,
40,2019-11-12,113:157,58:303,bus,,,,,,,,11.0,,,,,,,,,,,,
40,2019-11-12,113:157,58:303,private_transport,,,,,,,,19.0,,,,,,,,,,,,
40,2019-11-12,113:157,78:302,private_transport,,,,,,,,,,,,,,,,17.0,,,,
40,2019-11-12,114:156,50:412,private_transport,,,,67.0,,,,,,,,,,,,,,,,
40,2019-11-12,117:153,78:302,private_transport,,,,,,,,,,,,,,,,11.0,,,,
40,2019-11-12,118:152,119:151,bus,,,,,,,,18.0,,,,,,,,,,,,
40,2019-11-12,119:151,117:153,bus,,,,,,,,11.0,,,,,,,,,,,,
40,2019-11-12,119:151,119:151,bus,,,,,,,,18.0,,,,,,,,,,,,
40,2019-11-12,119:151,119:151,private_transport,,,,,,,,16.0,,,,,,,,,,,,
40,2019-11-12,119:151,136:150,private_transport,,,,,,,,13.0,,,,,,,,,,,,
40,2019-11-12,119:151,140:146,bus,,,,,,,,12.0,,,,,,,,,,,,
40,2019-11-12,121:165,50:412,private_transport,,,,,,,71.0,,,,,,,,,,,,,
40,2019-11-12,122:164,50:412,private_transport,,,,,,,,,,,59.0,,,,,,,,,
40,2019-11-12,122:164,127:159,bus,,,,,,,,,,11.0,,,,,,,,,,
40,2019-11-12,122:164,87:104,bus,,,,,,,,11.0,,,,,,,,,,,,
40,2019-11-12,122:164,87:104,private_transport,,,,,,,,19.0,,,,,,,,,,,,
40,2019-11-12,122:164,91:116,private_transport,,,,,,,,18.0,,,,,,,,,,,,
40,2019-11-12,122:164,93:114,bus,,,,,,,,,,10.0,,,,,,,,,,
40,2019-11-12,123:163,50:412,private_transport,,,,,,,,,,,11.0,,,,,,,,,
40,2019-11-12,124:162,50:412,private_transport,15.0,,,,,,,,,,,,,,,,,,,
40,2019-11-12,124:162,75:313,private_transport,,,,,,,,,,,,,12.0,,,,,,,
40,2019-11-12,124:162,9:509,bus,,,,,,,,,14.0,,,,,,,,,,,
40,2019-11-12,124:162,9:509,private_transport,,,,,,,,,26.0,,,,,,,,,,,
40,2019-11-12,126:160,50:412,private_transport,,,,,,,,,,101.0,,,,,,,,,,
40,2019-11-12,126:160,64:306,private_transport,,,,,,,16.0,,,,,,,,,,,,,
40,2019-11-12,127:159,50:412,private_transport,,,,,,,,,,,49.0,,,,,,,,,
40,2019-11-12,127:159,87:104,private_transport,,,,,,,,22.0,,,,,,,,,,,,
40,2019-11-12,127:159,91:116,private_transport,,,,,,,,16.0,,,,,,,,,,,,
40,2019-11-12,127:159,64:306,private_transport,,,,,,,48.0,,,,,,,,,,,,,
40,2019-11-12,128:142,72:411,private_transport,,,,,,,,,,,,,,,28.0,,,,,
40,2019-11-12,131:139,50:412,private_transport,41.0,,,,,,,,,,,,,,,,,,,
40,2019-11-12,131:139,75:313,private_transport,,,,,,,,,,,,,39.0,,,,,,,
40,2019-11-12,131:139,58:303,bus,,,,,,,,11.0,,,,,,,,,,,,
40,2019-11-12,131:139,78:302,private_transport,,,,,,,,,,,,,,,,16.0,,,,
40,2019-11-12,131:139,111:167,private_transport,,,,,,,,,,,14.0,,,,,,,,,
40,2019-11-12,132:138,58:303,private_transport,,,,,,,,15.0,,,,,,,,,,,,
40,2019-11-12,132:138,78:302,private_transport,,,,,,,,,,,,,,,,13.0,,,,
40,2019-11-12,136:150,118:152,bus,,,,,,,,14.0,,,,,,,,,,,,
40,2019-11-12,136:150,118:152,private_transport,,,,,,,,10.0,,,,,,,,,,,,
40,2019-11-12,137:149,50:412,private_transport,,,,,,,14.0,,,,,,,,,,,,,
40,2019-11-12,137:149,53:309,private_transport,,,,,,,,,,,13.0,,,,,,,,,
40,2019-11-12,137:149,9:509,bus,,,,,,,,,38.0,,,,,,,,,,,
40,2019-11-12,137:149,9:509,private_transport,,,,,,,,,57.0,,,,,,,,,,,
40,2019-11-12,138:148,53:309,private_transport,,,,,,,,,,,68.0,,,,,,,,,
