ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
40,2019-11-12,103:203,103:203,bus,,,,,,,,,15.0,,,,,,,12.0,,14.0,,,,,
40,2019-11-12,103:203,103:203,private_transport,,,,,,,,,10.0,,,,,,,,,10.0,,,,,
40,2019-11-12,103:203,109:169,private_transport,,,,,,,,,,,,,10.0,,,,,,,,,,
40,2019-11-12,103:203,110:168,bus,,,,,,,,,,,63.0,,30.0,,,,,,,,,,
40,2019-11-12,103:203,110:168,private_transport,,,,,,,,,12.0,,46.0,,30.0,,,,,,,,,,
40,2019-11-12,103:203,111:167,private_transport,,,,,,,,,,,,,,,10.0,,,,,,,,
40,2019-11-12,103:203,113:157,bus,,,,,,,,,,,,,,,,,,,14.0,,,,
40,2019-11-12,103:203,113:157,private_transport,,,,,,,,,,,,,,,,,,,12.0,,,,
40,2019-11-12,103:203,120:166,bus,,,,,,19.0,,,,,,,,,,,,,,,,,
40,2019-11-12,103:203,121:165,private_transport,,,,,,,,,,,,,,,,16.0,,,,,,,
40,2019-11-12,103:203,124:162,bus,,,,,,,,,13.0,,,,,,,,,,,,,,
40,2019-11-12,103:203,124:162,private_transport,,,,,,,,,12.0,,,,,,,,,,,,,,
40,2019-11-12,103:203,132:138,bus,,,,,,,,,,,,,,,,,,,14.0,,,,
40,2019-11-12,103:203,132:138,private_transport,,,,,,,,,,,,,,,,,,,13.0,,,,
40,2019-11-12,103:203,138:148,bus,,,,,,,,,,,,,,,,12.0,,,,,,,
40,2019-11-12,103:203,140:146,bus,,,,,,14.0,,,,,,,,,,,,,,,,,
40,2019-11-12,103:203,140:146,private_transport,,,,,,11.0,,,,,,,,,,,,,,,,,
40,2019-11-12,103:203,141:145,bus,,,,,,12.0,,,,,,,,,,,,,,,,,
40,2019-11-12,103:203,157:129,bus,,,,,,,,,,,,,,,17.0,14.0,,,,,,,
40,2019-11-12,103:203,157:129,private_transport,,,,,,,,,,,,,,,22.0,21.0,,,,,,,
40,2019-11-12,103:203,58:303,bus,,,,,,,,,12.0,,,,,,,,,11.0,,,,,
40,2019-11-12,103:203,58:303,private_transport,,,,,,,,,,,,,,,,,,10.0,,,,,
