ProjectID,Date,Origin,Destination,Modo,0000_0059,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1500_1559,1600_1659,1800_1859
40,2019-11-13,101:205,101:205,bus,,10.0,,,,,,,
40,2019-11-13,101:205,101:205,private_transport,13.0,,11.0,,,,,,
40,2019-11-13,101:205,129:141,bus,,,14.0,,,,,,
40,2019-11-13,101:205,129:141,private_transport,33.0,,18.0,,,,,,
40,2019-11-13,101:205,160:110,bus,,,,,,,17.0,,
40,2019-11-13,101:205,48:301,private_transport,,,45.0,,,,,,
40,2019-11-13,101:205,83:108,bus,,31.0,,,18.0,,,,
40,2019-11-13,101:205,83:108,private_transport,,23.0,,,12.0,,,,
40,2019-11-13,101:205,98:217,bus,,,,,12.0,,,,
40,2019-11-13,101:205,99:101,bus,,,,14.0,,,,,
40,2019-11-13,102:204,129:141,private_transport,,,16.0,,,,,,
40,2019-11-13,102:204,48:301,private_transport,,,22.0,,,,,,
40,2019-11-13,102:204,83:108,bus,,14.0,,,,,,,
40,2019-11-13,102:204,145:125,bus,,,,,,,10.0,,
40,2019-11-13,122:164,127:159,bus,,,,,,11.0,,,
40,2019-11-13,122:164,152:134,bus,,,,,,21.0,,,
40,2019-11-13,122:164,152:134,private_transport,,,,,,24.0,,,
40,2019-11-13,122:164,153:133,private_transport,,,,,,17.0,,,
40,2019-11-13,122:164,154:132,bus,,,,,,11.0,,,
40,2019-11-13,126:160,145:125,bus,,,,,,,,,14.0
40,2019-11-13,126:160,155:131,bus,,,,,,,,,11.0
40,2019-11-13,127:159,145:125,bus,,,,,,,,,41.0
40,2019-11-13,127:159,145:125,private_transport,,,,,,,,,29.0
40,2019-11-13,127:159,152:134,private_transport,,,,,,12.0,,,
40,2019-11-13,127:159,134:136,bus,,,,,,,,,13.0
40,2019-11-13,127:159,134:136,private_transport,,,,,,,,,11.0
40,2019-11-13,134:136,141:145,bus,,,,,,,,,12.0
40,2019-11-13,139:147,141:145,bus,,,,,,,,,10.0
40,2019-11-13,139:147,141:145,private_transport,,,,,,,,,11.0
40,2019-11-13,139:147,139:147,private_transport,,,,,,,,,10.0
40,2019-11-13,140:146,141:145,bus,,,,,,,,,19.0
40,2019-11-13,140:146,141:145,private_transport,,,,,,,,,11.0
40,2019-11-13,140:146,140:146,bus,,,,,,,,,10.0
40,2019-11-13,141:145,141:145,bus,,,,,,,,,30.0
40,2019-11-13,141:145,141:145,private_transport,,,,,,,,,23.0
40,2019-11-13,141:145,139:147,bus,,,,,,,,,16.0
40,2019-11-13,141:145,140:146,bus,,,,,,,,,13.0
40,2019-11-13,144:126,126:160,bus,,,,,,,,10.0,
40,2019-11-13,144:126,126:160,private_transport,,,,,,,,10.0,
40,2019-11-13,144:126,97:102,bus,,,,,,,,14.0,
40,2019-11-13,144:126,97:102,private_transport,,,,,,,,13.0,
40,2019-11-13,146:124,101:205,bus,,,13.0,,,,,,
40,2019-11-13,146:124,101:205,private_transport,17.0,,18.0,,,,,,
40,2019-11-13,146:124,129:141,bus,,,31.0,,,,,,
40,2019-11-13,146:124,129:141,private_transport,71.0,,46.0,,,,,,
40,2019-11-13,146:124,160:110,bus,,,,,,,42.0,,
40,2019-11-13,146:124,160:110,private_transport,,,,,,,10.0,,
40,2019-11-13,146:124,48:301,private_transport,,,106.0,,,,,,
40,2019-11-13,146:124,83:108,bus,,68.0,,,28.0,,,,
40,2019-11-13,146:124,83:108,private_transport,,26.0,,,,,,,
40,2019-11-13,146:124,98:217,bus,,,,,13.0,,,,
40,2019-11-13,146:124,99:101,bus,,,,52.0,,,,,
40,2019-11-13,146:124,99:101,private_transport,,,,19.0,,,,,
40,2019-11-13,146:124,145:125,bus,,,,,,,14.0,,
40,2019-11-13,146:124,145:125,private_transport,,,,,,,12.0,,
40,2019-11-13,146:124,126:160,bus,,,,,,,14.0,,
40,2019-11-13,146:124,102:204,bus,,,,11.0,,,,,
40,2019-11-13,146:124,120:166,bus,,,,14.0,,,,,
40,2019-11-13,146:124,89:118,bus,,,10.0,,,,,,
40,2019-11-13,146:124,89:118,private_transport,10.0,,,,,,,,
40,2019-11-13,146:124,96:111,bus,,,,,,,17.0,,
40,2019-11-13,151:119,48:301,private_transport,,,14.0,,,,,,
40,2019-11-13,151:119,98:217,bus,,,,,11.0,,,,
40,2019-11-13,152:134,145:125,bus,,,,,,,,,12.0
40,2019-11-13,152:134,152:134,bus,,,,,25.0,,,,
40,2019-11-13,152:134,152:134,private_transport,,,,,11.0,,,,
40,2019-11-13,152:134,153:133,bus,,,,,15.0,,,,
40,2019-11-13,152:134,153:133,private_transport,,,,,14.0,,,,
40,2019-11-13,152:134,155:131,bus,,,,,,,,,11.0
40,2019-11-13,153:133,127:159,bus,,,,,12.0,,,,
40,2019-11-13,153:133,152:134,bus,,,,,14.0,,,,
40,2019-11-13,153:133,153:133,bus,,,,,10.0,,,,
40,2019-11-13,153:133,153:133,private_transport,,,,,13.0,,,,
40,2019-11-13,154:132,152:134,private_transport,,,,,11.0,,,,
40,2019-11-13,45:319,152:134,bus,,,,,,11.0,,,
40,2019-11-13,45:319,154:132,bus,,,,,,22.0,,,
40,2019-11-13,45:319,96:111,bus,,,,,,13.0,,,
40,2019-11-13,45:319,108:170,bus,,,,,,61.0,,,
40,2019-11-13,45:319,108:170,private_transport,,,,,,20.0,,,
40,2019-11-13,45:319,151:119,bus,,,,,,29.0,,,
40,2019-11-13,45:319,151:119,private_transport,,,,,,11.0,,,
40,2019-11-13,83:108,101:205,bus,,,,,,,24.0,,
40,2019-11-13,83:108,101:205,private_transport,,,,,,,15.0,,
40,2019-11-13,83:108,146:124,bus,,,,,,,62.0,,
40,2019-11-13,83:108,146:124,private_transport,,,,,,,51.0,,
40,2019-11-13,87:104,97:102,bus,,,,,,,,32.0,
40,2019-11-13,87:104,97:102,private_transport,,,,,,,,31.0,
40,2019-11-13,91:116,97:102,bus,,,,,,,,24.0,
40,2019-11-13,91:116,97:102,private_transport,,,,,,,,23.0,
40,2019-11-13,92:115,97:102,bus,,,,,,,,15.0,
40,2019-11-13,92:115,97:102,private_transport,,,,,,,,15.0,
40,2019-11-13,93:114,127:159,private_transport,,,,,,12.0,,,
40,2019-11-13,94:113,154:132,bus,,,,,10.0,,,,
40,2019-11-13,97:102,152:134,bus,,,,,,12.0,,,
40,2019-11-13,97:102,152:134,private_transport,,,,,,11.0,,,
40,2019-11-13,97:102,153:133,private_transport,,,,,,13.0,,,
