ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
40,2020-03-04,103:203,103:203,bus,,,,,,,14.0,,,,,13.0,,,,,13.0,,14.0,,
40,2020-03-04,103:203,103:203,private_transport,,,,,,,18.0,,,,,24.0,,,,,10.0,,,,
40,2020-03-04,103:203,111:167,bus,,,,,,,,,,,43.0,,,,,,,,,,
40,2020-03-04,103:203,111:167,private_transport,,,,,,,,,,,19.0,,,,,,,,,,
40,2020-03-04,103:203,138:148,bus,,,,,,,16.0,,,,12.0,,,,,,14.0,,31.0,,
40,2020-03-04,103:203,138:148,private_transport,,,,,,,25.0,,,,,20.0,,,,,,,13.0,,
40,2020-03-04,103:203,25:525,private_transport,,,,,,,,,,,10.0,,,,,,,,,,
40,2020-03-04,103:203,9:509,private_transport,,,,,,,,,,,111.0,,,12.0,,,,,,,
40,2020-03-04,104:202,103:203,bus,,,,,,,,,,,,,,,,,11.0,,,,
40,2020-03-04,104:202,111:167,bus,,,,,,,,,16.0,,,,28.0,,,,,32.0,,,
40,2020-03-04,104:202,111:167,private_transport,,,,,,,,,29.0,,,,21.0,,,,,14.0,,,
40,2020-03-04,104:202,138:148,bus,,,,,,,,,,,,,13.0,,,,,,12.0,,
40,2020-03-04,104:202,138:148,private_transport,,,,,,,,,,,,13.0,,,,,,,11.0,,
40,2020-03-04,104:202,104:202,bus,,,,,,,,,18.0,,,,31.0,,,,,23.0,,,
40,2020-03-04,104:202,104:202,private_transport,,,,,,,,,23.0,,,,,,,,,,,,
40,2020-03-04,105:201,111:167,bus,,,,,,,,,,,,,28.0,,,,,,,,
40,2020-03-04,105:201,111:167,private_transport,,,,,,,,,,,,,50.0,,,,,,,,
40,2020-03-04,105:201,138:148,private_transport,,,,,,,,,,,,,13.0,,,,,,,,
40,2020-03-04,106:208,111:167,bus,,,,,,,,,,,,,18.0,,,,,,,,
40,2020-03-04,106:208,111:167,private_transport,,,,,,,,,,,,,36.0,,,,,,,,
40,2020-03-04,106:208,138:148,private_transport,,,,,,,,,,,,,10.0,,,,,,,,
40,2020-03-04,106:208,110:168,bus,,,,,,,10.0,,,,,,,,,,,,,,
40,2020-03-04,107:207,104:202,bus,,,,,,,19.0,,,,,,,,,,,,,,
40,2020-03-04,107:207,104:202,private_transport,,,,,,,13.0,,,,,,,,,,,,,,
40,2020-03-04,107:207,110:168,bus,,,,,,,22.0,,,,,,,,,,,,,,
40,2020-03-04,107:207,110:168,private_transport,,,,,,,14.0,,,,,,,,,,,,,,
40,2020-03-04,107:207,147:123,bus,,,,,,,11.0,,,,,,,,,,,,,,
40,2020-03-04,108:170,111:167,bus,,,,,,,,,,,,,,,,,18.0,,,,
40,2020-03-04,108:170,111:167,private_transport,,,,,,,,,,,,,,,,,20.0,,,,
40,2020-03-04,109:169,104:202,private_transport,,,,,,,,,,,24.0,,,,,,,,,,
40,2020-03-04,109:169,110:168,private_transport,,,,,,,,,,,38.0,,,,,,,,,,
40,2020-03-04,110:168,110:168,private_transport,,,,,,,,,,,18.0,,,,,,,,,,
40,2020-03-04,111:167,103:203,bus,,,,42.0,,,,,,,,,,,,,,,,,
40,2020-03-04,111:167,103:203,private_transport,20.0,,,25.0,,,,,,,,,,,,,,,,,
40,2020-03-04,111:167,111:167,bus,,,,,257.0,134.0,11.0,45.0,118.0,77.0,,65.0,88.0,,31.0,100.0,17.0,110.0,,45.0,
40,2020-03-04,111:167,111:167,private_transport,,136.0,21.0,,39.0,107.0,10.0,92.0,56.0,93.0,,79.0,89.0,,109.0,193.0,29.0,76.0,,263.0,
40,2020-03-04,111:167,138:148,bus,,,,64.0,21.0,11.0,,,11.0,,,,13.0,,,,,,,,
40,2020-03-04,111:167,138:148,private_transport,,14.0,,35.0,,,,,,,,,12.0,,,21.0,,,,26.0,
40,2020-03-04,111:167,9:509,private_transport,,,,,,,,,,,,,,,,206.0,,,,,
