ProjectID,Date,Origin,Destination,Modo,0200_0259,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2100_2159,2200_2259,2300_2359
40,2020-03-04,101:205,156:130,bus,,10.0,,,,,,,,,,,,,,,,
40,2020-03-04,101:205,156:130,private_transport,,10.0,,,,,,,,,,,,,,,,
40,2020-03-04,101:205,76:314,bus,,,,,,,,,,,,,,,,,37.0,
40,2020-03-04,102:204,104:202,private_transport,,10.0,,,,,,,,,,,,,,,,
40,2020-03-04,102:204,50:412,private_transport,,,,,,,,,,,,,14.0,,,,,
40,2020-03-04,102:204,99:101,private_transport,,,,,,,11.0,,,,,,,,,,,
40,2020-03-04,103:203,102:204,bus,,10.0,,,,,,,,,,,,,,,,
40,2020-03-04,103:203,108:170,bus,,14.0,,,,,,,,,,,,,,,,
40,2020-03-04,103:203,160:110,bus,,18.0,,,,,,,,,,,,,,,,
40,2020-03-04,103:203,45:319,bus,,,,,,,10.0,,,,,,,,,,,
40,2020-03-04,103:203,45:319,private_transport,,,,,,,16.0,,,,,,,,,,,
40,2020-03-04,103:203,48:301,private_transport,,,,,,,23.0,,,,,,,,,,,
40,2020-03-04,103:203,77:312,private_transport,,,,,,,21.0,,,,,,,,,,,
40,2020-03-04,103:203,96:111,bus,,18.0,,,,,,,,,,,,,,,,
40,2020-03-04,103:203,96:111,private_transport,,13.0,,,,,,,,,,,,,,,,
40,2020-03-04,106:208,134:136,private_transport,,,,,,,,,,,,,,,,10.0,,
40,2020-03-04,106:208,155:131,bus,,,,,,,,,,,,,,,,10.0,,
40,2020-03-04,107:207,156:130,bus,,,,,,,,,,,,,,,,13.0,,
40,2020-03-04,107:207,156:130,private_transport,,,,,,,,,,,,,,,,17.0,,
40,2020-03-04,108:170,108:170,private_transport,,,10.0,,,,,,,,,,,,,,,
40,2020-03-04,108:170,160:110,bus,,,11.0,,,,,,,,,,,,,,,
40,2020-03-04,108:170,96:111,bus,,,10.0,,,,,,,,,,,,,,,
40,2020-03-04,108:170,135:135,bus,,,,,,,,,18.0,,,,,,,,,
40,2020-03-04,109:169,109:169,bus,,,,,,22.0,,,,,,,,,,,,
40,2020-03-04,109:169,109:169,private_transport,,,,,,16.0,,,,,,,,,,,,
40,2020-03-04,109:169,110:168,bus,,,,,,11.0,,,,,,,,,13.0,,,
40,2020-03-04,109:169,93:114,bus,,,,,,10.0,,,,,,,,,,,,
40,2020-03-04,110:168,109:169,bus,,,,,,12.0,,,,,,,,,,,,
40,2020-03-04,110:168,109:169,private_transport,,,,,,10.0,,,,,,,,,,,,
40,2020-03-04,110:168,110:168,bus,,,,,75.0,,,,,,,,,,74.0,,,
40,2020-03-04,110:168,110:168,private_transport,,,,,27.0,,,,,,,,,,28.0,,,
40,2020-03-04,110:168,149:121,bus,,,,,,,,,,,,,,,11.0,,,
40,2020-03-04,110:168,98:217,bus,,,,,26.0,,,,,,,,,,10.0,,,
40,2020-03-04,110:168,98:217,private_transport,,,,,21.0,,,,,,,,,,,,,
