ProjectID,Date,Origin,Destination,Modo,0500_0559,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
40,2019-11-20,100:206,108:170,private_transport,,,,,,,,,,,,,,,18.0
40,2019-11-20,100:206,111:167,bus,,,,,,,,,,,,,,,12.0
40,2019-11-20,100:206,111:167,private_transport,,,,,,,,,,,,,,,31.0
40,2019-11-20,100:206,152:134,private_transport,,,,,,,,,,,,,,,14.0
40,2019-11-20,100:206,61:413,private_transport,,,,,,,,47.0,,,,,,,
40,2019-11-20,107:207,111:167,bus,,,,,,,,,,,,,,,13.0
40,2019-11-20,107:207,111:167,private_transport,,,,,,,,,,,,,,,27.0
40,2019-11-20,107:207,61:413,private_transport,,,,,,,,31.0,,,,,,,
40,2019-11-20,109:169,100:206,bus,,,,,,,,,,,12.0,,,,
40,2019-11-20,109:169,159:127,bus,,37.0,,,,,,,,,,,,,
40,2019-11-20,109:169,83:108,bus,,,,,,,,19.0,,,,,,,
40,2019-11-20,110:168,159:127,bus,,,,,,,,,10.0,,,,,,
40,2019-11-20,110:168,159:127,private_transport,,,,,,,,,13.0,,,,,,
40,2019-11-20,110:168,144:126,bus,,,,,,,,,11.0,,,,,,
40,2019-11-20,110:168,144:126,private_transport,,,,,,,,,11.0,,,,,,
40,2019-11-20,111:167,83:108,bus,,,,,22.0,,,,,,,,,,
40,2019-11-20,111:167,83:108,private_transport,,,,,17.0,,,,,,,,,,
40,2019-11-20,111:167,109:169,bus,,,,,17.0,,,,,,,,,,
40,2019-11-20,111:167,109:169,private_transport,,,,,13.0,,,,,,,,,,
40,2019-11-20,111:167,143:143,bus,,,,,11.0,,,,,,,,,,
40,2019-11-20,111:167,98:217,bus,,,,,17.0,,,,,,,,,,
40,2019-11-20,111:167,98:217,private_transport,,,,,13.0,,,,,,,,,,
40,2019-11-20,114:156,159:127,bus,,,,,,,,,23.0,,,,,,
40,2019-11-20,114:156,159:127,private_transport,,,,,,,,,26.0,,,,,,
40,2019-11-20,114:156,144:126,bus,,,,,,,,,13.0,,,,,,
40,2019-11-20,114:156,144:126,private_transport,,,,,,,,,14.0,,,,,,
40,2019-11-20,122:164,100:206,bus,,12.0,,,,,,,,,,,,,
40,2019-11-20,122:164,107:207,bus,,11.0,,,,,,,,,,,,,
40,2019-11-20,122:164,276:144,bus,,,,11.0,,,,,,,,,,,
40,2019-11-20,123:163,107:207,private_transport,,,,,,,,,,10.0,,,,,
40,2019-11-20,126:160,109:169,bus,,,,10.0,,,,,,,,,,,
40,2019-11-20,126:160,98:217,bus,,,11.0,,,,,,,,,,,,
40,2019-11-20,127:159,100:206,bus,,10.0,,,,,,,,,,,,,
40,2019-11-20,127:159,107:207,bus,,14.0,,,,,,,,,,,,,
40,2019-11-20,128:142,108:170,private_transport,,,,,,,,,,,,,,,11.0
40,2019-11-20,128:142,61:413,private_transport,,,,,,,,20.0,,,,,,,
40,2019-11-20,128:142,83:108,bus,,,,,,,,12.0,,,,,,,
40,2019-11-20,128:142,83:108,private_transport,,,,,,,,15.0,,,,,,,
40,2019-11-20,128:142,104:202,bus,,,,,,,,,11.0,,,,,,
40,2019-11-20,128:142,104:202,private_transport,,,,,,,,,10.0,,,,,,
40,2019-11-20,129:141,83:108,bus,,,,,,,18.0,,,,,,,22.0,
40,2019-11-20,129:141,109:169,bus,,,,,,,15.0,,,,,,,,
40,2019-11-20,129:141,98:217,bus,,,,,,,,,,10.0,,,,,
40,2019-11-20,129:141,128:142,bus,,,,,,,10.0,,,,,,,,
40,2019-11-20,129:141,128:142,private_transport,,,,,,,,,,10.0,,,,,
40,2019-11-20,129:141,129:141,bus,,,,,,,,,,,,,,11.0,
40,2019-11-20,129:141,130:140,bus,,,,,,,,,,,,,,21.0,
40,2019-11-20,130:140,83:108,bus,,,,,,,24.0,,,12.0,,,,12.0,
40,2019-11-20,130:140,109:169,bus,,,,,,,13.0,,,,,,,,
40,2019-11-20,130:140,98:217,bus,,,,,,,16.0,,,,,,,,
40,2019-11-20,130:140,128:142,bus,,,,,,,15.0,,,,,,,,
40,2019-11-20,130:140,129:141,bus,,,,,,,,,,,,,,14.0,
40,2019-11-20,130:140,130:140,bus,,,,,,,,,,,,,,22.0,
40,2019-11-20,135:135,116:154,bus,,,,,,,,,,,,,12.0,,
40,2019-11-20,135:135,118:152,bus,,,,,,,,,,,,,20.0,,
40,2019-11-20,135:135,139:147,bus,,,,,,,,,,,,,21.0,,
40,2019-11-20,139:147,118:152,bus,,,,,,,,,,,,,11.0,,
40,2019-11-20,143:143,108:170,private_transport,,,,,,,,,,,,,,,18.0
40,2019-11-20,143:143,111:167,private_transport,,,,,,,,,,,,,,,24.0
40,2019-11-20,143:143,61:413,private_transport,,,,,,,,32.0,,,,,,,
40,2019-11-20,143:143,83:108,private_transport,,,,,,,,13.0,,,,,,,
40,2019-11-20,143:143,110:168,bus,,,,,,,,,12.0,,,,,,
40,2019-11-20,143:143,110:168,private_transport,,,,,,,,,10.0,,,,,,
40,2019-11-20,143:143,151:119,private_transport,,,,,,,,,,,,,,,16.0
40,2019-11-20,143:143,154:132,private_transport,,,,,,,,,,,,,,,13.0
40,2019-11-20,144:126,91:116,bus,,,,,,,,,,,,,10.0,,
40,2019-11-20,147:123,159:127,bus,,,,,,,,,20.0,,,,,,
40,2019-11-20,147:123,159:127,private_transport,,,,,,,,,12.0,,,,,,
40,2019-11-20,147:123,144:126,private_transport,,,,,,,,,11.0,,,,,,
40,2019-11-20,148:122,83:108,bus,,,,,,,,,,,,10.0,,,
40,2019-11-20,148:122,109:169,private_transport,,,,,,,,,,,,11.0,,,
40,2019-11-20,149:121,100:206,bus,,,,,,,,,,12.0,,,,,
40,2019-11-20,149:121,83:108,private_transport,,,,,,,,,,,,22.0,,,
40,2019-11-20,149:121,109:169,bus,,,,13.0,,,,,,,,12.0,,,
40,2019-11-20,149:121,98:217,bus,,,,20.0,,,,,,,,,,,
40,2019-11-20,149:121,107:207,private_transport,,,,,,,,,,12.0,,,,,
40,2019-11-20,150:120,100:206,private_transport,,,16.0,,,,,,,11.0,,,,,
40,2019-11-20,150:120,83:108,bus,,,12.0,,,,,,,,,,,,
40,2019-11-20,150:120,83:108,private_transport,,,,,,,,,,10.0,,,,,
40,2019-11-20,150:120,143:143,private_transport,,,10.0,,,,,,,,,,,,
40,2019-11-20,150:120,98:217,bus,,,,14.0,,,,,,,,,,,
40,2019-11-20,150:120,107:207,bus,,,14.0,,,,,,,,,,,,
40,2019-11-20,150:120,93:114,bus,,,,12.0,,,,,,,,,,,
40,2019-11-20,152:134,152:134,bus,,,,,,,10.0,,,,,,,,
40,2019-11-20,152:134,127:159,bus,,,,,,,16.0,,,,,,,,
40,2019-11-20,152:134,127:159,private_transport,,,,,,,11.0,,,,,,,,
40,2019-11-20,152:134,153:133,private_transport,,,,,,,12.0,,,,,,,,
40,2019-11-20,153:133,152:134,bus,,,,,,,11.0,,,,,,,,
40,2019-11-20,154:132,143:143,bus,,,,,,,,,,12.0,,,,,
40,2019-11-20,154:132,98:217,private_transport,,,,,,,,,,10.0,,,,,
40,2019-11-20,160:110,143:143,bus,,,,10.0,,,,,,,,,,,
40,2019-11-20,160:110,98:217,private_transport,,,,11.0,,,,,,,,,,,
40,2019-11-20,160:110,128:142,bus,,,,13.0,,,,,,,,,,,
40,2019-11-20,276:144,143:143,bus,,,,,,,,,,,,10.0,,,
40,2019-11-20,276:144,98:217,private_transport,,,,,,,,,,,,13.0,,,
40,2019-11-20,276:144,110:168,bus,,,,,,,,,10.0,,,,,,
40,2019-11-20,50:412,100:206,bus,,,,,,27.0,,,,,,,,,
40,2019-11-20,50:412,100:206,private_transport,,,,,,39.0,,,,,,,,,
40,2019-11-20,50:412,83:108,private_transport,,,,,,14.0,,,,,,,,,
40,2019-11-20,50:412,143:143,bus,,,,,,18.0,,,,,,,,,
40,2019-11-20,50:412,143:143,private_transport,,,,,,28.0,,,,,,,,,
40,2019-11-20,50:412,107:207,bus,,,,,,18.0,,,,,,,,,
